period,horizon_months,cohort,dimension,target_month,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,target_month,2023-02,partitioned_rf,27,27,4,15,0.5555555555555556,15,13,2,2,10,0.8666666666666667,0.8666666666666667,0.8666666666666667,,,
main,1,E_all,target_month,2023-02,pooled_rf,27,27,4,15,0.5555555555555556,15,13,2,2,10,0.8666666666666667,0.8666666666666667,0.8666666666666667,,,
main,1,E_all,target_month,2023-02,xgb,27,27,4,15,0.5555555555555556,15,13,2,2,10,0.8666666666666667,0.8666666666666667,0.8666666666666667,,,
main,1,E_all,target_month,2023-03,partitioned_rf,376,376,4,245,0.651595744680851,326,229,97,16,34,0.8021015761821366,0.7024539877300614,0.9346938775510204,,,
main,1,E_all,target_month,2023-03,pooled_rf,376,376,4,245,0.651595744680851,323,232,91,13,40,0.8169014084507042,0.718266253869969,0.9469387755102041,,,
main,1,E_all,target_month,2023-03,xgb,376,376,4,245,0.651595744680851,313,221,92,24,39,0.7921146953405018,0.7060702875399361,0.9020408163265307,,,
main,1,E_all,target_month,2023-04,partitioned_rf,182,182,6,147,0.8076923076923077,167,144,23,3,12,0.9171974522292994,0.8622754491017964,0.9795918367346939,,,
main,1,E_all,target_month,2023-04,pooled_rf,182,182,6,147,0.8076923076923077,169,146,23,1,12,0.9240506329113924,0.863905325443787,0.9931972789115646,,,
main,1,E_all,target_month,2023-04,xgb,182,182,6,147,0.8076923076923077,169,146,23,1,12,0.9240506329113924,0.863905325443787,0.9931972789115646,,,
main,1,E_all,target_month,2023-05,partitioned_rf,126,126,2,72,0.5714285714285714,55,42,13,30,41,0.6614173228346457,0.7636363636363637,0.5833333333333334,,,
main,1,E_all,target_month,2023-05,pooled_rf,126,126,2,72,0.5714285714285714,55,42,13,30,41,0.6614173228346457,0.7636363636363637,0.5833333333333334,,,
