period,horizon_months,cohort,dimension,country_id,country_en,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,country,Afghanistan,Afghanistan,partitioned_rf,127,127,1,108,0.8503937007874016,103,85,18,23,1,0.8056872037914692,0.8252427184466019,0.7870370370370371,,,
partial_2026,1,E_all,country,Afghanistan,Afghanistan,pooled_rf,127,127,1,108,0.8503937007874016,99,84,15,24,4,0.8115942028985508,0.8484848484848485,0.7777777777777778,,,
partial_2026,1,E_all,country,Afghanistan,Afghanistan,xgb,127,127,1,108,0.8503937007874016,111,92,19,16,0,0.8401826484018264,0.8288288288288288,0.8518518518518519,,,
partial_2026,1,E_all,country,Angola,Angola,partitioned_rf,14,14,1,0,0.0,5,0,5,0,9,0.0,0.0,,,,no_observed_positives
partial_2026,1,E_all,country,Angola,Angola,pooled_rf,14,14,1,0,0.0,7,0,7,0,7,0.0,0.0,,,,no_observed_positives
partial_2026,1,E_all,country,Angola,Angola,xgb,14,14,1,0,0.0,10,0,10,0,4,0.0,0.0,,,,no_observed_positives
partial_2026,1,E_all,country,Burundi,Burundi,partitioned_rf,27,27,1,0,0.0,2,0,2,0,25,0.0,0.0,,,,no_observed_positives
partial_2026,1,E_all,country,Burundi,Burundi,pooled_rf,27,27,1,0,0.0,1,0,1,0,26,0.0,0.0,,,,no_observed_positives
partial_2026,1,E_all,country,Burundi,Burundi,xgb,27,27,1,0,0.0,3,0,3,0,24,0.0,0.0,,,,no_observed_positives
partial_2026,1,E_all,country,Central African Republic,Central African Republic,partitioned_rf,295,194,1,197,0.6677966101694915,217,160,57,37,41,0.7729468599033816,0.7373271889400922,0.8121827411167513,,,
partial_2026,1,E_all,country,Central African Republic,Central African Republic,pooled_rf,295,194,1,197,0.6677966101694915,211,157,54,40,44,0.7696078431372549,0.7440758293838863,0.7969543147208121,,,
partial_2026,1,E_all,country,Central African Republic,Central African Republic,xgb,295,194,1,197,0.6677966101694915,213,164,49,33,49,0.8,0.7699530516431925,0.8324873096446701,,,
partial_2026,1,E_all,country,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",partitioned_rf,415,381,1,178,0.42891566265060244,104,57,47,121,190,0.40425531914893614,0.5480769230769231,0.3202247191011236,,,
partial_2026,1,E_all,country,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",pooled_rf,415,381,1,178,0.42891566265060244,88,57,31,121,206,0.42857142857142855,0.6477272727272727,0.3202247191011236,,,
partial_2026,1,E_all,country,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",xgb,415,381,1,178,0.42891566265060244,93,63,30,115,207,0.46494464944649444,0.6774193548387096,0.3539325842696629,,,
partial_2026,1,E_all,country,Djibouti,Djibouti,partitioned_rf,16,16,1,5,0.3125,15,5,10,0,1,0.5,0.3333333333333333,1.0,,,
partial_2026,1,E_all,country,Djibouti,Djibouti,pooled_rf,16,16,1,5,0.3125,16,5,11,0,0,0.47619047619047616,0.3125,1.0,,,
partial_2026,1,E_all,country,Djibouti,Djibouti,xgb,16,16,1,5,0.3125,13,5,8,0,3,0.5555555555555556,0.38461538461538464,1.0,,,
partial_2026,1,E_all,country,Dominican Republic,Dominican Republic,partitioned_rf,13,13,1,13,1.0,10,10,0,3,0,0.8695652173913043,1.0,0.7692307692307693,,,
partial_2026,1,E_all,country,Dominican Republic,Dominican Republic,pooled_rf,13,13,1,13,1.0,10,10,0,3,0,0.8695652173913043,1.0,0.7692307692307693,,,
partial_2026,1,E_all,country,Dominican Republic,Dominican Republic,xgb,13,13,1,13,1.0,13,13,0,0,0,1.0,1.0,1.0,,,
