period,horizon_months,cohort,dimension,target_month,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,target_month,2026-01,partitioned_rf,606,606,6,190,0.31353135313531355,155,47,108,143,308,0.27246376811594203,0.3032258064516129,0.24736842105263157,,,
partial_2026,1,E_all,target_month,2026-01,pooled_rf,606,606,6,190,0.31353135313531355,136,43,93,147,323,0.26380368098159507,0.3161764705882353,0.22631578947368422,,,
partial_2026,1,E_all,target_month,2026-01,xgb,606,606,6,190,0.31353135313531355,129,54,75,136,341,0.3385579937304075,0.4186046511627907,0.28421052631578947,,,
partial_2026,1,E_all,target_month,2026-02,partitioned_rf,631,631,11,344,0.5451664025356577,161,122,39,222,248,0.48316831683168315,0.7577639751552795,0.3546511627906977,,,
partial_2026,1,E_all,target_month,2026-02,pooled_rf,631,631,11,344,0.5451664025356577,156,108,48,236,239,0.432,0.6923076923076923,0.313953488372093,,,
partial_2026,1,E_all,target_month,2026-02,xgb,631,631,11,344,0.5451664025356577,303,242,61,102,226,0.7480680061823802,0.7986798679867987,0.7034883720930233,,,
partial_2026,1,E_all,target_month,2026-03,partitioned_rf,103,103,2,103,1.0,40,40,0,63,0,0.5594405594405595,1.0,0.3883495145631068,,,
partial_2026,1,E_all,target_month,2026-03,pooled_rf,103,103,2,103,1.0,85,85,0,18,0,0.9042553191489362,1.0,0.8252427184466019,,,
partial_2026,1,E_all,target_month,2026-03,xgb,103,103,2,103,1.0,89,89,0,14,0,0.9270833333333334,1.0,0.8640776699029126,,,
partial_2026,1,E_all,target_month,2026-04,partitioned_rf,2615,2615,23,1189,0.45468451242829827,1230,909,321,280,1105,0.7515502273666804,0.7390243902439024,0.7645079899074853,,,
partial_2026,1,E_all,target_month,2026-04,pooled_rf,2615,2615,23,1189,0.45468451242829827,1291,932,359,257,1067,0.7516129032258064,0.7219209914794733,0.783851976450799,,,
partial_2026,1,E_all,target_month,2026-04,xgb,2615,2615,23,1189,0.45468451242829827,1320,930,390,259,1036,0.7413312076524512,0.7045454545454546,0.7821698906644239,,,
partial_2026,1,E_persist,target_month,2026-01,partitioned_rf,606,606,6,190,0.31353135313531355,155,47,108,143,308,0.27246376811594203,0.3032258064516129,0.24736842105263157,,,
partial_2026,1,E_persist,target_month,2026-01,pooled_rf,606,606,6,190,0.31353135313531355,136,43,93,147,323,0.26380368098159507,0.3161764705882353,0.22631578947368422,,,
partial_2026,1,E_persist,target_month,2026-01,xgb,606,606,6,190,0.31353135313531355,129,54,75,136,341,0.3385579937304075,0.4186046511627907,0.28421052631578947,,,
partial_2026,1,E_persist,target_month,2026-01,persistence,606,606,6,190,0.31353135313531355,237,99,138,91,278,0.4637002341920375,0.4177215189873418,0.5210526315789473,,,
partial_2026,1,E_persist,target_month,2026-02,partitioned_rf,628,628,11,341,0.5429936305732485,158,119,39,222,248,0.47695390781563124,0.7531645569620253,0.3489736070381232,,,
partial_2026,1,E_persist,target_month,2026-02,pooled_rf,628,628,11,341,0.5429936305732485,153,105,48,236,239,0.4251012145748988,0.6862745098039216,0.30791788856304986,,,
partial_2026,1,E_persist,target_month,2026-02,xgb,628,628,11,341,0.5429936305732485,300,239,61,102,226,0.7457098283931357,0.7966666666666666,0.7008797653958945,,,
partial_2026,1,E_persist,target_month,2026-02,persistence,628,628,11,341,0.5429936305732485,267,206,61,135,226,0.6776315789473685,0.7715355805243446,0.6041055718475073,,,
partial_2026,1,E_persist,target_month,2026-03,partitioned_rf,103,103,2,103,1.0,40,40,0,63,0,0.5594405594405595,1.0,0.3883495145631068,,,
partial_2026,1,E_persist,target_month,2026-03,pooled_rf,103,103,2,103,1.0,85,85,0,18,0,0.9042553191489362,1.0,0.8252427184466019,,,
partial_2026,1,E_persist,target_month,2026-03,xgb,103,103,2,103,1.0,89,89,0,14,0,0.9270833333333334,1.0,0.8640776699029126,,,
partial_2026,1,E_persist,target_month,2026-03,persistence,103,103,2,103,1.0,12,12,0,91,0,0.20869565217391303,1.0,0.11650485436893204,,,
partial_2026,1,E_persist,target_month,2026-04,partitioned_rf,2615,2615,23,1189,0.45468451242829827,1230,909,321,280,1105,0.7515502273666804,0.7390243902439024,0.7645079899074853,,,
partial_2026,1,E_persist,target_month,2026-04,pooled_rf,2615,2615,23,1189,0.45468451242829827,1291,932,359,257,1067,0.7516129032258064,0.7219209914794733,0.783851976450799,,,
partial_2026,1,E_persist,target_month,2026-04,xgb,2615,2615,23,1189,0.45468451242829827,1320,930,390,259,1036,0.7413312076524512,0.7045454545454546,0.7821698906644239,,,
partial_2026,1,E_persist,target_month,2026-04,persistence,2615,2615,23,1189,0.45468451242829827,1168,730,438,459,988,0.6194314806957998,0.625,0.6139613120269134,,,
partial_2026,3,E_all,target_month,2026-01,partitioned_rf,606,606,6,190,0.31353135313531355,138,41,97,149,319,0.25,0.2971014492753623,0.21578947368421053,,,
partial_2026,3,E_all,target_month,2026-01,pooled_rf,606,606,6,190,0.31353135313531355,149,46,103,144,313,0.2713864306784661,0.3087248322147651,0.24210526315789474,,,
partial_2026,3,E_all,target_month,2026-01,xgb,606,606,6,190,0.31353135313531355,149,57,92,133,324,0.336283185840708,0.3825503355704698,0.3,,,
partial_2026,3,E_all,target_month,2026-02,partitioned_rf,631,631,11,344,0.5451664025356577,217,165,52,179,235,0.5882352941176471,0.7603686635944701,0.4796511627906977,,,
partial_2026,3,E_all,target_month,2026-02,pooled_rf,631,631,11,344,0.5451664025356577,229,183,46,161,241,0.6387434554973822,0.7991266375545851,0.5319767441860465,,,
partial_2026,3,E_all,target_month,2026-02,xgb,631,631,11,344,0.5451664025356577,246,195,51,149,236,0.6610169491525424,0.7926829268292683,0.5668604651162791,,,
partial_2026,3,E_all,target_month,2026-03,partitioned_rf,103,103,2,103,1.0,48,48,0,55,0,0.6357615894039735,1.0,0.46601941747572817,,,
partial_2026,3,E_all,target_month,2026-03,pooled_rf,103,103,2,103,1.0,6,6,0,97,0,0.11009174311926606,1.0,0.05825242718446602,,,
partial_2026,3,E_all,target_month,2026-03,xgb,103,103,2,103,1.0,9,9,0,94,0,0.16071428571428573,1.0,0.08737864077669903,,,
partial_2026,3,E_all,target_month,2026-04,partitioned_rf,2615,2615,23,1189,0.45468451242829827,981,670,311,519,1115,0.6175115207373272,0.6829765545361876,0.5634987384356602,,,
partial_2026,3,E_all,target_month,2026-04,pooled_rf,2615,2615,23,1189,0.45468451242829827,1001,697,304,492,1122,0.6365296803652968,0.6963036963036963,0.5862068965517241,,,
partial_2026,3,E_all,target_month,2026-04,xgb,2615,2615,23,1189,0.45468451242829827,1378,974,404,215,1022,0.7588624853915076,0.706821480406386,0.8191757779646762,,,
partial_2026,3,E_persist,target_month,2026-01,partitioned_rf,606,606,6,190,0.31353135313531355,138,41,97,149,319,0.25,0.2971014492753623,0.21578947368421053,,,
partial_2026,3,E_persist,target_month,2026-01,pooled_rf,606,606,6,190,0.31353135313531355,149,46,103,144,313,0.2713864306784661,0.3087248322147651,0.24210526315789474,,,
partial_2026,3,E_persist,target_month,2026-01,xgb,606,606,6,190,0.31353135313531355,149,57,92,133,324,0.336283185840708,0.3825503355704698,0.3,,,
partial_2026,3,E_persist,target_month,2026-01,persistence,606,606,6,190,0.31353135313531355,237,99,138,91,278,0.4637002341920375,0.4177215189873418,0.5210526315789473,,,
partial_2026,3,E_persist,target_month,2026-02,partitioned_rf,628,628,11,341,0.5429936305732485,214,162,52,179,235,0.5837837837837838,0.7570093457943925,0.4750733137829912,,,
partial_2026,3,E_persist,target_month,2026-02,pooled_rf,628,628,11,341,0.5429936305732485,227,181,46,160,241,0.6373239436619719,0.7973568281938326,0.530791788856305,,,
partial_2026,3,E_persist,target_month,2026-02,xgb,628,628,11,341,0.5429936305732485,244,193,51,148,236,0.6598290598290598,0.7909836065573771,0.5659824046920822,,,
partial_2026,3,E_persist,target_month,2026-02,persistence,628,628,11,341,0.5429936305732485,267,206,61,135,226,0.6776315789473685,0.7715355805243446,0.6041055718475073,,,
partial_2026,3,E_persist,target_month,2026-03,partitioned_rf,103,103,2,103,1.0,48,48,0,55,0,0.6357615894039735,1.0,0.46601941747572817,,,
partial_2026,3,E_persist,target_month,2026-03,pooled_rf,103,103,2,103,1.0,6,6,0,97,0,0.11009174311926606,1.0,0.05825242718446602,,,
partial_2026,3,E_persist,target_month,2026-03,xgb,103,103,2,103,1.0,9,9,0,94,0,0.16071428571428573,1.0,0.08737864077669903,,,
partial_2026,3,E_persist,target_month,2026-03,persistence,103,103,2,103,1.0,12,12,0,91,0,0.20869565217391303,1.0,0.11650485436893204,,,
partial_2026,3,E_persist,target_month,2026-04,partitioned_rf,2615,2615,23,1189,0.45468451242829827,981,670,311,519,1115,0.6175115207373272,0.6829765545361876,0.5634987384356602,,,
partial_2026,3,E_persist,target_month,2026-04,pooled_rf,2615,2615,23,1189,0.45468451242829827,1001,697,304,492,1122,0.6365296803652968,0.6963036963036963,0.5862068965517241,,,
partial_2026,3,E_persist,target_month,2026-04,xgb,2615,2615,23,1189,0.45468451242829827,1378,974,404,215,1022,0.7588624853915076,0.706821480406386,0.8191757779646762,,,
partial_2026,3,E_persist,target_month,2026-04,persistence,2615,2615,23,1189,0.45468451242829827,1199,750,449,439,977,0.628140703517588,0.6255212677231026,0.6307821698906644,,,
partial_2026,6,E_all,target_month,2026-01,partitioned_rf,606,606,6,190,0.31353135313531355,131,63,68,127,348,0.3925233644859813,0.48091603053435117,0.33157894736842103,,,
partial_2026,6,E_all,target_month,2026-01,pooled_rf,606,606,6,190,0.31353135313531355,486,143,343,47,73,0.4230769230769231,0.294238683127572,0.7526315789473684,,,
partial_2026,6,E_all,target_month,2026-01,xgb,606,606,6,190,0.31353135313531355,297,132,165,58,251,0.5420944558521561,0.4444444444444444,0.6947368421052632,,,
