period,horizon_months,cohort,dimension,target_year_label,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,target_year,2026,partitioned_rf,3955,3605,30,1826,0.46169405815423514,1586,1118,468,708,1661,0.6553341148886284,0.7049180327868853,0.6122672508214677,,,
partial_2026,1,E_all,target_year,2026,pooled_rf,3955,3605,30,1826,0.46169405815423514,1668,1168,500,658,1629,0.6685746994848312,0.7002398081534772,0.6396495071193866,,,
partial_2026,1,E_all,target_year,2026,xgb,3955,3605,30,1826,0.46169405815423514,1841,1315,526,511,1603,0.717207526588492,0.7142857142857143,0.7201533406352684,,,
partial_2026,1,E_persist,target_year,2026,partitioned_rf,3952,3602,30,1823,0.46128542510121456,1583,1115,468,708,1661,0.6547269524368761,0.704358812381554,0.6116291826659352,,,
partial_2026,1,E_persist,target_year,2026,pooled_rf,3952,3602,30,1823,0.46128542510121456,1665,1165,500,658,1629,0.6680045871559633,0.6996996996996997,0.6390565002742732,,,
partial_2026,1,E_persist,target_year,2026,xgb,3952,3602,30,1823,0.46128542510121456,1838,1312,526,511,1603,0.7167440590002732,0.7138193688792165,0.7196928140427866,,,
partial_2026,1,E_persist,target_year,2026,persistence,3952,3602,30,1823,0.46128542510121456,1684,1047,637,776,1492,0.5970915312232677,0.6217339667458432,0.5743280307185957,,,
partial_2026,3,E_all,target_year,2026,partitioned_rf,3955,3605,30,1826,0.46169405815423514,1384,924,460,902,1669,0.5757009345794393,0.6676300578034682,0.5060240963855421,,,
partial_2026,3,E_all,target_year,2026,pooled_rf,3955,3605,30,1826,0.46169405815423514,1385,932,453,894,1676,0.5805045157271878,0.6729241877256318,0.5104052573932092,,,
partial_2026,3,E_all,target_year,2026,xgb,3955,3605,30,1826,0.46169405815423514,1782,1235,547,591,1582,0.684589800443459,0.6930415263748597,0.676341730558598,,,
partial_2026,3,E_persist,target_year,2026,partitioned_rf,3952,3602,30,1823,0.46128542510121456,1381,921,460,902,1669,0.5749063670411985,0.666908037653874,0.5052111903455841,,,
partial_2026,3,E_persist,target_year,2026,pooled_rf,3952,3602,30,1823,0.46128542510121456,1383,930,453,893,1676,0.5801621958827199,0.6724511930585684,0.510148107515085,,,
partial_2026,3,E_persist,target_year,2026,xgb,3952,3602,30,1823,0.46128542510121456,1780,1233,547,590,1582,0.6844296419650291,0.6926966292134832,0.6763576522216127,,,
partial_2026,3,E_persist,target_year,2026,persistence,3952,3602,30,1823,0.46128542510121456,1715,1067,648,756,1481,0.6031656302996043,0.6221574344023324,0.5852989577619309,,,
partial_2026,6,E_all,target_year,2026,partitioned_rf,3955,3605,30,1826,0.46169405815423514,1696,1068,628,758,1501,0.606473594548552,0.6297169811320755,0.5848849945235487,,,
partial_2026,6,E_all,target_year,2026,pooled_rf,3955,3605,30,1826,0.46169405815423514,2411,1440,971,386,1158,0.679726221383054,0.5972625466611364,0.7886089813800657,,,
partial_2026,6,E_all,target_year,2026,xgb,3955,3605,30,1826,0.46169405815423514,2258,1471,787,355,1342,0.7203721841332027,0.6514614703277236,0.8055859802847755,,,
partial_2026,6,E_persist,target_year,2026,partitioned_rf,3952,3602,30,1823,0.46128542510121456,1696,1068,628,755,1501,0.6069906223358909,0.6297169811320755,0.5858475041140977,,,
partial_2026,6,E_persist,target_year,2026,pooled_rf,3952,3602,30,1823,0.46128542510121456,2408,1437,971,386,1158,0.6792720397069251,0.5967607973421927,0.7882611080636314,,,
partial_2026,6,E_persist,target_year,2026,xgb,3952,3602,30,1823,0.46128542510121456,2255,1468,787,355,1342,0.719960765080922,0.6509977827050998,0.8052660449808009,,,
partial_2026,6,E_persist,target_year,2026,persistence,3952,3602,30,1823,0.46128542510121456,1818,1164,654,659,1475,0.6393847843998901,0.6402640264026402,0.6385079539221065,,,
partial_2026,12,E_all,target_year,2026,partitioned_rf,3955,3605,30,1826,0.46169405815423514,1847,1286,561,540,1568,0.7002450313095562,0.6962642122360585,0.7042716319824753,,,
partial_2026,12,E_all,target_year,2026,pooled_rf,3955,3605,30,1826,0.46169405815423514,1948,1315,633,511,1496,0.6968733439321675,0.6750513347022588,0.7201533406352684,,,
partial_2026,12,E_all,target_year,2026,xgb,3955,3605,30,1826,0.46169405815423514,2111,1352,759,474,1370,0.6868173736347473,0.640454760776883,0.7404162102957283,,,
partial_2026,12,E_persist,target_year,2026,partitioned_rf,3903,3555,29,1820,0.466307968229567,1844,1283,561,537,1522,0.7003275109170306,0.6957700650759219,0.704945054945055,,,
partial_2026,12,E_persist,target_year,2026,pooled_rf,3903,3555,29,1820,0.466307968229567,1945,1313,632,507,1451,0.697476759628154,0.675064267352185,0.7214285714285714,,,
partial_2026,12,E_persist,target_year,2026,xgb,3903,3555,29,1820,0.466307968229567,2095,1350,745,470,1338,0.6896551724137931,0.6443914081145584,0.7417582417582418,,,
partial_2026,12,E_persist,target_year,2026,persistence,3903,3555,29,1820,0.466307968229567,1824,1279,545,541,1538,0.7019758507135017,0.7012061403508771,0.7027472527472527,,,
