period,horizon_months,cohort,statistic,point,n_countries,requested_draws,defined_replicates,undefined_replicates,ci_lower,ci_upper,ci_available,uses_defined_replicates_only,suppression_reason,undefined_reason
main,1,E_all,f1__partitioned_rf,0.6793122060297633,35,1000,1000,0,0.58933862607891,0.7700524540522367,1,0,,
main,1,E_all,f1__pooled_rf,0.6935956152864329,35,1000,1000,0,0.6179821071058834,0.7853675619602173,1,0,,
main,1,E_all,f1__xgb,0.6960158150851582,35,1000,1000,0,0.6143921813207195,0.7965027602135214,1,0,,
main,1,E_all,delta_f1__partitioned_rf_minus_pooled_rf,-0.0142834092566696,35,1000,1000,0,-0.04328779549047421,0.004013524975761486,1,0,,
main,1,E_all,delta_f1__partitioned_rf_minus_xgb,-0.01670360905539492,35,1000,1000,0,-0.054774909824343535,0.007066604900497465,1,0,,
main,1,E_persist,f1__partitioned_rf,0.6680946006247211,34,1000,1000,0,0.5836684086793716,0.7708475956956614,1,0,,
main,1,E_persist,f1__pooled_rf,0.6834934497816594,34,1000,1000,0,0.604310600249348,0.7830441044529443,1,0,,
main,1,E_persist,f1__xgb,0.6864534420129352,34,1000,1000,0,0.5984956080202177,0.7954692636831513,1,0,,
main,1,E_persist,f1__persistence,0.6965212377474534,34,1000,1000,0,0.6195742893722024,0.7866454623000539,1,0,,
main,1,E_persist,delta_f1__partitioned_rf_minus_pooled_rf,-0.015398849156938232,34,1000,1000,0,-0.041968549570776996,0.0033816542743348612,1,0,,
main,1,E_persist,delta_f1__partitioned_rf_minus_xgb,-0.018358841388214087,34,1000,1000,0,-0.05204159820687137,0.004797653565062743,1,0,,
main,1,E_persist,delta_f1__partitioned_rf_minus_persistence,-0.0284266371227323,34,1000,1000,0,-0.06870001442703148,0.0054561692887878,1,0,,
main,3,E_all,f1__partitioned_rf,0.6461488620717584,35,1000,1000,0,0.5700487464399883,0.7185962727240311,1,0,,
main,3,E_all,f1__pooled_rf,0.6610793451868098,35,1000,1000,0,0.591325613696216,0.7436360890224528,1,0,,
main,3,E_all,f1__xgb,0.6983328090594526,35,1000,1000,0,0.6241631592053462,0.7962207494224628,1,0,,
main,3,E_all,delta_f1__partitioned_rf_minus_pooled_rf,-0.014930483115051407,35,1000,1000,0,-0.048096400001765335,0.007541477762778482,1,0,,
main,3,E_all,delta_f1__partitioned_rf_minus_xgb,-0.05218394698769424,35,1000,1000,0,-0.110169316554189,-0.010466691699116503,1,0,,
main,3,E_persist,f1__partitioned_rf,0.6381202939308718,34,1000,1000,0,0.5670075168459681,0.7100161403866132,1,0,,
main,3,E_persist,f1__pooled_rf,0.6505324298160697,34,1000,1000,0,0.5817487757342251,0.7332219036105746,1,0,,
main,3,E_persist,f1__xgb,0.6919129357635817,34,1000,1000,0,0.6212487916275552,0.7890643195475415,1,0,,
main,3,E_persist,f1__persistence,0.6912006181783058,34,1000,1000,0,0.6118755691526941,0.7811286672414804,1,0,,
main,3,E_persist,delta_f1__partitioned_rf_minus_pooled_rf,-0.012412135885197961,34,1000,1000,0,-0.04187315209259294,0.006864826922517807,1,0,,
main,3,E_persist,delta_f1__partitioned_rf_minus_xgb,-0.05379264183270993,34,1000,1000,0,-0.11710455534410272,-0.013185506179429148,1,0,,
main,3,E_persist,delta_f1__partitioned_rf_minus_persistence,-0.05308032424743403,34,1000,1000,0,-0.11109005274280145,-0.00637980602787168,1,0,,
main,6,E_all,f1__partitioned_rf,0.6828238473230873,35,1000,1000,0,0.5850652273002086,0.7935550350111922,1,0,,
main,6,E_all,f1__pooled_rf,0.6810820124052378,35,1000,1000,0,0.5852367590456183,0.7980549846161276,1,0,,
main,6,E_all,f1__xgb,0.6803139412573833,35,1000,1000,0,0.5946277592509696,0.7916427830975595,1,0,,
main,6,E_all,delta_f1__partitioned_rf_minus_pooled_rf,0.0017418349178495163,35,1000,1000,0,-0.031081559753412837,0.022004496922931653,1,0,,
main,6,E_all,delta_f1__partitioned_rf_minus_xgb,0.002509906065704004,35,1000,1000,0,-0.0381352641211854,0.021080185168243643,1,0,,
