period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,assignment_provenance,learned,partitioned_rf,4653,1998,27,2656,0.5708145282613367,2974,2008,966,648,1031,0.7133214920071048,0.6751849361129791,0.7560240963855421,,,
main,1,E_all,assignment_provenance,learned,pooled_rf,4653,1998,27,2656,0.5708145282613367,3200,2125,1075,531,922,0.7257513661202186,0.6640625,0.8000753012048193,,,
main,1,E_all,assignment_provenance,learned,xgb,4653,1998,27,2656,0.5708145282613367,3179,2141,1038,515,959,0.733847472150814,0.6734822271154451,0.8060993975903614,,,
main,1,E_all,assignment_provenance,nearest_donor,partitioned_rf,5869,2192,28,2747,0.4680524791276197,3583,2050,1533,697,1589,0.6477093206951027,0.5721462461624337,0.746268656716418,,,
main,1,E_all,assignment_provenance,nearest_donor,pooled_rf,5869,2192,28,2747,0.4680524791276197,3707,2147,1560,600,1562,0.6653238301828324,0.5791745346641489,0.7815799053512923,,,
main,1,E_all,assignment_provenance,nearest_donor,xgb,5869,2192,28,2747,0.4680524791276197,3596,2101,1495,646,1627,0.6624625571496138,0.5842602892102335,0.7648343647615581,,,
main,1,E_all,assignment_provenance,unresolved,partitioned_rf,998,505,19,450,0.45090180360721444,559,347,212,103,336,0.6878097125867195,0.6207513416815742,0.7711111111111111,,,
main,1,E_all,assignment_provenance,unresolved,pooled_rf,998,505,19,450,0.45090180360721444,559,347,212,103,336,0.6878097125867195,0.6207513416815742,0.7711111111111111,,,
main,1,E_all,assignment_provenance,unresolved,xgb,998,505,19,450,0.45090180360721444,524,335,189,115,359,0.6878850102669405,0.6393129770992366,0.7444444444444445,,,
main,1,E_persist,assignment_provenance,learned,partitioned_rf,4653,1998,27,2656,0.5708145282613367,2974,2008,966,648,1031,0.7133214920071048,0.6751849361129791,0.7560240963855421,,,
main,1,E_persist,assignment_provenance,learned,pooled_rf,4653,1998,27,2656,0.5708145282613367,3200,2125,1075,531,922,0.7257513661202186,0.6640625,0.8000753012048193,,,
main,1,E_persist,assignment_provenance,learned,xgb,4653,1998,27,2656,0.5708145282613367,3179,2141,1038,515,959,0.733847472150814,0.6734822271154451,0.8060993975903614,,,
main,1,E_persist,assignment_provenance,learned,persistence,4653,1998,27,2656,0.5708145282613367,2784,2023,761,633,1236,0.74375,0.7266522988505747,0.7616716867469879,,,
main,1,E_persist,assignment_provenance,nearest_donor,partitioned_rf,4753,2008,28,2016,0.42415316642120765,2817,1484,1333,532,1404,0.6141113180219325,0.5268015619453319,0.7361111111111112,,,
main,1,E_persist,assignment_provenance,nearest_donor,pooled_rf,4753,2008,28,2016,0.42415316642120765,2836,1537,1299,479,1438,0.6335531739488871,0.5419605077574048,0.7624007936507936,,,
main,1,E_persist,assignment_provenance,nearest_donor,xgb,4753,2008,28,2016,0.42415316642120765,2732,1488,1244,528,1493,0.6267902274641954,0.5446559297218155,0.7380952380952381,,,
main,1,E_persist,assignment_provenance,nearest_donor,persistence,4753,2008,28,2016,0.42415316642120765,2262,1358,904,658,1833,0.6348761103319308,0.6003536693191865,0.6736111111111112,,,
main,1,E_persist,assignment_provenance,unresolved,partitioned_rf,795,463,18,335,0.42138364779874216,407,251,156,84,304,0.6765498652291105,0.6167076167076168,0.7492537313432835,,,
main,1,E_persist,assignment_provenance,unresolved,pooled_rf,795,463,18,335,0.42138364779874216,407,251,156,84,304,0.6765498652291105,0.6167076167076168,0.7492537313432835,,,
