period,horizon_months,cohort,reference_arm,baseline_arm,n_observations,f1_reference,f1_baseline,delta_f1,delta_f1_reason,precision_reference,precision_baseline,delta_precision,delta_precision_reason,recall_reference,recall_baseline,delta_recall,delta_recall_reason
main,1,E_all,partitioned_rf,pooled_rf,11520,0.6793122060297633,0.6935956152864329,-0.0142834092566696,,0.6190275435637999,0.6186713099383874,0.00035623362541248316,,0.7526055014522467,0.7891679480608235,-0.03656244660857677,
main,1,E_all,partitioned_rf,xgb,11520,0.6793122060297633,0.6960158150851582,-0.01670360905539492,,0.6190275435637999,0.6270722016714618,-0.008044658107661973,,0.7526055014522467,0.7819921407825047,-0.02938663933025798,
main,1,E_persist,partitioned_rf,pooled_rf,10201,0.6680946006247211,0.6834934497816594,-0.015398849156938232,,0.6039044853178445,0.6073257799161881,-0.003421294598343616,,0.7475534252047134,0.7815058917515478,-0.03395246654683448,
main,1,E_persist,partitioned_rf,xgb,10201,0.6680946006247211,0.6864534420129352,-0.018358841388214087,,0.6039044853178445,0.6168789808917198,-0.012974495573875311,,0.7475534252047134,0.7737167964849211,-0.026163371280207737,
main,1,E_persist,partitioned_rf,persistence,10201,0.6680946006247211,0.6965212377474534,-0.0284266371227323,,0.6039044853178445,0.6712354139655492,-0.06733092864770474,,0.7475534252047134,0.7237866986219293,0.023766726582784004,
main,3,E_all,partitioned_rf,pooled_rf,11117,0.6461488620717584,0.6610793451868098,-0.014930483115051407,,0.5906129700917975,0.5882352941176471,0.002377675974150395,,0.7132129447523691,0.7545145717861613,-0.041301627033792254,
main,3,E_all,partitioned_rf,xgb,11117,0.6461488620717584,0.6983328090594526,-0.05218394698769424,,0.5906129700917975,0.6233328653657166,-0.032719895273919164,,0.7132129447523691,0.7938494546754872,-0.0806365099231181,
main,3,E_persist,partitioned_rf,pooled_rf,10106,0.6381202939308718,0.6505324298160697,-0.012412135885197961,,0.5790253539677314,0.5762394761459307,0.0027858778218006197,,0.7106486158819963,0.7468175388967468,-0.0361689230147505,
main,3,E_persist,partitioned_rf,xgb,10106,0.6381202939308718,0.6919129357635817,-0.05379264183270993,,0.5790253539677314,0.6154572642845899,-0.03643191031685855,,0.7106486158819963,0.7900585976965043,-0.07940998181450798,
main,3,E_persist,partitioned_rf,persistence,10106,0.6381202939308718,0.6912006181783058,-0.05308032424743403,,0.5790253539677314,0.6621021465581051,-0.0830767925903737,,0.7106486158819963,0.7229743382501516,-0.012325722368155212,
main,6,E_all,partitioned_rf,pooled_rf,10611,0.6828238473230873,0.6810820124052378,0.0017418349178495163,,0.6115564967478445,0.619883957973969,-0.008327461226124488,,0.7728923723953355,0.7556872490919518,0.01720512330338364,
main,6,E_all,partitioned_rf,xgb,10611,0.6828238473230873,0.6803139412573833,0.002509906065704004,,0.6115564967478445,0.5897867564534232,0.021769740294421358,,0.7728923723953355,0.8036704263047219,-0.03077805390938637,
main,6,E_persist,partitioned_rf,pooled_rf,9160,0.6843306539644736,0.6819490131578947,0.0023816408065788774,,0.6113475177304964,0.626913626913627,-0.015566109183130505,,0.7771016452558035,0.7475771917962587,0.029524453459544797,
main,6,E_persist,partitioned_rf,xgb,9160,0.6843306539644736,0.6806714628297362,0.0036591911347373385,,0.6113475177304964,0.5925183700734803,0.018829147657016154,,0.7771016452558035,0.7996393959882804,-0.02253775073247688,
main,6,E_persist,partitioned_rf,persistence,9160,0.6843306539644736,0.6831258050665522,0.0012048488979213845,,0.6113475177304964,0.6521828243492519,-0.04083530661875545,,0.7771016452558035,0.717151228307415,0.05995041694838854,
main,12,E_all,partitioned_rf,pooled_rf,9477,0.6678308823529412,0.6642863363232605,0.003544546029680684,,0.5808153477218225,0.5561388159813356,0.024676531740486896,,0.7855135135135135,0.8246486486486486,-0.03913513513513511,
main,12,E_all,partitioned_rf,xgb,9477,0.6678308823529412,0.6729967166563138,-0.005165834303372585,,0.5808153477218225,0.5707405177603853,0.01007482996143727,,0.7855135135135135,0.8198918918918919,-0.03437837837837843,
main,12,E_persist,partitioned_rf,pooled_rf,7796,0.6750902527075813,0.6731935724167287,0.0018966802908525482,,0.5894405043341213,0.563915136387948,0.025525367946173327,,0.7898627243928195,0.8350052798310454,-0.045142555438225984,
main,12,E_persist,partitioned_rf,xgb,7796,0.6750902527075813,0.6812113318137415,-0.006121079106160221,,0.5894405043341213,0.5784331797235023,0.01100732461061904,,0.7898627243928195,0.8284054910242872,-0.03854276663146772,
main,12,E_persist,partitioned_rf,persistence,7796,0.6750902527075813,0.6881380651434127,-0.013047812435831418,,0.5894405043341213,0.6376126126126126,-0.04817210827849128,,0.7898627243928195,0.7473600844772967,0.04250263991552272,
