period,horizon_months,cohort,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,partitioned_rf,11520,4695,35,5853,0.5080729166666667,7116,4405,2711,1448,2956,0.6793122060297633,0.6190275435637999,0.7526055014522467,,,
main,1,E_all,pooled_rf,11520,4695,35,5853,0.5080729166666667,7466,4619,2847,1234,2820,0.6935956152864329,0.6186713099383874,0.7891679480608235,,,
main,1,E_all,xgb,11520,4695,35,5853,0.5080729166666667,7299,4577,2722,1276,2945,0.6960158150851582,0.6270722016714618,0.7819921407825047,,,
main,1,E_persist,partitioned_rf,10201,4469,34,5007,0.49083423193804526,6198,3743,2455,1264,2739,0.6680946006247211,0.6039044853178445,0.7475534252047134,,,
main,1,E_persist,pooled_rf,10201,4469,34,5007,0.49083423193804526,6443,3913,2530,1094,2664,0.6834934497816594,0.6073257799161881,0.7815058917515478,,,
main,1,E_persist,xgb,10201,4469,34,5007,0.49083423193804526,6280,3874,2406,1133,2788,0.6864534420129352,0.6168789808917198,0.7737167964849211,,,
main,1,E_persist,persistence,10201,4469,34,5007,0.49083423193804526,5399,3624,1775,1383,3419,0.6965212377474534,0.6712354139655492,0.7237866986219293,,,
main,3,E_all,partitioned_rf,11117,4695,35,5593,0.5031033552217324,6754,3989,2765,1604,2759,0.6461488620717584,0.5906129700917975,0.7132129447523691,,,
main,3,E_all,pooled_rf,11117,4695,35,5593,0.5031033552217324,7174,4220,2954,1373,2570,0.6610793451868098,0.5882352941176471,0.7545145717861613,,,
main,3,E_all,xgb,11117,4695,35,5593,0.5031033552217324,7123,4440,2683,1153,2841,0.6983328090594526,0.6233328653657166,0.7938494546754872,,,
main,3,E_persist,partitioned_rf,10106,4464,34,4949,0.48970908371264593,6074,3517,2557,1432,2600,0.6381202939308718,0.5790253539677314,0.7106486158819963,,,
main,3,E_persist,pooled_rf,10106,4464,34,4949,0.48970908371264593,6414,3696,2718,1253,2439,0.6505324298160697,0.5762394761459307,0.7468175388967468,,,
main,3,E_persist,xgb,10106,4464,34,4949,0.48970908371264593,6353,3910,2443,1039,2714,0.6919129357635817,0.6154572642845899,0.7900585976965043,,,
main,3,E_persist,persistence,10106,4464,34,4949,0.48970908371264593,5404,3578,1826,1371,3331,0.6912006181783058,0.6621021465581051,0.7229743382501516,,,
main,6,E_all,partitioned_rf,10611,4635,35,5231,0.4929789840731317,6611,4043,2568,1188,2812,0.6828238473230873,0.6115564967478445,0.7728923723953355,,,
main,6,E_all,pooled_rf,10611,4635,35,5231,0.4929789840731317,6377,3953,2424,1278,2956,0.6810820124052378,0.619883957973969,0.7556872490919518,,,
main,6,E_all,xgb,10611,4635,35,5231,0.4929789840731317,7128,4204,2924,1027,2456,0.6803139412573833,0.5897867564534232,0.8036704263047219,,,
main,6,E_persist,partitioned_rf,9160,4371,34,4437,0.4843886462882096,5640,3448,2192,989,2531,0.6843306539644736,0.6113475177304964,0.7771016452558035,,,
main,6,E_persist,pooled_rf,9160,4371,34,4437,0.4843886462882096,5291,3317,1974,1120,2749,0.6819490131578947,0.626913626913627,0.7475771917962587,,,
main,6,E_persist,xgb,9160,4371,34,4437,0.4843886462882096,5988,3548,2440,889,2283,0.6806714628297362,0.5925183700734803,0.7996393959882804,,,
main,6,E_persist,persistence,9160,4371,34,4437,0.4843886462882096,4879,3182,1697,1255,3026,0.6831258050665522,0.6521828243492519,0.717151228307415,,,
main,12,E_all,partitioned_rf,9477,4617,34,4625,0.48802363617178435,6255,3633,2622,992,2230,0.6678308823529412,0.5808153477218225,0.7855135135135135,,,
main,12,E_all,pooled_rf,9477,4617,34,4625,0.48802363617178435,6858,3814,3044,811,1808,0.6642863363232605,0.5561388159813356,0.8246486486486486,,,
main,12,E_all,xgb,9477,4617,34,4625,0.48802363617178435,6644,3792,2852,833,2000,0.6729967166563138,0.5707405177603853,0.8198918918918919,,,
main,12,E_persist,partitioned_rf,7796,4221,33,3788,0.48589020010261674,5076,2992,2084,796,1924,0.6750902527075813,0.5894405043341213,0.7898627243928195,,,
main,12,E_persist,pooled_rf,7796,4221,33,3788,0.48589020010261674,5609,3163,2446,625,1562,0.6731935724167287,0.563915136387948,0.8350052798310454,,,
main,12,E_persist,xgb,7796,4221,33,3788,0.48589020010261674,5425,3138,2287,650,1721,0.6812113318137415,0.5784331797235023,0.8284054910242872,,,
main,12,E_persist,persistence,7796,4221,33,3788,0.48589020010261674,4440,2831,1609,957,2399,0.6881380651434127,0.6376126126126126,0.7473600844772967,,,
