period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,assignment_provenance,learned,partitioned_rf,1696,1507,25,952,0.5613207547169812,904,623,281,329,463,0.6713362068965517,0.6891592920353983,0.6544117647058824,,,
partial_2026,1,E_all,assignment_provenance,learned,pooled_rf,1696,1507,25,952,0.5613207547169812,847,596,251,356,493,0.6625903279599777,0.7036599763872491,0.6260504201680672,,,
partial_2026,1,E_all,assignment_provenance,learned,xgb,1696,1507,25,952,0.5613207547169812,956,713,243,239,501,0.7473794549266247,0.74581589958159,0.7489495798319328,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,partitioned_rf,1873,1720,27,761,0.40630005339028297,837,489,348,272,764,0.6120150187734669,0.5842293906810035,0.6425755584756899,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,pooled_rf,1873,1720,27,761,0.40630005339028297,676,472,204,289,908,0.6569241475295755,0.6982248520710059,0.6202365308804205,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,xgb,1873,1720,27,761,0.40630005339028297,721,502,219,259,893,0.6774628879892037,0.6962552011095701,0.6596583442838371,,,
partial_2026,1,E_all,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,145,100,45,13,228,0.7751937984496124,0.6896551724137931,0.8849557522123894,,,
partial_2026,1,E_all,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,145,100,45,13,228,0.7751937984496124,0.6896551724137931,0.8849557522123894,,,
partial_2026,1,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,164,100,64,13,209,0.7220216606498195,0.6097560975609756,0.8849557522123894,,,
partial_2026,1,E_persist,assignment_provenance,learned,partitioned_rf,1696,1507,25,952,0.5613207547169812,904,623,281,329,463,0.6713362068965517,0.6891592920353983,0.6544117647058824,,,
partial_2026,1,E_persist,assignment_provenance,learned,pooled_rf,1696,1507,25,952,0.5613207547169812,847,596,251,356,493,0.6625903279599777,0.7036599763872491,0.6260504201680672,,,
partial_2026,1,E_persist,assignment_provenance,learned,xgb,1696,1507,25,952,0.5613207547169812,956,713,243,239,501,0.7473794549266247,0.74581589958159,0.7489495798319328,,,
partial_2026,1,E_persist,assignment_provenance,learned,persistence,1696,1507,25,952,0.5613207547169812,854,600,254,352,490,0.6644518272425249,0.702576112412178,0.6302521008403361,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1870,1717,27,758,0.4053475935828877,834,486,348,272,764,0.6105527638190955,0.5827338129496403,0.6411609498680739,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,pooled_rf,1870,1717,27,758,0.4053475935828877,673,469,204,289,908,0.6554856743535988,0.6968796433878157,0.6187335092348285,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,xgb,1870,1717,27,758,0.4053475935828877,718,499,219,259,893,0.6761517615176151,0.6949860724233984,0.658311345646438,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,persistence,1870,1717,27,758,0.4053475935828877,674,360,314,398,798,0.5027932960893855,0.5341246290801187,0.47493403693931396,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,145,100,45,13,228,0.7751937984496124,0.6896551724137931,0.8849557522123894,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,145,100,45,13,228,0.7751937984496124,0.6896551724137931,0.8849557522123894,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,164,100,64,13,209,0.7220216606498195,0.6097560975609756,0.8849557522123894,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,persistence,386,378,14,113,0.2927461139896373,156,87,69,26,204,0.6468401486988847,0.5576923076923077,0.7699115044247787,,,
partial_2026,3,E_all,assignment_provenance,learned,partitioned_rf,1696,1507,25,952,0.5613207547169812,787,547,240,405,504,0.6290971822886716,0.6950444726810674,0.5745798319327731,,,
partial_2026,3,E_all,assignment_provenance,learned,pooled_rf,1696,1507,25,952,0.5613207547169812,690,483,207,469,537,0.5883069427527405,0.7,0.5073529411764706,,,
partial_2026,3,E_all,assignment_provenance,learned,xgb,1696,1507,25,952,0.5613207547169812,927,681,246,271,498,0.7248536455561468,0.7346278317152104,0.7153361344537815,,,
partial_2026,3,E_all,assignment_provenance,nearest_donor,partitioned_rf,1873,1720,27,761,0.40630005339028297,691,425,266,336,846,0.5853994490358126,0.6150506512301013,0.5584756898817346,,,
partial_2026,3,E_all,assignment_provenance,nearest_donor,pooled_rf,1873,1720,27,761,0.40630005339028297,575,373,202,388,910,0.5583832335329342,0.648695652173913,0.49014454664914586,,,
partial_2026,3,E_all,assignment_provenance,nearest_donor,xgb,1873,1720,27,761,0.40630005339028297,690,458,232,303,880,0.631288766368022,0.663768115942029,0.6018396846254928,,,
partial_2026,3,E_all,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,120,76,44,37,229,0.6523605150214592,0.6333333333333333,0.672566371681416,,,
partial_2026,3,E_all,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,120,76,44,37,229,0.6523605150214592,0.6333333333333333,0.672566371681416,,,
partial_2026,3,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,165,96,69,17,204,0.6906474820143885,0.5818181818181818,0.8495575221238938,,,
partial_2026,3,E_persist,assignment_provenance,learned,partitioned_rf,1696,1507,25,952,0.5613207547169812,787,547,240,405,504,0.6290971822886716,0.6950444726810674,0.5745798319327731,,,
partial_2026,3,E_persist,assignment_provenance,learned,pooled_rf,1696,1507,25,952,0.5613207547169812,690,483,207,469,537,0.5883069427527405,0.7,0.5073529411764706,,,
partial_2026,3,E_persist,assignment_provenance,learned,xgb,1696,1507,25,952,0.5613207547169812,927,681,246,271,498,0.7248536455561468,0.7346278317152104,0.7153361344537815,,,
partial_2026,3,E_persist,assignment_provenance,learned,persistence,1696,1507,25,952,0.5613207547169812,873,618,255,334,489,0.6772602739726027,0.7079037800687286,0.6491596638655462,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1870,1717,27,758,0.4053475935828877,689,423,266,335,846,0.5846579129232896,0.613933236574746,0.558047493403694,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,pooled_rf,1870,1717,27,758,0.4053475935828877,573,371,202,387,910,0.5574755822689706,0.6474694589877836,0.4894459102902375,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,xgb,1870,1717,27,758,0.4053475935828877,688,456,232,302,880,0.6307053941908713,0.6627906976744186,0.6015831134564644,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,persistence,1870,1717,27,758,0.4053475935828877,686,362,324,396,788,0.5013850415512465,0.5276967930029155,0.47757255936675463,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,120,76,44,37,229,0.6523605150214592,0.6333333333333333,0.672566371681416,,,
