period,horizon_months,cohort,reference_arm,baseline_arm,n_observations,f1_reference,f1_baseline,delta_f1,delta_f1_reason,precision_reference,precision_baseline,delta_precision,delta_precision_reason,recall_reference,recall_baseline,delta_recall,delta_recall_reason
partial_2026,1,E_all,partitioned_rf,pooled_rf,3955,0.6530172413793104,0.6685746994848312,-0.015557458105520783,,0.6426299045599152,0.7002398081534772,-0.057609903593561995,,0.6637458926615553,0.6396495071193866,0.02409638554216864,
partial_2026,1,E_all,partitioned_rf,xgb,3955,0.6530172413793104,0.717207526588492,-0.06419028520918157,,0.6426299045599152,0.7142857142857143,-0.0716558097257991,,0.6637458926615553,0.7201533406352684,-0.05640744797371311,
partial_2026,1,E_persist,partitioned_rf,pooled_rf,3952,0.6524554776038856,0.6680045871559633,-0.015549109552077778,,0.6420605416887945,0.6996996996996997,-0.057639158010905245,,0.6631925397696106,0.6390565002742732,0.02413603949533738,
partial_2026,1,E_persist,partitioned_rf,xgb,3952,0.6524554776038856,0.7167440590002732,-0.0642885813963876,,0.6420605416887945,0.7138193688792165,-0.07175882719042204,,0.6631925397696106,0.7196928140427866,-0.056500274273176054,
partial_2026,1,E_persist,partitioned_rf,persistence,3952,0.6524554776038856,0.5970915312232677,0.05536394638061781,,0.6420605416887945,0.6217339667458432,0.020326574942951203,,0.6631925397696106,0.5743280307185957,0.08886450905101484,
partial_2026,3,E_all,partitioned_rf,pooled_rf,3955,0.6121495327102804,0.5805045157271878,0.03164501698309263,,0.655819774718398,0.6729241877256318,-0.017104413007233754,,0.5739320920043811,0.5104052573932092,0.06352683461117192,
partial_2026,3,E_all,partitioned_rf,xgb,3955,0.6121495327102804,0.684589800443459,-0.07244026773317858,,0.655819774718398,0.6930415263748597,-0.03722175165646169,,0.5739320920043811,0.676341730558598,-0.10240963855421692,
partial_2026,3,E_persist,partitioned_rf,pooled_rf,3952,0.6118748171980111,0.5801621958827199,0.03171262131529118,,0.6553884711779449,0.6724511930585684,-0.01706272188062352,,0.573779484366429,0.510148107515085,0.06363137685134401,
partial_2026,3,E_persist,partitioned_rf,xgb,3952,0.6118748171980111,0.6844296419650291,-0.07255482476701802,,0.6553884711779449,0.6926966292134832,-0.03730815803553833,,0.573779484366429,0.6763576522216127,-0.1025781678551837,
partial_2026,3,E_persist,partitioned_rf,persistence,3952,0.6118748171980111,0.6031656302996043,0.008709186898406718,,0.6553884711779449,0.6221574344023324,0.033231036775612455,,0.573779484366429,0.5852989577619309,-0.011519473395501856,
partial_2026,6,E_all,partitioned_rf,pooled_rf,3955,0.6611789697291556,0.679726221383054,-0.018547251653898478,,0.6417525773195877,0.5972625466611364,0.04449003065845125,,0.6818181818181818,0.7886089813800657,-0.10679079956188398,
partial_2026,6,E_all,partitioned_rf,xgb,3955,0.6611789697291556,0.7203721841332027,-0.05919321440404712,,0.6417525773195877,0.6514614703277236,-0.009708893008135933,,0.6818181818181818,0.8055859802847755,-0.12376779846659369,
partial_2026,6,E_persist,partitioned_rf,pooled_rf,3952,0.661706085570024,0.6792720397069251,-0.017565954136901096,,0.6417525773195877,0.5967607973421927,0.04499177997739501,,0.6829402084476138,0.7882611080636314,-0.10532089961601754,
partial_2026,6,E_persist,partitioned_rf,xgb,3952,0.661706085570024,0.719960765080922,-0.05825467951089802,,0.6417525773195877,0.6509977827050998,-0.0092452053855121,,0.6829402084476138,0.8052660449808009,-0.12232583653318707,
partial_2026,6,E_persist,partitioned_rf,persistence,3952,0.661706085570024,0.6393847843998901,0.022321301170133867,,0.6417525773195877,0.6402640264026402,0.0014885509169474398,,0.6829402084476138,0.6385079539221065,0.044432254525507364,
partial_2026,12,E_all,partitioned_rf,pooled_rf,3955,0.639119804400978,0.6968733439321675,-0.057753539531189446,,0.5772968197879859,0.6750513347022588,-0.0977545149142729,,0.7157721796276013,0.7201533406352684,-0.004381161007667056,
partial_2026,12,E_all,partitioned_rf,xgb,3955,0.639119804400978,0.6868173736347473,-0.04769756923376922,,0.5772968197879859,0.640454760776883,-0.06315794098889715,,0.7157721796276013,0.7404162102957283,-0.024644030668127037,
partial_2026,12,E_persist,partitioned_rf,pooled_rf,3903,0.6425227888642523,0.697476759628154,-0.05495397076390174,,0.582402858418937,0.675064267352185,-0.09266140893324804,,0.7164835164835165,0.7214285714285714,-0.0049450549450549275,
partial_2026,12,E_persist,partitioned_rf,xgb,3903,0.6425227888642523,0.6896551724137931,-0.04713238354954086,,0.582402858418937,0.6443914081145584,-0.0619885496956214,,0.7164835164835165,0.7417582417582418,-0.025274725274725296,
partial_2026,12,E_persist,partitioned_rf,persistence,3903,0.6425227888642523,0.7019758507135017,-0.05945306184924937,,0.582402858418937,0.7012061403508771,-0.11880328193194012,,0.7164835164835165,0.7027472527472527,0.013736263736263798,
