period,horizon_months,cohort,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,partitioned_rf,3955,3605,30,1826,0.46169405815423514,1886,1212,674,614,1455,0.6530172413793104,0.6426299045599152,0.6637458926615553,,,
partial_2026,1,E_all,pooled_rf,3955,3605,30,1826,0.46169405815423514,1668,1168,500,658,1629,0.6685746994848312,0.7002398081534772,0.6396495071193866,,,
partial_2026,1,E_all,xgb,3955,3605,30,1826,0.46169405815423514,1841,1315,526,511,1603,0.717207526588492,0.7142857142857143,0.7201533406352684,,,
partial_2026,1,E_persist,partitioned_rf,3952,3602,30,1823,0.46128542510121456,1883,1209,674,614,1455,0.6524554776038856,0.6420605416887945,0.6631925397696106,,,
partial_2026,1,E_persist,pooled_rf,3952,3602,30,1823,0.46128542510121456,1665,1165,500,658,1629,0.6680045871559633,0.6996996996996997,0.6390565002742732,,,
partial_2026,1,E_persist,xgb,3952,3602,30,1823,0.46128542510121456,1838,1312,526,511,1603,0.7167440590002732,0.7138193688792165,0.7196928140427866,,,
partial_2026,1,E_persist,persistence,3952,3602,30,1823,0.46128542510121456,1684,1047,637,776,1492,0.5970915312232677,0.6217339667458432,0.5743280307185957,,,
partial_2026,3,E_all,partitioned_rf,3955,3605,30,1826,0.46169405815423514,1598,1048,550,778,1579,0.6121495327102804,0.655819774718398,0.5739320920043811,,,
partial_2026,3,E_all,pooled_rf,3955,3605,30,1826,0.46169405815423514,1385,932,453,894,1676,0.5805045157271878,0.6729241877256318,0.5104052573932092,,,
partial_2026,3,E_all,xgb,3955,3605,30,1826,0.46169405815423514,1782,1235,547,591,1582,0.684589800443459,0.6930415263748597,0.676341730558598,,,
partial_2026,3,E_persist,partitioned_rf,3952,3602,30,1823,0.46128542510121456,1596,1046,550,777,1579,0.6118748171980111,0.6553884711779449,0.573779484366429,,,
partial_2026,3,E_persist,pooled_rf,3952,3602,30,1823,0.46128542510121456,1383,930,453,893,1676,0.5801621958827199,0.6724511930585684,0.510148107515085,,,
partial_2026,3,E_persist,xgb,3952,3602,30,1823,0.46128542510121456,1780,1233,547,590,1582,0.6844296419650291,0.6926966292134832,0.6763576522216127,,,
partial_2026,3,E_persist,persistence,3952,3602,30,1823,0.46128542510121456,1715,1067,648,756,1481,0.6031656302996043,0.6221574344023324,0.5852989577619309,,,
partial_2026,6,E_all,partitioned_rf,3955,3605,30,1826,0.46169405815423514,1940,1245,695,581,1434,0.6611789697291556,0.6417525773195877,0.6818181818181818,,,
partial_2026,6,E_all,pooled_rf,3955,3605,30,1826,0.46169405815423514,2411,1440,971,386,1158,0.679726221383054,0.5972625466611364,0.7886089813800657,,,
partial_2026,6,E_all,xgb,3955,3605,30,1826,0.46169405815423514,2258,1471,787,355,1342,0.7203721841332027,0.6514614703277236,0.8055859802847755,,,
partial_2026,6,E_persist,partitioned_rf,3952,3602,30,1823,0.46128542510121456,1940,1245,695,578,1434,0.661706085570024,0.6417525773195877,0.6829402084476138,,,
partial_2026,6,E_persist,pooled_rf,3952,3602,30,1823,0.46128542510121456,2408,1437,971,386,1158,0.6792720397069251,0.5967607973421927,0.7882611080636314,,,
partial_2026,6,E_persist,xgb,3952,3602,30,1823,0.46128542510121456,2255,1468,787,355,1342,0.719960765080922,0.6509977827050998,0.8052660449808009,,,
partial_2026,6,E_persist,persistence,3952,3602,30,1823,0.46128542510121456,1818,1164,654,659,1475,0.6393847843998901,0.6402640264026402,0.6385079539221065,,,
partial_2026,12,E_all,partitioned_rf,3955,3605,30,1826,0.46169405815423514,2264,1307,957,519,1172,0.639119804400978,0.5772968197879859,0.7157721796276013,,,
partial_2026,12,E_all,pooled_rf,3955,3605,30,1826,0.46169405815423514,1948,1315,633,511,1496,0.6968733439321675,0.6750513347022588,0.7201533406352684,,,
partial_2026,12,E_all,xgb,3955,3605,30,1826,0.46169405815423514,2111,1352,759,474,1370,0.6868173736347473,0.640454760776883,0.7404162102957283,,,
partial_2026,12,E_persist,partitioned_rf,3903,3555,29,1820,0.466307968229567,2239,1304,935,516,1148,0.6425227888642523,0.582402858418937,0.7164835164835165,,,
partial_2026,12,E_persist,pooled_rf,3903,3555,29,1820,0.466307968229567,1945,1313,632,507,1451,0.697476759628154,0.675064267352185,0.7214285714285714,,,
partial_2026,12,E_persist,xgb,3903,3555,29,1820,0.466307968229567,2095,1350,745,470,1338,0.6896551724137931,0.6443914081145584,0.7417582417582418,,,
partial_2026,12,E_persist,persistence,3903,3555,29,1820,0.466307968229567,1824,1279,545,541,1538,0.7019758507135017,0.7012061403508771,0.7027472527472527,,,
