period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,assignment_provenance,learned,partitioned_rf,5290,1193,19,910,0.1720226843100189,819,455,364,455,4016,0.5263157894736842,0.5555555555555556,0.5,,,
main,1,E_all,assignment_provenance,learned,pooled_rf,5290,1193,19,910,0.1720226843100189,839,463,376,447,4004,0.5294453973699257,0.5518474374255066,0.5087912087912088,,,
main,1,E_all,assignment_provenance,learned,xgb,5290,1193,19,910,0.1720226843100189,931,487,444,423,3936,0.5290602933188484,0.523093447905478,0.5351648351648352,,,
main,1,E_all,assignment_provenance,nearest_donor,partitioned_rf,444,97,6,9,0.02027027027027027,2,2,0,7,435,0.36363636363636365,1.0,0.2222222222222222,,,
main,1,E_all,assignment_provenance,nearest_donor,pooled_rf,444,97,6,9,0.02027027027027027,2,1,1,8,434,0.18181818181818182,0.5,0.1111111111111111,,,
main,1,E_all,assignment_provenance,nearest_donor,xgb,444,97,6,9,0.02027027027027027,10,1,9,8,426,0.10526315789473684,0.1,0.1111111111111111,,,
main,1,E_all,assignment_provenance,unresolved,partitioned_rf,68,14,3,20,0.29411764705882354,13,12,1,8,47,0.7272727272727273,0.9230769230769231,0.6,,,
main,1,E_all,assignment_provenance,unresolved,pooled_rf,68,14,3,20,0.29411764705882354,13,12,1,8,47,0.7272727272727273,0.9230769230769231,0.6,,,
main,1,E_all,assignment_provenance,unresolved,xgb,68,14,3,20,0.29411764705882354,16,14,2,6,46,0.7777777777777778,0.875,0.7,,,
main,1,E_persist,assignment_provenance,learned,partitioned_rf,5290,1193,19,910,0.1720226843100189,819,455,364,455,4016,0.5263157894736842,0.5555555555555556,0.5,,,
main,1,E_persist,assignment_provenance,learned,pooled_rf,5290,1193,19,910,0.1720226843100189,839,463,376,447,4004,0.5294453973699257,0.5518474374255066,0.5087912087912088,,,
main,1,E_persist,assignment_provenance,learned,xgb,5290,1193,19,910,0.1720226843100189,931,487,444,423,3936,0.5290602933188484,0.523093447905478,0.5351648351648352,,,
main,1,E_persist,assignment_provenance,learned,persistence,5290,1193,19,910,0.1720226843100189,899,539,360,371,4020,0.5959093421779988,0.5995550611790879,0.5923076923076923,,,
main,1,E_persist,assignment_provenance,nearest_donor,partitioned_rf,443,97,6,8,0.01805869074492099,2,2,0,6,435,0.4,1.0,0.25,,,
main,1,E_persist,assignment_provenance,nearest_donor,pooled_rf,443,97,6,8,0.01805869074492099,2,1,1,7,434,0.2,0.5,0.125,,,
main,1,E_persist,assignment_provenance,nearest_donor,xgb,443,97,6,8,0.01805869074492099,10,1,9,7,426,0.1111111111111111,0.1,0.125,,,
main,1,E_persist,assignment_provenance,nearest_donor,persistence,443,97,6,8,0.01805869074492099,6,3,3,5,432,0.42857142857142855,0.5,0.375,,,
main,1,E_persist,assignment_provenance,unresolved,partitioned_rf,68,14,3,20,0.29411764705882354,13,12,1,8,47,0.7272727272727273,0.9230769230769231,0.6,,,
main,1,E_persist,assignment_provenance,unresolved,pooled_rf,68,14,3,20,0.29411764705882354,13,12,1,8,47,0.7272727272727273,0.9230769230769231,0.6,,,
main,1,E_persist,assignment_provenance,unresolved,xgb,68,14,3,20,0.29411764705882354,16,14,2,6,46,0.7777777777777778,0.875,0.7,,,
main,1,E_persist,assignment_provenance,unresolved,persistence,68,14,3,20,0.29411764705882354,20,14,6,6,42,0.7,0.7,0.7,,,
main,3,E_all,assignment_provenance,learned,partitioned_rf,5290,1193,19,910,0.1720226843100189,747,446,301,464,4079,0.5383222691611346,0.5970548862115127,0.4901098901098901,,,
main,3,E_all,assignment_provenance,learned,pooled_rf,5290,1193,19,910,0.1720226843100189,805,443,362,467,4018,0.5166180758017492,0.5503105590062112,0.4868131868131868,,,
