period,horizon_months,cohort,reference_arm,baseline_arm,n_observations,f1_reference,f1_baseline,delta_f1,delta_f1_reason,precision_reference,precision_baseline,delta_precision,delta_precision_reason,recall_reference,recall_baseline,delta_recall,delta_recall_reason
main,1,E_all,partitioned_rf,pooled_rf,5802,0.5290468133107727,0.5309537088678193,-0.001906895557046595,,0.5623501199040767,0.5573770491803278,0.0049730707237488625,,0.4994675186368477,0.5069222577209798,-0.007454739084132078,
main,1,E_all,partitioned_rf,xgb,5802,0.5290468133107727,0.5295358649789029,-0.0004890516681301804,,0.5623501199040767,0.5245559038662487,0.037794216037827955,,0.4994675186368477,0.5346112886048988,-0.03514376996805113,
main,1,E_persist,partitioned_rf,pooled_rf,5801,0.5293453724604966,0.53125,-0.0019046275395033785,,0.5623501199040767,0.5573770491803278,0.0049730707237488625,,0.5,0.5074626865671642,-0.007462686567164201,
main,1,E_persist,partitioned_rf,xgb,5801,0.5293453724604966,0.5298153034300792,-0.0004699309695825882,,0.5623501199040767,0.5245559038662487,0.037794216037827955,,0.5,0.535181236673774,-0.03518123667377404,
main,1,E_persist,partitioned_rf,persistence,5801,0.5293453724604966,0.596886741814278,-0.06754136935378141,,0.5623501199040767,0.601081081081081,-0.038730961177004364,,0.5,0.5927505330490405,-0.09275053304904046,
main,3,E_all,partitioned_rf,pooled_rf,5802,0.5381903642773208,0.5155807365439093,0.022609627733411464,,0.6002621231979031,0.5508474576271186,0.049414665570784444,,0.48775292864749736,0.4845580404685836,0.0031948881789137795,
main,3,E_all,partitioned_rf,xgb,5802,0.5381903642773208,0.5851528384279476,-0.04696247415062682,,0.6002621231979031,0.6002239641657335,3.8159032169526874e-05,,0.48775292864749736,0.5708200212992546,-0.08306709265175721,
main,3,E_persist,partitioned_rf,pooled_rf,5801,0.538506760728983,0.5158730158730159,0.02263374485596703,,0.6002621231979031,0.5508474576271186,0.049414665570784444,,0.488272921108742,0.48507462686567165,0.003198294243070332,
main,3,E_persist,partitioned_rf,xgb,5801,0.538506760728983,0.5854724194429274,-0.046965658713944425,,0.6002621231979031,0.6002239641657335,3.8159032169526874e-05,,0.488272921108742,0.5714285714285714,-0.08315565031982941,
main,3,E_persist,partitioned_rf,persistence,5801,0.538506760728983,0.596886741814278,-0.058379981085295074,,0.6002621231979031,0.601081081081081,-0.0008189578831779842,,0.488272921108742,0.5927505330490405,-0.10447761194029848,
main,6,E_all,partitioned_rf,pooled_rf,5802,0.5586297760210803,0.5811320754716981,-0.02250229945061777,,0.7322970639032815,0.7096774193548387,0.022619644548442785,,0.45154419595314166,0.49201277955271566,-0.040468583599574004,
main,6,E_all,partitioned_rf,xgb,5802,0.5586297760210803,0.6118614210217264,-0.05323164500064603,,0.7322970639032815,0.6819371727748691,0.05035989112841244,,0.45154419595314166,0.5548455804046858,-0.10330138445154413,
main,6,E_persist,partitioned_rf,pooled_rf,5800,0.5593667546174143,0.5818639798488665,-0.022497225231452256,,0.7322970639032815,0.7096774193548387,0.022619644548442785,,0.45250800426894344,0.49306296691568835,-0.04055496264674491,
main,6,E_persist,partitioned_rf,xgb,5800,0.5593667546174143,0.612580834803057,-0.053214080185642776,,0.7322970639032815,0.6819371727748691,0.05035989112841244,,0.45250800426894344,0.5560298826040555,-0.10352187833511206,
main,6,E_persist,partitioned_rf,persistence,5800,0.5593667546174143,0.6151351351351352,-0.05576838051772093,,0.7322970639032815,0.6232201533406353,0.10907691056264623,,0.45250800426894344,0.6072572038420491,-0.15474919957310562,
main,12,E_all,partitioned_rf,pooled_rf,4610,0.5302911093627065,0.5538461538461539,-0.023555044483447363,,0.7064989517819706,0.7114624505928854,-0.004963498810914735,,0.4244332493702771,0.4534005037783375,-0.028967254408060417,
main,12,E_all,partitioned_rf,xgb,4610,0.5302911093627065,0.5722713864306784,-0.041980277067971916,,0.7064989517819706,0.6903914590747331,0.016107492707237547,,0.4244332493702771,0.48866498740554154,-0.06423173803526444,
main,12,E_persist,partitioned_rf,pooled_rf,4608,0.5311268715524035,0.5546995377503852,-0.023572666197981706,,0.7064989517819706,0.7114624505928854,-0.004963498810914735,,0.4255050505050505,0.45454545454545453,-0.029040404040404033,
main,12,E_persist,partitioned_rf,xgb,4608,0.5311268715524035,0.5731166912850812,-0.04198981973267779,,0.7064989517819706,0.6903914590747331,0.016107492707237547,,0.4255050505050505,0.4898989898989899,-0.06439393939393939,
main,12,E_persist,partitioned_rf,persistence,4608,0.5311268715524035,0.608927381745503,-0.07780051019309953,,0.7064989517819706,0.6445698166431594,0.061929135138811264,,0.4255050505050505,0.577020202020202,-0.1515151515151515,
