period,horizon_months,cohort,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,partitioned_rf,5802,1304,19,939,0.16184074457083764,834,469,365,470,4498,0.5290468133107727,0.5623501199040767,0.4994675186368477,,,
main,1,E_all,pooled_rf,5802,1304,19,939,0.16184074457083764,854,476,378,463,4485,0.5309537088678193,0.5573770491803278,0.5069222577209798,,,
main,1,E_all,xgb,5802,1304,19,939,0.16184074457083764,957,502,455,437,4408,0.5295358649789029,0.5245559038662487,0.5346112886048988,,,
main,1,E_persist,partitioned_rf,5801,1304,19,938,0.16169625926564385,834,469,365,469,4498,0.5293453724604966,0.5623501199040767,0.5,,,
main,1,E_persist,pooled_rf,5801,1304,19,938,0.16169625926564385,854,476,378,462,4485,0.53125,0.5573770491803278,0.5074626865671642,,,
main,1,E_persist,xgb,5801,1304,19,938,0.16169625926564385,957,502,455,436,4408,0.5298153034300792,0.5245559038662487,0.535181236673774,,,
main,1,E_persist,persistence,5801,1304,19,938,0.16169625926564385,925,556,369,382,4494,0.596886741814278,0.601081081081081,0.5927505330490405,,,
main,3,E_all,partitioned_rf,5802,1304,19,939,0.16184074457083764,763,458,305,481,4558,0.5381903642773208,0.6002621231979031,0.48775292864749736,,,
main,3,E_all,pooled_rf,5802,1304,19,939,0.16184074457083764,826,455,371,484,4492,0.5155807365439093,0.5508474576271186,0.4845580404685836,,,
main,3,E_all,xgb,5802,1304,19,939,0.16184074457083764,893,536,357,403,4506,0.5851528384279476,0.6002239641657335,0.5708200212992546,,,
main,3,E_persist,partitioned_rf,5801,1304,19,938,0.16169625926564385,763,458,305,480,4558,0.538506760728983,0.6002621231979031,0.488272921108742,,,
main,3,E_persist,pooled_rf,5801,1304,19,938,0.16169625926564385,826,455,371,483,4492,0.5158730158730159,0.5508474576271186,0.48507462686567165,,,
main,3,E_persist,xgb,5801,1304,19,938,0.16169625926564385,893,536,357,402,4506,0.5854724194429274,0.6002239641657335,0.5714285714285714,,,
main,3,E_persist,persistence,5801,1304,19,938,0.16169625926564385,925,556,369,382,4494,0.596886741814278,0.601081081081081,0.5927505330490405,,,
main,6,E_all,partitioned_rf,5802,1304,19,939,0.16184074457083764,579,424,155,515,4708,0.5586297760210803,0.7322970639032815,0.45154419595314166,,,
main,6,E_all,pooled_rf,5802,1304,19,939,0.16184074457083764,651,462,189,477,4674,0.5811320754716981,0.7096774193548387,0.49201277955271566,,,
main,6,E_all,xgb,5802,1304,19,939,0.16184074457083764,764,521,243,418,4620,0.6118614210217264,0.6819371727748691,0.5548455804046858,,,
main,6,E_persist,partitioned_rf,5800,1303,19,937,0.16155172413793104,579,424,155,513,4708,0.5593667546174143,0.7322970639032815,0.45250800426894344,,,
main,6,E_persist,pooled_rf,5800,1303,19,937,0.16155172413793104,651,462,189,475,4674,0.5818639798488665,0.7096774193548387,0.49306296691568835,,,
main,6,E_persist,xgb,5800,1303,19,937,0.16155172413793104,764,521,243,416,4620,0.612580834803057,0.6819371727748691,0.5560298826040555,,,
main,6,E_persist,persistence,5800,1303,19,937,0.16155172413793104,913,569,344,368,4519,0.6151351351351352,0.6232201533406353,0.6072572038420491,,,
main,12,E_all,partitioned_rf,4610,1304,19,794,0.172234273318872,477,337,140,457,3676,0.5302911093627065,0.7064989517819706,0.4244332493702771,,,
main,12,E_all,pooled_rf,4610,1304,19,794,0.172234273318872,506,360,146,434,3670,0.5538461538461539,0.7114624505928854,0.4534005037783375,,,
main,12,E_all,xgb,4610,1304,19,794,0.172234273318872,562,388,174,406,3642,0.5722713864306784,0.6903914590747331,0.48866498740554154,,,
main,12,E_persist,partitioned_rf,4608,1303,19,792,0.171875,477,337,140,455,3676,0.5311268715524035,0.7064989517819706,0.4255050505050505,,,
main,12,E_persist,pooled_rf,4608,1303,19,792,0.171875,506,360,146,432,3670,0.5546995377503852,0.7114624505928854,0.45454545454545453,,,
main,12,E_persist,xgb,4608,1303,19,792,0.171875,562,388,174,404,3642,0.5731166912850812,0.6903914590747331,0.4898989898989899,,,
main,12,E_persist,persistence,4608,1303,19,792,0.171875,709,457,252,335,3564,0.608927381745503,0.6445698166431594,0.577020202020202,,,
