period,horizon_months,cohort,dimension,target_month,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,target_month,2026-01,partitioned_rf,30,30,1,5,0.16666666666666666,19,5,14,0,11,0.4166666666666667,0.2631578947368421,1.0,,,
partial_2026,1,E_all,target_month,2026-01,pooled_rf,30,30,1,5,0.16666666666666666,21,5,16,0,9,0.38461538461538464,0.23809523809523808,1.0,,,
partial_2026,1,E_all,target_month,2026-01,xgb,30,30,1,5,0.16666666666666666,21,5,16,0,9,0.38461538461538464,0.23809523809523808,1.0,,,
partial_2026,1,E_all,target_month,2026-02,partitioned_rf,10,10,2,10,1.0,1,1,0,9,0,0.18181818181818182,1.0,0.1,,,
partial_2026,1,E_all,target_month,2026-02,pooled_rf,10,10,2,10,1.0,1,1,0,9,0,0.18181818181818182,1.0,0.1,,,
partial_2026,1,E_all,target_month,2026-02,xgb,10,10,2,10,1.0,1,1,0,9,0,0.18181818181818182,1.0,0.1,,,
partial_2026,1,E_all,target_month,2026-04,partitioned_rf,97,97,3,82,0.845360824742268,87,72,15,10,0,0.8520710059171598,0.8275862068965517,0.8780487804878049,,,
partial_2026,1,E_all,target_month,2026-04,pooled_rf,97,97,3,82,0.845360824742268,81,66,15,16,0,0.8098159509202454,0.8148148148148148,0.8048780487804879,,,
partial_2026,1,E_all,target_month,2026-04,xgb,97,97,3,82,0.845360824742268,67,54,13,28,2,0.7248322147651006,0.8059701492537313,0.6585365853658537,,,
partial_2026,1,E_persist,target_month,2026-01,partitioned_rf,30,30,1,5,0.16666666666666666,19,5,14,0,11,0.4166666666666667,0.2631578947368421,1.0,,,
partial_2026,1,E_persist,target_month,2026-01,pooled_rf,30,30,1,5,0.16666666666666666,21,5,16,0,9,0.38461538461538464,0.23809523809523808,1.0,,,
partial_2026,1,E_persist,target_month,2026-01,xgb,30,30,1,5,0.16666666666666666,21,5,16,0,9,0.38461538461538464,0.23809523809523808,1.0,,,
partial_2026,1,E_persist,target_month,2026-01,persistence,30,30,1,5,0.16666666666666666,19,5,14,0,11,0.4166666666666667,0.2631578947368421,1.0,,,
