admin_code,branch_id,partition_code,assignment_source,donor_admin_code,donor_distance_km,nearest_eligible_admin_code,nearest_eligible_distance_km,model_route,fallback_reason,was_placeholder_root
0,,-1,unresolved,-1,,100002,4111.49848543944,pooled_root,nearest eligible donor beyond 100 km,False
1,,-1,unresolved,-1,,100002,4109.2013033423245,pooled_root,nearest eligible donor beyond 100 km,False
2,,-1,unresolved,-1,,100002,4094.3513073968084,pooled_root,nearest eligible donor beyond 100 km,False
3,,-1,unresolved,-1,,100004,4190.644564256566,pooled_root,nearest eligible donor beyond 100 km,False
4,,-1,unresolved,-1,,100004,4192.796856786795,pooled_root,nearest eligible donor beyond 100 km,False
5,,-1,unresolved,-1,,100004,4016.370695098605,pooled_root,nearest eligible donor beyond 100 km,False
6,,-1,unresolved,-1,,100004,4156.611801054406,pooled_root,nearest eligible donor beyond 100 km,False
7,,-1,unresolved,-1,,100004,4158.569377284116,pooled_root,nearest eligible donor beyond 100 km,False
8,,-1,unresolved,-1,,100004,4130.685480724035,pooled_root,nearest eligible donor beyond 100 km,False
9,,-1,unresolved,-1,,100004,4039.2332930477314,pooled_root,nearest eligible donor beyond 100 km,False
10,,-1,unresolved,-1,,100004,4000.129036344802,pooled_root,nearest eligible donor beyond 100 km,False
11,,-1,unresolved,-1,,100004,3897.989374714637,pooled_root,nearest eligible donor beyond 100 km,False
12,,-1,unresolved,-1,,100004,3861.5405477896134,pooled_root,nearest eligible donor beyond 100 km,False
13,,-1,unresolved,-1,,100031,3926.3429304008882,pooled_root,nearest eligible donor beyond 100 km,False
14,,-1,unresolved,-1,,100031,3880.867923030703,pooled_root,nearest eligible donor beyond 100 km,False
15,,-1,unresolved,-1,,100031,3910.902130177537,pooled_root,nearest eligible donor beyond 100 km,False
16,,-1,unresolved,-1,,100004,3820.321446991168,pooled_root,nearest eligible donor beyond 100 km,False
17,,-1,unresolved,-1,,100004,3811.5139198617,pooled_root,nearest eligible donor beyond 100 km,False
18,,-1,unresolved,-1,,100031,3835.030585557609,pooled_root,nearest eligible donor beyond 100 km,False
19,,-1,unresolved,-1,,100031,3835.0305855574998,pooled_root,nearest eligible donor beyond 100 km,False
20,,-1,unresolved,-1,,100004,3635.4694344740956,pooled_root,nearest eligible donor beyond 100 km,False
21,,-1,unresolved,-1,,100004,3742.1939260533923,pooled_root,nearest eligible donor beyond 100 km,False
22,,-1,unresolved,-1,,100031,3805.045770998835,pooled_root,nearest eligible donor beyond 100 km,False
23,,-1,unresolved,-1,,100031,3805.0457709987263,pooled_root,nearest eligible donor beyond 100 km,False
24,,-1,unresolved,-1,,100004,3738.1157917355354,pooled_root,nearest eligible donor beyond 100 km,False
25,,-1,unresolved,-1,,100004,3774.7177985861567,pooled_root,nearest eligible donor beyond 100 km,False
26,,-1,unresolved,-1,,100004,3729.3034915191483,pooled_root,nearest eligible donor beyond 100 km,False
27,,-1,unresolved,-1,,100004,3768.551745881767,pooled_root,nearest eligible donor beyond 100 km,False
28,,-1,unresolved,-1,,100004,3768.5517458813497,pooled_root,nearest eligible donor beyond 100 km,False
29,,-1,unresolved,-1,,100031,3750.665680212167,pooled_root,nearest eligible donor beyond 100 km,False
30,,-1,unresolved,-1,,100031,3788.4895526079486,pooled_root,nearest eligible donor beyond 100 km,False
31,,-1,unresolved,-1,,100004,3678.5011300221204,pooled_root,nearest eligible donor beyond 100 km,False
32,,-1,unresolved,-1,,100031,3636.2136096820236,pooled_root,nearest eligible donor beyond 100 km,False
33,,-1,unresolved,-1,,100031,3629.952086751973,pooled_root,nearest eligible donor beyond 100 km,False
34,,-1,unresolved,-1,,100031,3629.768124999326,pooled_root,nearest eligible donor beyond 100 km,False
35,,-1,unresolved,-1,,100002,3319.5406227141652,pooled_root,nearest eligible donor beyond 100 km,False
36,,-1,unresolved,-1,,100031,3580.3785577145463,pooled_root,nearest eligible donor beyond 100 km,False
37,,-1,unresolved,-1,,100031,3596.004693961594,pooled_root,nearest eligible donor beyond 100 km,False
38,,-1,unresolved,-1,,100031,3576.8271272215384,pooled_root,nearest eligible donor beyond 100 km,False
39,,-1,unresolved,-1,,100031,3576.8251324564444,pooled_root,nearest eligible donor beyond 100 km,False
40,,-1,unresolved,-1,,100031,3565.796028137528,pooled_root,nearest eligible donor beyond 100 km,False
41,,-1,unresolved,-1,,100031,3569.346259342081,pooled_root,nearest eligible donor beyond 100 km,False
42,,-1,unresolved,-1,,100031,3569.1290209791687,pooled_root,nearest eligible donor beyond 100 km,False
43,,-1,unresolved,-1,,100031,3586.6588883622962,pooled_root,nearest eligible donor beyond 100 km,False
44,,-1,unresolved,-1,,100031,3586.559662635009,pooled_root,nearest eligible donor beyond 100 km,False
45,,-1,unresolved,-1,,100031,3568.0784583234695,pooled_root,nearest eligible donor beyond 100 km,False
46,,-1,unresolved,-1,,100031,3607.050909077708,pooled_root,nearest eligible donor beyond 100 km,False
47,,-1,unresolved,-1,,100031,3607.0591274823596,pooled_root,nearest eligible donor beyond 100 km,False
48,,-1,unresolved,-1,,100031,3607.0554092948882,pooled_root,nearest eligible donor beyond 100 km,False
49,,-1,unresolved,-1,,100031,3607.029870356933,pooled_root,nearest eligible donor beyond 100 km,False
50,,-1,unresolved,-1,,100031,3573.521423764465,pooled_root,nearest eligible donor beyond 100 km,False
51,,-1,unresolved,-1,,100031,3482.926559123352,pooled_root,nearest eligible donor beyond 100 km,False
52,,-1,unresolved,-1,,100031,3558.19846138133,pooled_root,nearest eligible donor beyond 100 km,False
53,,-1,unresolved,-1,,100031,3574.3213763228746,pooled_root,nearest eligible donor beyond 100 km,False
54,,-1,unresolved,-1,,100031,3577.0351526500203,pooled_root,nearest eligible donor beyond 100 km,False
55,,-1,unresolved,-1,,100031,3477.79047475585,pooled_root,nearest eligible donor beyond 100 km,False
56,,-1,unresolved,-1,,100031,3538.0880165049225,pooled_root,nearest eligible donor beyond 100 km,False
57,,-1,unresolved,-1,,100031,3538.088000487019,pooled_root,nearest eligible donor beyond 100 km,False
58,,-1,unresolved,-1,,100004,3388.545221306763,pooled_root,nearest eligible donor beyond 100 km,False
59,,-1,unresolved,-1,,100031,3457.9077558504814,pooled_root,nearest eligible donor beyond 100 km,False
60,,-1,unresolved,-1,,100031,3461.723794564114,pooled_root,nearest eligible donor beyond 100 km,False
61,,-1,unresolved,-1,,100031,3452.7436601547793,pooled_root,nearest eligible donor beyond 100 km,False
