period,horizon_months,cohort,statistic,point,n_countries,requested_draws,defined_replicates,undefined_replicates,ci_lower,ci_upper,ci_available,uses_defined_replicates_only,suppression_reason,undefined_reason
main,1,E_all,f1__partitioned_rf,0.5416393442622951,19,1000,1000,0,0.2192739599513035,0.6843460636287034,1,0,,
main,1,E_all,f1__pooled_rf,0.5309537088678193,19,1000,1000,0,0.24833818142641673,0.6752311190935313,1,0,,
main,1,E_all,f1__xgb,0.5295358649789029,19,1000,1000,0,0.2566836121720731,0.6841754132505027,1,0,,
main,1,E_all,delta_f1__partitioned_rf_minus_pooled_rf,0.010685635394475756,19,1000,1000,0,-0.026889448015213244,0.05397184413612543,1,0,,
main,1,E_all,delta_f1__partitioned_rf_minus_xgb,0.012103479283392171,19,1000,1000,0,-0.03541926492194543,0.05412259720463932,1,0,,
main,1,E_persist,f1__partitioned_rf,0.541994750656168,19,1000,1000,0,0.2192739599513035,0.6853013046186089,1,0,,
main,1,E_persist,f1__pooled_rf,0.53125,19,1000,1000,0,0.24833818142641673,0.6760927993999499,1,0,,
main,1,E_persist,f1__xgb,0.5298153034300792,19,1000,1000,0,0.2566836121720731,0.6849921990252643,1,0,,
main,1,E_persist,f1__persistence,0.596886741814278,19,1000,1000,0,0.3541461192109777,0.7458319094369563,1,0,,
main,1,E_persist,delta_f1__partitioned_rf_minus_pooled_rf,0.010744750656167978,19,1000,1000,0,-0.026889448015213244,0.054126114741187385,1,0,,
main,1,E_persist,delta_f1__partitioned_rf_minus_xgb,0.012179447226088769,19,1000,1000,0,-0.03539669151369198,0.054128161587684256,1,0,,
main,1,E_persist,delta_f1__partitioned_rf_minus_persistence,-0.054891991158110054,19,1000,1000,0,-0.14743238081112528,-0.01699910910496573,1,0,,
main,3,E_all,f1__partitioned_rf,0.5392834695160277,19,1000,1000,0,0.23959922313123666,0.6851164514903025,1,0,,
main,3,E_all,f1__pooled_rf,0.5155807365439093,19,1000,1000,0,0.19702341454166272,0.6721499907267977,1,0,,
main,3,E_all,f1__xgb,0.5851528384279476,19,1000,1000,0,0.25600318423950247,0.7387857824427482,1,0,,
main,3,E_all,delta_f1__partitioned_rf_minus_pooled_rf,0.023702732972118334,19,1000,1000,0,-0.0017062764656414233,0.0704831409064828,1,0,,
main,3,E_all,delta_f1__partitioned_rf_minus_xgb,-0.04586936891191995,19,1000,1000,0,-0.07604093425150237,0.012761413326299383,1,0,,
main,3,E_persist,f1__partitioned_rf,0.539622641509434,19,1000,1000,0,0.23959922313123666,0.6859928082974786,1,0,,
main,3,E_persist,f1__pooled_rf,0.5158730158730159,19,1000,1000,0,0.19702341454166272,0.6729161688960625,1,0,,
main,3,E_persist,f1__xgb,0.5854724194429274,19,1000,1000,0,0.25600318423950247,0.7396737613502752,1,0,,
main,3,E_persist,f1__persistence,0.596886741814278,19,1000,1000,0,0.3541461192109777,0.7458319094369563,1,0,,
main,3,E_persist,delta_f1__partitioned_rf_minus_pooled_rf,0.023749625636418026,19,1000,1000,0,-0.001695930283775998,0.07059508874703734,1,0,,
main,3,E_persist,delta_f1__partitioned_rf_minus_xgb,-0.04584977793349343,19,1000,1000,0,-0.07604093425150237,0.012761413326299383,1,0,,
main,3,E_persist,delta_f1__partitioned_rf_minus_persistence,-0.05726410030484408,19,1000,1000,0,-0.14009857344900378,-0.02892848193677728,1,0,,
main,6,E_all,f1__partitioned_rf,0.5487558843308675,19,1000,1000,0,0.23482651124966117,0.6938121403724269,1,0,,
main,6,E_all,f1__pooled_rf,0.5811320754716981,19,1000,1000,0,0.2559344524380495,0.7410714276993252,1,0,,
