period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,assignment_provenance,learned,partitioned_rf,133,101,3,94,0.706766917293233,104,72,32,22,7,0.7272727272727273,0.6923076923076923,0.7659574468085106,,,
partial_2026,1,E_all,assignment_provenance,learned,pooled_rf,133,101,3,94,0.706766917293233,99,69,30,25,9,0.7150259067357513,0.696969696969697,0.7340425531914894,,,
partial_2026,1,E_all,assignment_provenance,learned,xgb,133,101,3,94,0.706766917293233,85,57,28,37,11,0.6368715083798883,0.6705882352941176,0.6063829787234043,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,partitioned_rf,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,pooled_rf,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,xgb,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,1,E_all,assignment_provenance,unresolved,partitioned_rf,3,3,1,2,0.6666666666666666,3,2,1,0,0,0.8,0.6666666666666666,1.0,,,
partial_2026,1,E_all,assignment_provenance,unresolved,pooled_rf,3,3,1,2,0.6666666666666666,3,2,1,0,0,0.8,0.6666666666666666,1.0,,,
partial_2026,1,E_all,assignment_provenance,unresolved,xgb,3,3,1,2,0.6666666666666666,3,2,1,0,0,0.8,0.6666666666666666,1.0,,,
partial_2026,1,E_persist,assignment_provenance,learned,partitioned_rf,133,101,3,94,0.706766917293233,104,72,32,22,7,0.7272727272727273,0.6923076923076923,0.7659574468085106,,,
partial_2026,1,E_persist,assignment_provenance,learned,pooled_rf,133,101,3,94,0.706766917293233,99,69,30,25,9,0.7150259067357513,0.696969696969697,0.7340425531914894,,,
partial_2026,1,E_persist,assignment_provenance,learned,xgb,133,101,3,94,0.706766917293233,85,57,28,37,11,0.6368715083798883,0.6705882352941176,0.6063829787234043,,,
partial_2026,1,E_persist,assignment_provenance,learned,persistence,133,101,3,94,0.706766917293233,61,42,19,52,20,0.5419354838709678,0.6885245901639344,0.44680851063829785,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,pooled_rf,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,xgb,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,persistence,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,partitioned_rf,3,3,1,2,0.6666666666666666,3,2,1,0,0,0.8,0.6666666666666666,1.0,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,pooled_rf,3,3,1,2,0.6666666666666666,3,2,1,0,0,0.8,0.6666666666666666,1.0,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,xgb,3,3,1,2,0.6666666666666666,3,2,1,0,0,0.8,0.6666666666666666,1.0,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,persistence,3,3,1,2,0.6666666666666666,3,2,1,0,0,0.8,0.6666666666666666,1.0,,,
partial_2026,3,E_all,assignment_provenance,learned,partitioned_rf,133,101,3,94,0.706766917293233,88,67,21,27,18,0.7362637362637363,0.7613636363636364,0.7127659574468085,,,
partial_2026,3,E_all,assignment_provenance,learned,pooled_rf,133,101,3,94,0.706766917293233,90,63,27,31,12,0.6847826086956522,0.7,0.6702127659574468,,,
partial_2026,3,E_all,assignment_provenance,learned,xgb,133,101,3,94,0.706766917293233,79,52,27,42,12,0.6011560693641619,0.6582278481012658,0.5531914893617021,,,
partial_2026,3,E_all,assignment_provenance,nearest_donor,partitioned_rf,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,3,E_all,assignment_provenance,nearest_donor,pooled_rf,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,3,E_all,assignment_provenance,nearest_donor,xgb,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
partial_2026,3,E_all,assignment_provenance,unresolved,partitioned_rf,3,3,1,2,0.6666666666666666,3,2,1,0,0,0.8,0.6666666666666666,1.0,,,
partial_2026,3,E_all,assignment_provenance,unresolved,pooled_rf,3,3,1,2,0.6666666666666666,3,2,1,0,0,0.8,0.6666666666666666,1.0,,,
partial_2026,3,E_all,assignment_provenance,unresolved,xgb,3,3,1,2,0.6666666666666666,1,1,0,1,1,0.6666666666666666,1.0,0.5,,,
partial_2026,3,E_persist,assignment_provenance,learned,partitioned_rf,133,101,3,94,0.706766917293233,88,67,21,27,18,0.7362637362637363,0.7613636363636364,0.7127659574468085,,,
partial_2026,3,E_persist,assignment_provenance,learned,pooled_rf,133,101,3,94,0.706766917293233,90,63,27,31,12,0.6847826086956522,0.7,0.6702127659574468,,,
partial_2026,3,E_persist,assignment_provenance,learned,xgb,133,101,3,94,0.706766917293233,79,52,27,42,12,0.6011560693641619,0.6582278481012658,0.5531914893617021,,,
partial_2026,3,E_persist,assignment_provenance,learned,persistence,133,101,3,94,0.706766917293233,60,41,19,53,20,0.5324675324675324,0.6833333333333333,0.43617021276595747,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1,1,1,1,1.0,1,1,0,0,0,1.0,1.0,1.0,,,
