period,horizon_months,cohort,dimension,country_id,country_en,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,country,Cameroon,Cameroon,partitioned_rf,7,7,1,7,1.0,0,0,0,7,0,0.0,,0.0,,no_predicted_positives,
partial_2026,1,E_all,country,Cameroon,Cameroon,pooled_rf,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,1,E_all,country,Cameroon,Cameroon,xgb,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,1,E_all,country,Central African Republic,Central African Republic,partitioned_rf,103,72,1,69,0.6699029126213593,89,62,27,7,7,0.7848101265822784,0.6966292134831461,0.8985507246376812,,,
partial_2026,1,E_all,country,Central African Republic,Central African Republic,pooled_rf,103,72,1,69,0.6699029126213593,86,61,25,8,9,0.7870967741935484,0.7093023255813954,0.8840579710144928,,,
partial_2026,1,E_all,country,Central African Republic,Central African Republic,xgb,103,72,1,69,0.6699029126213593,70,47,23,22,11,0.6762589928057554,0.6714285714285714,0.6811594202898551,,,
partial_2026,1,E_all,country,Chad,Chad,partitioned_rf,27,26,1,21,0.7777777777777778,19,13,6,8,0,0.65,0.6842105263157895,0.6190476190476191,,,
partial_2026,1,E_all,country,Chad,Chad,pooled_rf,27,26,1,21,0.7777777777777778,16,10,6,11,0,0.5405405405405406,0.625,0.47619047619047616,,,
partial_2026,1,E_all,country,Chad,Chad,xgb,27,26,1,21,0.7777777777777778,18,12,6,9,0,0.6153846153846154,0.6666666666666666,0.5714285714285714,,,
partial_2026,1,E_persist,country,Cameroon,Cameroon,partitioned_rf,7,7,1,7,1.0,0,0,0,7,0,0.0,,0.0,,no_predicted_positives,
partial_2026,1,E_persist,country,Cameroon,Cameroon,pooled_rf,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,1,E_persist,country,Cameroon,Cameroon,xgb,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,1,E_persist,country,Cameroon,Cameroon,persistence,7,7,1,7,1.0,0,0,0,7,0,0.0,,0.0,,no_predicted_positives,
partial_2026,1,E_persist,country,Central African Republic,Central African Republic,partitioned_rf,103,72,1,69,0.6699029126213593,89,62,27,7,7,0.7848101265822784,0.6966292134831461,0.8985507246376812,,,
partial_2026,1,E_persist,country,Central African Republic,Central African Republic,pooled_rf,103,72,1,69,0.6699029126213593,86,61,25,8,9,0.7870967741935484,0.7093023255813954,0.8840579710144928,,,
partial_2026,1,E_persist,country,Central African Republic,Central African Republic,xgb,103,72,1,69,0.6699029126213593,70,47,23,22,11,0.6762589928057554,0.6714285714285714,0.6811594202898551,,,
partial_2026,1,E_persist,country,Central African Republic,Central African Republic,persistence,103,72,1,69,0.6699029126213593,61,42,19,27,15,0.6461538461538462,0.6885245901639344,0.6086956521739131,,,
partial_2026,1,E_persist,country,Chad,Chad,partitioned_rf,27,26,1,21,0.7777777777777778,19,13,6,8,0,0.65,0.6842105263157895,0.6190476190476191,,,
partial_2026,1,E_persist,country,Chad,Chad,pooled_rf,27,26,1,21,0.7777777777777778,16,10,6,11,0,0.5405405405405406,0.625,0.47619047619047616,,,
partial_2026,1,E_persist,country,Chad,Chad,xgb,27,26,1,21,0.7777777777777778,18,12,6,9,0,0.6153846153846154,0.6666666666666666,0.5714285714285714,,,
partial_2026,1,E_persist,country,Chad,Chad,persistence,27,26,1,21,0.7777777777777778,4,3,1,18,5,0.24,0.75,0.14285714285714285,,,
partial_2026,3,E_all,country,Cameroon,Cameroon,partitioned_rf,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,3,E_all,country,Cameroon,Cameroon,pooled_rf,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,3,E_all,country,Cameroon,Cameroon,xgb,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,3,E_all,country,Central African Republic,Central African Republic,partitioned_rf,103,72,1,69,0.6699029126213593,83,62,21,7,13,0.8157894736842105,0.7469879518072289,0.8985507246376812,,,
partial_2026,3,E_all,country,Central African Republic,Central African Republic,pooled_rf,103,72,1,69,0.6699029126213593,84,59,25,10,9,0.7712418300653595,0.7023809523809523,0.855072463768116,,,
partial_2026,3,E_all,country,Central African Republic,Central African Republic,xgb,103,72,1,69,0.6699029126213593,60,39,21,30,13,0.6046511627906976,0.65,0.5652173913043478,,,
partial_2026,3,E_all,country,Chad,Chad,partitioned_rf,27,26,1,21,0.7777777777777778,8,7,1,14,5,0.4827586206896552,0.875,0.3333333333333333,,,
partial_2026,3,E_all,country,Chad,Chad,pooled_rf,27,26,1,21,0.7777777777777778,9,6,3,15,3,0.4,0.6666666666666666,0.2857142857142857,,,
partial_2026,3,E_all,country,Chad,Chad,xgb,27,26,1,21,0.7777777777777778,20,14,6,7,0,0.6829268292682927,0.7,0.6666666666666666,,,
partial_2026,3,E_persist,country,Cameroon,Cameroon,partitioned_rf,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,3,E_persist,country,Cameroon,Cameroon,pooled_rf,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,3,E_persist,country,Cameroon,Cameroon,xgb,7,7,1,7,1.0,1,1,0,6,0,0.25,1.0,0.14285714285714285,,,
partial_2026,3,E_persist,country,Cameroon,Cameroon,persistence,7,7,1,7,1.0,0,0,0,7,0,0.0,,0.0,,no_predicted_positives,
partial_2026,3,E_persist,country,Central African Republic,Central African Republic,partitioned_rf,103,72,1,69,0.6699029126213593,83,62,21,7,13,0.8157894736842105,0.7469879518072289,0.8985507246376812,,,
partial_2026,3,E_persist,country,Central African Republic,Central African Republic,pooled_rf,103,72,1,69,0.6699029126213593,84,59,25,10,9,0.7712418300653595,0.7023809523809523,0.855072463768116,,,
partial_2026,3,E_persist,country,Central African Republic,Central African Republic,xgb,103,72,1,69,0.6699029126213593,60,39,21,30,13,0.6046511627906976,0.65,0.5652173913043478,,,
partial_2026,3,E_persist,country,Central African Republic,Central African Republic,persistence,103,72,1,69,0.6699029126213593,61,42,19,27,15,0.6461538461538462,0.6885245901639344,0.6086956521739131,,,
partial_2026,3,E_persist,country,Chad,Chad,partitioned_rf,27,26,1,21,0.7777777777777778,8,7,1,14,5,0.4827586206896552,0.875,0.3333333333333333,,,
