period,horizon_months,cohort,reference_arm,baseline_arm,n_observations,f1_reference,f1_baseline,delta_f1,delta_f1_reason,precision_reference,precision_baseline,delta_precision,delta_precision_reason,recall_reference,recall_baseline,delta_recall,delta_recall_reason
partial_2026,1,E_all,partitioned_rf,pooled_rf,137,0.7317073170731707,0.72,0.011707317073170742,,0.6944444444444444,0.6990291262135923,-0.004584681769147836,,0.7731958762886598,0.7422680412371134,0.030927835051546393,
partial_2026,1,E_all,partitioned_rf,xgb,137,0.7317073170731707,0.6451612903225806,0.08654602675059009,,0.6944444444444444,0.6741573033707865,0.02028714107365792,,0.7731958762886598,0.6185567010309279,0.15463917525773196,
partial_2026,1,E_persist,partitioned_rf,pooled_rf,137,0.7317073170731707,0.72,0.011707317073170742,,0.6944444444444444,0.6990291262135923,-0.004584681769147836,,0.7731958762886598,0.7422680412371134,0.030927835051546393,
partial_2026,1,E_persist,partitioned_rf,xgb,137,0.7317073170731707,0.6451612903225806,0.08654602675059009,,0.6944444444444444,0.6741573033707865,0.02028714107365792,,0.7731958762886598,0.6185567010309279,0.15463917525773196,
partial_2026,1,E_persist,partitioned_rf,persistence,137,0.7317073170731707,0.5555555555555556,0.17615176151761514,,0.6944444444444444,0.6923076923076923,0.002136752136752129,,0.7731958762886598,0.4639175257731959,0.30927835051546393,
partial_2026,3,E_all,partitioned_rf,pooled_rf,137,0.7407407407407407,0.6910994764397905,0.04964126430095017,,0.7608695652173914,0.7021276595744681,0.05874190564292325,,0.7216494845360825,0.6804123711340206,0.04123711340206182,
partial_2026,3,E_all,partitioned_rf,xgb,137,0.7407407407407407,0.6067415730337079,0.1339991677070328,,0.7608695652173914,0.6666666666666666,0.09420289855072472,,0.7216494845360825,0.5567010309278351,0.1649484536082474,
partial_2026,3,E_persist,partitioned_rf,pooled_rf,137,0.7407407407407407,0.6910994764397905,0.04964126430095017,,0.7608695652173914,0.7021276595744681,0.05874190564292325,,0.7216494845360825,0.6804123711340206,0.04123711340206182,
partial_2026,3,E_persist,partitioned_rf,xgb,137,0.7407407407407407,0.6067415730337079,0.1339991677070328,,0.7608695652173914,0.6666666666666666,0.09420289855072472,,0.7216494845360825,0.5567010309278351,0.1649484536082474,
partial_2026,3,E_persist,partitioned_rf,persistence,137,0.7407407407407407,0.546583850931677,0.19415688980906365,,0.7608695652173914,0.6875,0.07336956521739135,,0.7216494845360825,0.4536082474226804,0.26804123711340205,
partial_2026,6,E_all,partitioned_rf,pooled_rf,137,0.7924528301886793,0.7867298578199052,0.00572297236877406,,0.7304347826086957,0.7280701754385965,0.00236460717009912,,0.865979381443299,0.8556701030927835,0.010309278350515538,
partial_2026,6,E_all,partitioned_rf,xgb,137,0.7924528301886793,0.40816326530612246,0.38428956488255683,,0.7304347826086957,0.6,0.13043478260869568,,0.865979381443299,0.30927835051546393,0.5567010309278351,
partial_2026,6,E_persist,partitioned_rf,pooled_rf,137,0.7924528301886793,0.7867298578199052,0.00572297236877406,,0.7304347826086957,0.7280701754385965,0.00236460717009912,,0.865979381443299,0.8556701030927835,0.010309278350515538,
partial_2026,6,E_persist,partitioned_rf,xgb,137,0.7924528301886793,0.40816326530612246,0.38428956488255683,,0.7304347826086957,0.6,0.13043478260869568,,0.865979381443299,0.30927835051546393,0.5567010309278351,
partial_2026,6,E_persist,partitioned_rf,persistence,137,0.7924528301886793,0.6594594594594595,0.1329933707292198,,0.7304347826086957,0.6931818181818182,0.03725296442687742,,0.865979381443299,0.6288659793814433,0.23711340206185572,
partial_2026,12,E_all,partitioned_rf,pooled_rf,137,0.8021390374331551,0.8210526315789474,-0.0189135941457923,,0.8333333333333334,0.8387096774193549,-0.005376344086021501,,0.7731958762886598,0.8041237113402062,-0.030927835051546393,
partial_2026,12,E_all,partitioned_rf,xgb,137,0.8021390374331551,0.72,0.0821390374331551,,0.8333333333333334,0.8076923076923077,0.02564102564102566,,0.7731958762886598,0.6494845360824743,0.12371134020618557,
partial_2026,12,E_persist,partitioned_rf,pooled_rf,137,0.8021390374331551,0.8210526315789474,-0.0189135941457923,,0.8333333333333334,0.8387096774193549,-0.005376344086021501,,0.7731958762886598,0.8041237113402062,-0.030927835051546393,
partial_2026,12,E_persist,partitioned_rf,xgb,137,0.8021390374331551,0.72,0.0821390374331551,,0.8333333333333334,0.8076923076923077,0.02564102564102566,,0.7731958762886598,0.6494845360824743,0.12371134020618557,
partial_2026,12,E_persist,partitioned_rf,persistence,137,0.8021390374331551,0.8571428571428571,-0.05500381970970203,,0.8333333333333334,0.8484848484848485,-0.015151515151515138,,0.7731958762886598,0.865979381443299,-0.09278350515463918,
