period,horizon_months,cohort,dimension,country_id,country_en,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,country,Afghanistan,Afghanistan,partitioned_rf,371,140,1,219,0.5902964959568733,292,189,103,30,49,0.7397260273972602,0.6472602739726028,0.863013698630137,,,
main,1,E_all,country,Afghanistan,Afghanistan,pooled_rf,371,140,1,219,0.5902964959568733,306,193,113,26,39,0.7352380952380952,0.630718954248366,0.8812785388127854,,,
main,1,E_all,country,Afghanistan,Afghanistan,xgb,371,140,1,219,0.5902964959568733,288,194,94,25,58,0.7652859960552268,0.6736111111111112,0.8858447488584474,,,
main,1,E_all,country,Angola,Angola,partitioned_rf,14,14,1,9,0.6428571428571429,8,6,2,3,3,0.7058823529411765,0.75,0.6666666666666666,,,
main,1,E_all,country,Angola,Angola,pooled_rf,14,14,1,9,0.6428571428571429,8,6,2,3,3,0.7058823529411765,0.75,0.6666666666666666,,,
main,1,E_all,country,Angola,Angola,xgb,14,14,1,9,0.6428571428571429,14,9,5,0,0,0.782608695652174,0.6428571428571429,1.0,,,
main,1,E_all,country,Bangladesh,Bangladesh,partitioned_rf,94,44,1,50,0.5319148936170213,65,43,22,7,22,0.7478260869565218,0.6615384615384615,0.86,,,
main,1,E_all,country,Bangladesh,Bangladesh,pooled_rf,94,44,1,50,0.5319148936170213,65,43,22,7,22,0.7478260869565218,0.6615384615384615,0.86,,,
main,1,E_all,country,Bangladesh,Bangladesh,xgb,94,44,1,50,0.5319148936170213,46,33,13,17,31,0.6875,0.717391304347826,0.66,,,
main,1,E_all,country,Benin,Benin,partitioned_rf,246,70,1,1,0.0040650406504065045,0,0,0,1,245,0.0,,0.0,,no_predicted_positives,
main,1,E_all,country,Benin,Benin,pooled_rf,246,70,1,1,0.0040650406504065045,0,0,0,1,245,0.0,,0.0,,no_predicted_positives,
main,1,E_all,country,Benin,Benin,xgb,246,70,1,1,0.0040650406504065045,0,0,0,1,245,0.0,,0.0,,no_predicted_positives,
main,1,E_all,country,Burkina Faso,Burkina Faso,partitioned_rf,158,45,1,43,0.2721518987341772,21,10,11,33,104,0.3125,0.47619047619047616,0.23255813953488372,,,
main,1,E_all,country,Burkina Faso,Burkina Faso,pooled_rf,158,45,1,43,0.2721518987341772,23,11,12,32,103,0.3333333333333333,0.4782608695652174,0.2558139534883721,,,
main,1,E_all,country,Burkina Faso,Burkina Faso,xgb,158,45,1,43,0.2721518987341772,26,15,11,28,104,0.43478260869565216,0.5769230769230769,0.3488372093023256,,,
main,1,E_all,country,Burundi,Burundi,partitioned_rf,65,27,1,3,0.046153846153846156,3,3,0,0,62,1.0,1.0,1.0,,,
main,1,E_all,country,Burundi,Burundi,pooled_rf,65,27,1,3,0.046153846153846156,1,1,0,2,62,0.5,1.0,0.3333333333333333,,,
main,1,E_all,country,Burundi,Burundi,xgb,65,27,1,3,0.046153846153846156,0,0,0,3,62,0.0,,0.0,,no_predicted_positives,
main,1,E_all,country,Cabo Verde,Cabo Verde,partitioned_rf,38,19,1,0,0.0,1,0,1,0,37,0.0,0.0,,,,no_observed_positives
main,1,E_all,country,Cabo Verde,Cabo Verde,pooled_rf,38,19,1,0,0.0,1,0,1,0,37,0.0,0.0,,,,no_observed_positives
main,1,E_all,country,Cabo Verde,Cabo Verde,xgb,38,19,1,0,0.0,1,0,1,0,37,0.0,0.0,,,,no_observed_positives
main,1,E_all,country,Cameroon,Cameroon,partitioned_rf,258,58,1,51,0.19767441860465115,57,27,30,24,177,0.5,0.47368421052631576,0.5294117647058824,,,
main,1,E_all,country,Cameroon,Cameroon,pooled_rf,258,58,1,51,0.19767441860465115,51,28,23,23,184,0.5490196078431373,0.5490196078431373,0.5490196078431373,,,
main,1,E_all,country,Cameroon,Cameroon,xgb,258,58,1,51,0.19767441860465115,60,27,33,24,174,0.4864864864864865,0.45,0.5294117647058824,,,
main,1,E_all,country,Central African Republic,Central African Republic,partitioned_rf,1146,298,1,814,0.7102966841186736,906,707,199,107,133,0.8220930232558139,0.7803532008830022,0.8685503685503686,,,
main,1,E_all,country,Central African Republic,Central African Republic,pooled_rf,1146,298,1,814,0.7102966841186736,900,706,194,108,138,0.823803967327888,0.7844444444444445,0.8673218673218673,,,
main,1,E_all,country,Central African Republic,Central African Republic,xgb,1146,298,1,814,0.7102966841186736,920,735,185,79,147,0.8477508650519031,0.7989130434782609,0.902948402948403,,,
main,1,E_all,country,Chad,Chad,partitioned_rf,345,69,1,66,0.19130434782608696,30,9,21,57,258,0.1875,0.3,0.13636363636363635,,,
main,1,E_all,country,Chad,Chad,pooled_rf,345,69,1,66,0.19130434782608696,48,13,35,53,244,0.22807017543859648,0.2708333333333333,0.19696969696969696,,,
main,1,E_all,country,Chad,Chad,xgb,345,69,1,66,0.19130434782608696,63,19,44,47,235,0.29457364341085274,0.30158730158730157,0.2878787878787879,,,
main,1,E_all,country,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",partitioned_rf,953,406,1,416,0.43651626442812175,494,294,200,122,337,0.6461538461538462,0.5951417004048583,0.7067307692307693,,,
main,1,E_all,country,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",pooled_rf,953,406,1,416,0.43651626442812175,492,293,199,123,338,0.6453744493392071,0.5955284552845529,0.7043269230769231,,,
main,1,E_all,country,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",xgb,953,406,1,416,0.43651626442812175,538,315,223,101,314,0.660377358490566,0.5855018587360595,0.7572115384615384,,,
main,1,E_all,country,Côte d'Ivoire,Côte d'Ivoire,partitioned_rf,155,31,1,1,0.0064516129032258064,0,0,0,1,154,0.0,,0.0,,no_predicted_positives,
main,1,E_all,country,Côte d'Ivoire,Côte d'Ivoire,pooled_rf,155,31,1,1,0.0064516129032258064,0,0,0,1,154,0.0,,0.0,,no_predicted_positives,
main,1,E_all,country,Côte d'Ivoire,Côte d'Ivoire,xgb,155,31,1,1,0.0064516129032258064,0,0,0,1,154,0.0,,0.0,,no_predicted_positives,
main,1,E_all,country,Djibouti,Djibouti,partitioned_rf,87,16,1,42,0.4827586206896552,50,24,26,18,19,0.5217391304347826,0.48,0.5714285714285714,,,
main,1,E_all,country,Djibouti,Djibouti,pooled_rf,87,16,1,42,0.4827586206896552,46,24,22,18,23,0.5454545454545454,0.5217391304347826,0.5714285714285714,,,
main,1,E_all,country,Djibouti,Djibouti,xgb,87,16,1,42,0.4827586206896552,47,24,23,18,22,0.5393258426966292,0.5106382978723404,0.5714285714285714,,,
main,1,E_all,country,Dominican Republic,Dominican Republic,partitioned_rf,87,32,1,26,0.2988505747126437,29,2,27,24,34,0.07272727272727272,0.06896551724137931,0.07692307692307693,,,
main,1,E_all,country,Dominican Republic,Dominican Republic,pooled_rf,87,32,1,26,0.2988505747126437,30,2,28,24,33,0.07142857142857142,0.06666666666666667,0.07692307692307693,,,
main,1,E_all,country,Dominican Republic,Dominican Republic,xgb,87,32,1,26,0.2988505747126437,31,3,28,23,33,0.10526315789473684,0.0967741935483871,0.11538461538461539,,,
main,1,E_all,country,Ecuador,Ecuador,partitioned_rf,24,24,1,2,0.08333333333333333,13,0,13,2,9,0.0,0.0,0.0,,,
main,1,E_all,country,Ecuador,Ecuador,pooled_rf,24,24,1,2,0.08333333333333333,13,0,13,2,9,0.0,0.0,0.0,,,
main,1,E_all,country,Ecuador,Ecuador,xgb,24,24,1,2,0.08333333333333333,13,0,13,2,9,0.0,0.0,0.0,,,
main,1,E_all,country,El Salvador,El Salvador,partitioned_rf,58,19,1,12,0.20689655172413793,16,2,14,10,32,0.14285714285714285,0.125,0.16666666666666666,,,
main,1,E_all,country,El Salvador,El Salvador,pooled_rf,58,19,1,12,0.20689655172413793,14,2,12,10,34,0.15384615384615385,0.14285714285714285,0.16666666666666666,,,
main,1,E_all,country,El Salvador,El Salvador,xgb,58,19,1,12,0.20689655172413793,0,0,0,12,46,0.0,,0.0,,no_predicted_positives,
main,1,E_all,country,Eswatini,Eswatini,partitioned_rf,43,21,1,17,0.3953488372093023,18,9,9,8,17,0.5142857142857142,0.5,0.5294117647058824,,,
main,1,E_all,country,Eswatini,Eswatini,pooled_rf,43,21,1,17,0.3953488372093023,18,10,8,7,18,0.5714285714285714,0.5555555555555556,0.5882352941176471,,,
main,1,E_all,country,Eswatini,Eswatini,xgb,43,21,1,17,0.3953488372093023,22,10,12,7,14,0.5128205128205128,0.45454545454545453,0.5882352941176471,,,
main,1,E_all,country,Ethiopia,Ethiopia,partitioned_rf,76,38,1,46,0.6052631578947368,57,35,22,11,8,0.6796116504854369,0.6140350877192983,0.7608695652173914,,,
main,1,E_all,country,Ethiopia,Ethiopia,pooled_rf,76,38,1,46,0.6052631578947368,55,34,21,12,9,0.6732673267326733,0.6181818181818182,0.7391304347826086,,,
main,1,E_all,country,Ethiopia,Ethiopia,xgb,76,38,1,46,0.6052631578947368,60,38,22,8,8,0.7169811320754716,0.6333333333333333,0.8260869565217391,,,
main,1,E_all,country,Gambia,Gambia,partitioned_rf,32,8,1,0,0.0,0,0,0,0,32,,,,no_positive_truth_and_no_positive_prediction,no_predicted_positives,no_observed_positives
main,1,E_all,country,Gambia,Gambia,pooled_rf,32,8,1,0,0.0,0,0,0,0,32,,,,no_positive_truth_and_no_positive_prediction,no_predicted_positives,no_observed_positives
