period,horizon_months,cohort,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,partitioned_rf,17322,5999,53,6792,0.39210252857637684,7820,4930,2890,1862,7640,0.674787845606351,0.6304347826086957,0.7258539458186102,,,
main,1,E_all,pooled_rf,17322,5999,53,6792,0.39210252857637684,7725,4933,2792,1859,7738,0.6796170007577323,0.6385760517799353,0.7262956419316844,,,
main,1,E_all,xgb,17322,5999,53,6792,0.39210252857637684,7827,5040,2787,1752,7743,0.6895136466242561,0.6439248754311997,0.7420494699646644,,,
main,1,E_persist,partitioned_rf,16002,5773,52,5945,0.37151606049243846,6804,4219,2585,1726,7472,0.6618558318299474,0.6200764256319812,0.7096719932716569,,,
main,1,E_persist,pooled_rf,16002,5773,52,5945,0.37151606049243846,6694,4211,2483,1734,7574,0.6663501859324313,0.6290708096803107,0.7083263246425567,,,
main,1,E_persist,xgb,16002,5773,52,5945,0.37151606049243846,6831,4337,2494,1608,7563,0.6789292423293676,0.6348997218562435,0.729520605550883,,,
main,1,E_persist,persistence,16002,5773,52,5945,0.37151606049243846,6324,4180,2144,1765,7913,0.6813921264976771,0.6609740670461733,0.703111858704794,,,
main,3,E_all,partitioned_rf,16919,5999,53,6532,0.38607482711744195,7565,4625,2940,1907,7447,0.6561679790026247,0.6113681427627231,0.7080526638089406,,,
main,3,E_all,pooled_rf,16919,5999,53,6532,0.38607482711744195,7658,4476,3182,2056,7205,0.6308668076109937,0.5844868111778532,0.6852418860992039,,,
main,3,E_all,xgb,16919,5999,53,6532,0.38607482711744195,7974,5010,2964,1522,7423,0.690748655728664,0.6282919488337095,0.7669932639314145,,,
main,3,E_persist,partitioned_rf,15907,5768,52,5887,0.37008864022128624,6812,4108,2704,1779,7316,0.6469800771714308,0.6030534351145038,0.6978087311024291,,,
main,3,E_persist,pooled_rf,15907,5768,52,5887,0.37008864022128624,6876,3920,2956,1967,7064,0.6142756405233879,0.5700988947062245,0.6658739595719382,,,
main,3,E_persist,xgb,15907,5768,52,5887,0.37008864022128624,7140,4434,2706,1453,7314,0.6807400015352729,0.6210084033613446,0.7531849838627485,,,
main,3,E_persist,persistence,15907,5768,52,5887,0.37008864022128624,6329,4134,2195,1753,7825,0.6768172888015717,0.6531837573076316,0.7022252420587736,,,
main,6,E_all,partitioned_rf,16413,5939,53,6170,0.3759215256199354,6814,4293,2521,1877,7722,0.661275415896488,0.6300264162019372,0.6957860615883307,,,
main,6,E_all,pooled_rf,16413,5939,53,6170,0.3759215256199354,6727,4266,2461,1904,7782,0.6615491974877878,0.6341608443585551,0.6914100486223663,,,
main,6,E_all,xgb,16413,5939,53,6170,0.3759215256199354,7673,4638,3035,1532,7208,0.6700859640251391,0.6044571875407272,0.7517017828200973,,,
main,6,E_persist,partitioned_rf,14960,5674,52,5374,0.3592245989304813,5728,3645,2083,1729,7503,0.6566384435236894,0.6363477653631285,0.678265723855601,,,
main,6,E_persist,pooled_rf,14960,5674,52,5374,0.3592245989304813,5670,3643,2027,1731,7559,0.6597247374139804,0.6425044091710759,0.6778935615928545,,,
main,6,E_persist,xgb,14960,5674,52,5374,0.3592245989304813,6541,3974,2567,1400,7019,0.6670583298363407,0.6075523620241553,0.7394864160774097,,,
main,6,E_persist,persistence,14960,5674,52,5374,0.3592245989304813,5792,3751,2041,1623,7545,0.6718610066272613,0.6476174033149171,0.6979903237811685,,,
main,12,E_all,partitioned_rf,14087,5921,52,5419,0.3846809114786683,6987,4067,2920,1352,5748,0.6556504916975657,0.582081007585516,0.7505074737036354,,,
main,12,E_all,pooled_rf,14087,5921,52,5419,0.3846809114786683,6706,3948,2758,1471,5910,0.6512164948453608,0.5887265135699373,0.7285477025281417,,,
main,12,E_all,xgb,14087,5921,52,5419,0.3846809114786683,7153,4211,2942,1208,5726,0.669901368119631,0.5887040402628267,0.7770806421849049,,,
main,12,E_persist,partitioned_rf,12404,5524,51,4580,0.3692357304095453,5795,3430,2365,1150,5459,0.6612048192771084,0.5918895599654875,0.7489082969432315,,,
main,12,E_persist,pooled_rf,12404,5524,51,4580,0.3692357304095453,5490,3313,2177,1267,5647,0.6579940417080437,0.6034608378870674,0.7233624454148472,,,
main,12,E_persist,xgb,12404,5524,51,4580,0.3692357304095453,5887,3552,2335,1028,5489,0.6787044998566925,0.6033633429590624,0.7755458515283843,,,
main,12,E_persist,persistence,12404,5524,51,4580,0.3692357304095453,5149,3288,1861,1292,5963,0.6759173604687018,0.6385705962322781,0.7179039301310044,,,
