period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,935,653,282,393,501,0.6592629984856133,0.6983957219251337,0.624282982791587,,,
partial_2026,1,E_all,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,896,647,249,399,534,0.666323377960865,0.7220982142857143,0.6185468451242829,,,
partial_2026,1,E_all,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,965,732,233,314,550,0.7279960218796618,0.7585492227979275,0.6998087954110899,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,partitioned_rf,1877,1724,27,764,0.4070324986680874,672,457,215,307,898,0.6364902506963789,0.6800595238095238,0.5981675392670157,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,pooled_rf,1877,1724,27,764,0.4070324986680874,655,447,208,317,905,0.6300211416490487,0.6824427480916031,0.5850785340314136,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,xgb,1877,1724,27,764,0.4070324986680874,637,465,172,299,941,0.6638115631691649,0.7299843014128728,0.6086387434554974,,,
partial_2026,1,E_all,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,142,96,46,17,227,0.7529411764705882,0.676056338028169,0.8495575221238938,,,
partial_2026,1,E_all,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,142,96,46,17,227,0.7529411764705882,0.676056338028169,0.8495575221238938,,,
partial_2026,1,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,137,93,44,20,229,0.744,0.6788321167883211,0.8230088495575221,,,
partial_2026,1,E_persist,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,935,653,282,393,501,0.6592629984856133,0.6983957219251337,0.624282982791587,,,
partial_2026,1,E_persist,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,896,647,249,399,534,0.666323377960865,0.7220982142857143,0.6185468451242829,,,
partial_2026,1,E_persist,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,965,732,233,314,550,0.7279960218796618,0.7585492227979275,0.6998087954110899,,,
partial_2026,1,E_persist,assignment_provenance,learned,persistence,1829,1608,27,1046,0.5718972115910333,915,642,273,404,510,0.6547679755226925,0.7016393442622951,0.6137667304015296,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1874,1721,27,761,0.40608324439701177,672,457,215,304,898,0.6378227494766224,0.6800595238095238,0.6005256241787122,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,pooled_rf,1874,1721,27,761,0.40608324439701177,654,446,208,315,905,0.6303886925795052,0.6819571865443425,0.5860709592641261,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,xgb,1874,1721,27,761,0.40608324439701177,634,462,172,299,941,0.6623655913978495,0.7287066246056783,0.607095926412615,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,persistence,1874,1721,27,761,0.40608324439701177,678,363,315,398,798,0.5045170257123002,0.5353982300884956,0.47700394218134035,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,142,96,46,17,227,0.7529411764705882,0.676056338028169,0.8495575221238938,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,142,96,46,17,227,0.7529411764705882,0.676056338028169,0.8495575221238938,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,137,93,44,20,229,0.744,0.6788321167883211,0.8230088495575221,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,persistence,386,378,14,113,0.2927461139896373,156,87,69,26,204,0.6468401486988847,0.5576923076923077,0.7699115044247787,,,
