period,horizon_months,cohort,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,partitioned_rf,4092,3710,32,1923,0.46994134897360706,1749,1206,543,717,1626,0.6568627450980392,0.6895368782161235,0.6271450858034321,,,
partial_2026,1,E_all,pooled_rf,4092,3710,32,1923,0.46994134897360706,1693,1190,503,733,1666,0.6581858407079646,0.7028942705256941,0.6188247529901196,,,
partial_2026,1,E_all,xgb,4092,3710,32,1923,0.46994134897360706,1739,1290,449,633,1720,0.7045330420535226,0.7418056354226567,0.6708268330733229,,,
partial_2026,1,E_persist,partitioned_rf,4089,3707,32,1920,0.46955245781364635,1749,1206,543,714,1626,0.6573998364677024,0.6895368782161235,0.628125,,,
partial_2026,1,E_persist,pooled_rf,4089,3707,32,1920,0.46955245781364635,1692,1189,503,731,1666,0.6583610188261351,0.7027186761229315,0.6192708333333333,,,
partial_2026,1,E_persist,xgb,4089,3707,32,1920,0.46955245781364635,1736,1287,449,633,1720,0.7040481400437637,0.7413594470046083,0.6703125,,,
partial_2026,1,E_persist,persistence,4089,3707,32,1920,0.46955245781364635,1749,1092,657,828,1512,0.5952575633687653,0.6243567753001715,0.56875,,,
partial_2026,3,E_all,partitioned_rf,4092,3710,32,1923,0.46994134897360706,1403,966,437,957,1732,0.5808779314491882,0.6885245901639344,0.5023400936037441,,,
partial_2026,3,E_all,pooled_rf,4092,3710,32,1923,0.46994134897360706,1480,1026,454,897,1715,0.6029973552747576,0.6932432432432433,0.5335413416536662,,,
partial_2026,3,E_all,xgb,4092,3710,32,1923,0.46994134897360706,1792,1275,517,648,1652,0.6864064602960969,0.7114955357142857,0.6630265210608425,,,
partial_2026,3,E_persist,partitioned_rf,4089,3707,32,1920,0.46955245781364635,1402,965,437,955,1732,0.5809753160746538,0.68830242510699,0.5026041666666666,,,
partial_2026,3,E_persist,pooled_rf,4089,3707,32,1920,0.46955245781364635,1478,1024,454,896,1715,0.6027074749852854,0.6928281461434371,0.5333333333333333,,,
partial_2026,3,E_persist,xgb,4089,3707,32,1920,0.46955245781364635,1789,1272,517,648,1652,0.6858991641952009,0.7110117384013416,0.6625,,,
partial_2026,3,E_persist,persistence,4089,3707,32,1920,0.46955245781364635,1779,1111,668,809,1501,0.6007028926736956,0.6245081506464306,0.5786458333333333,,,
partial_2026,6,E_all,partitioned_rf,4092,3710,32,1923,0.46994134897360706,1843,1173,670,750,1499,0.6229421136484333,0.636462289744981,0.609984399375975,,,
partial_2026,6,E_all,pooled_rf,4092,3710,32,1923,0.46994134897360706,2366,1504,862,419,1307,0.7013289811144789,0.6356720202874049,0.782111284451378,,,
partial_2026,6,E_all,xgb,4092,3710,32,1923,0.46994134897360706,2275,1540,735,383,1434,0.7336827060505002,0.676923076923077,0.8008320332813312,,,
partial_2026,6,E_persist,partitioned_rf,4089,3707,32,1920,0.46955245781364635,1842,1172,670,748,1499,0.6230728335991493,0.6362649294245385,0.6104166666666667,,,
partial_2026,6,E_persist,pooled_rf,4089,3707,32,1920,0.46955245781364635,2364,1502,862,418,1307,0.7012138188608776,0.6353637901861252,0.7822916666666667,,,
partial_2026,6,E_persist,xgb,4089,3707,32,1920,0.46955245781364635,2272,1537,735,383,1434,0.7333015267175572,0.6764964788732394,0.8005208333333333,,,
partial_2026,6,E_persist,persistence,4089,3707,32,1920,0.46955245781364635,1906,1225,681,695,1488,0.6403554626241506,0.642707240293809,0.6380208333333334,,,
partial_2026,12,E_all,partitioned_rf,4092,3710,32,1923,0.46994134897360706,1939,1314,625,609,1544,0.6804764370792336,0.6776689014956163,0.6833073322932918,,,
partial_2026,12,E_all,pooled_rf,4092,3710,32,1923,0.46994134897360706,1821,1296,525,627,1644,0.6923076923076923,0.7116968698517299,0.6739469578783152,,,
partial_2026,12,E_all,xgb,4092,3710,32,1923,0.46994134897360706,1955,1322,633,601,1536,0.6817947395564724,0.6762148337595908,0.6874674986999479,,,
partial_2026,12,E_persist,partitioned_rf,4040,3660,31,1917,0.4745049504950495,1935,1311,624,606,1499,0.6806853582554517,0.6775193798449612,0.6838810641627543,,,
partial_2026,12,E_persist,pooled_rf,4040,3660,31,1917,0.4745049504950495,1815,1292,523,625,1600,0.692390139335477,0.7118457300275483,0.6739697443922796,,,
partial_2026,12,E_persist,xgb,4040,3660,31,1917,0.4745049504950495,1944,1320,624,597,1499,0.6837606837606838,0.6790123456790124,0.6885758998435054,,,
partial_2026,12,E_persist,persistence,4040,3660,31,1917,0.4745049504950495,1923,1363,560,554,1563,0.7098958333333333,0.7087883515340614,0.7110067814293166,,,
