fold_id,stage,horizon_months,target_month,origin_month,target_ord,origin_ord,test_rows,test_rows_with_history,test_rows_without_history,full_pool_rows,matched_pool_rows
dev_h01_2020-01,development,1,2020-01,2019-12,24240,24239,998,973,25,6574,3950
dev_h01_2020-02,development,1,2020-02,2020-01,24241,24240,216,191,25,6927,4662
dev_h01_2020-03,development,1,2020-03,2020-02,24242,24241,0,0,0,7122,4853
dev_h01_2020-04,development,1,2020-04,2020-03,24243,24242,45,35,10,7090,4853
dev_h01_2020-05,development,1,2020-05,2020-04,24244,24243,8,8,0,7127,4888
dev_h01_2020-06,development,1,2020-06,2020-05,24245,24244,646,566,80,7042,4823
dev_h01_2020-07,development,1,2020-07,2020-06,24246,24245,335,177,158,7532,5389
dev_h01_2020-08,development,1,2020-08,2020-07,24247,24246,137,69,68,7737,5488
dev_h01_2020-09,development,1,2020-09,2020-08,24248,24247,1082,1034,48,7828,5545
dev_h01_2020-10,development,1,2020-10,2020-09,24249,24248,580,487,93,8370,6089
dev_h01_2020-11,development,1,2020-11,2020-10,24250,24249,46,34,12,8933,6574
dev_h01_2020-12,development,1,2020-12,2020-11,24251,24250,18,11,7,8941,6598
dev_h01_2021-01,development,1,2021-01,2020-12,24252,24251,997,959,38,8959,6609
dev_h01_2021-02,development,1,2021-02,2021-01,24253,24252,193,126,67,9306,6925
dev_h01_2021-03,development,1,2021-03,2021-02,24254,24253,73,65,8,9493,7051
dev_h01_2021-04,development,1,2021-04,2021-03,24255,24254,204,194,10,9524,7088
dev_h01_2021-05,development,1,2021-05,2021-04,24256,24255,54,54,0,9692,7270
dev_h01_2021-06,development,1,2021-06,2021-05,24257,24256,25,8,17,9691,7324
dev_h01_2021-07,development,1,2021-07,2021-06,24258,24257,166,80,86,9702,7318
dev_h01_2021-08,development,1,2021-08,2021-07,24259,24258,0,0,0,9760,7290
dev_h01_2021-09,development,1,2021-09,2021-08,24260,24259,1339,1192,147,9577,7237
dev_h01_2021-10,development,1,2021-10,2021-09,24261,24260,39,27,12,10270,7883
dev_h01_2021-11,development,1,2021-11,2021-10,24262,24261,138,89,49,10257,7897
dev_h01_2021-12,development,1,2021-12,2021-11,24263,24262,18,15,3,10367,7981
dev_h01_2022-01,development,1,2022-01,2021-12,24264,24263,928,907,21,10042,7992
dev_h01_2022-02,development,1,2022-02,2022-01,24265,24264,101,101,0,10339,8320
dev_h01_2022-03,development,1,2022-03,2022-02,24266,24265,91,90,1,10380,8421
dev_h01_2022-04,development,1,2022-04,2022-03,24267,24266,210,206,4,10471,8511
dev_h01_2022-05,development,1,2022-05,2022-04,24268,24267,18,2,16,10642,8717
dev_h01_2022-06,development,1,2022-06,2022-05,24269,24268,165,109,56,10540,8640
dev_h01_2022-07,development,1,2022-07,2022-06,24270,24269,585,242,343,10465,8688
dev_h01_2022-08,development,1,2022-08,2022-07,24271,24270,5,0,5,10695,8714
dev_h01_2022-09,development,1,2022-09,2022-08,24272,24271,1375,1217,158,10591,8609
dev_h01_2022-10,development,1,2022-10,2022-09,24273,24272,635,400,235,10963,9291
dev_h01_2022-11,development,1,2022-11,2022-10,24274,24273,24,0,24,11534,9690
dev_h01_2022-12,development,1,2022-12,2022-11,24275,24274,16,0,16,11516,9690
dev_h03_2020-01,development,3,2020-01,2019-10,24240,24237,998,973,25,6510,3916
dev_h03_2020-02,development,3,2020-02,2019-11,24241,24238,216,191,25,6552,3916
dev_h03_2020-03,development,3,2020-03,2019-12,24242,24239,0,0,0,6574,3938
dev_h03_2020-04,development,3,2020-04,2020-01,24243,24240,45,35,10,6927,4650
dev_h03_2020-05,development,3,2020-05,2020-02,24244,24241,8,8,0,7122,4841
dev_h03_2020-06,development,3,2020-06,2020-03,24245,24242,646,566,80,7090,4841
dev_h03_2020-07,development,3,2020-07,2020-04,24246,24243,335,177,158,7127,4876
dev_h03_2020-08,development,3,2020-08,2020-05,24247,24244,137,69,68,7042,4811
dev_h03_2020-09,development,3,2020-09,2020-06,24248,24245,1082,1034,48,7532,5377
