method,horizon_months,tp,fp,fn,tn,n,f1,precision,recall,undefined,fallback_rows,note
binary_history_xgb,1,4880.0,2522.0,1912.0,8008.0,17322,0.6876144849936593,0.6592812753309917,0.71849234393404,[],1320.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
binary_history_xgb,3,4665.0,2474.0,1867.0,7913.0,16919,0.6824665350010972,0.6534528645468552,0.7141763625229639,[],1012.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
binary_history_xgb,6,4404.0,2546.0,1766.0,7697.0,16413,0.6713414634146342,0.6336690647482014,0.7137763371150729,[],1453.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
binary_history_xgb,12,3896.0,2494.0,1523.0,6174.0,14087,0.6598357185197731,0.6097026604068858,0.7189518361321277,[],1683.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
rich_direct_xgb,1,4798.0,2346.0,1994.0,8184.0,17322,0.6885763490241102,0.671612541993281,0.7064193168433451,[],1320.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
rich_direct_xgb,3,4635.0,2398.0,1897.0,7989.0,16919,0.6833763361592333,0.6590359732688753,0.7095835884874464,[],1012.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
rich_direct_xgb,6,4347.0,2467.0,1823.0,7776.0,16413,0.6695933456561922,0.6379512767830936,0.7045380875202594,[],1453.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
rich_direct_xgb,12,4031.0,2822.0,1388.0,5846.0,14087,0.6569426336375489,0.5882095432657231,0.7438641815833179,[],1683.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
correction_xgb,1,4875.0,2493.0,1917.0,8037.0,17322,0.6885593220338984,0.6616449511400652,0.717756183745583,[],1320.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
correction_xgb,3,4652.0,2415.0,1880.0,7972.0,16919,0.6841679535259946,0.6582708362813074,0.7121861604409063,[],1012.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
correction_xgb,6,4456.0,2580.0,1714.0,7663.0,16413,0.6748447675299106,0.633314383172257,0.7222042139384117,[],1453.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
correction_xgb,12,3889.0,2477.0,1530.0,6191.0,14087,0.6599915146372507,0.6109016650958216,0.7176600848865105,[],1683.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
share_xgb,1,4834.0,2404.0,1958.0,8126.0,17322,0.6890947968638631,0.6678640508427742,0.7117196702002355,[],1320.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
share_xgb,3,4736.0,2520.0,1796.0,7867.0,16919,0.6869741804467653,0.6527012127894156,0.7250459277403551,[],1012.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
share_xgb,6,4751.0,2897.0,1419.0,7346.0,16413,0.6876537849182226,0.6212081589958159,0.7700162074554295,[],1453.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
share_xgb,12,4215.0,3045.0,1204.0,5623.0,14087,0.6648789336698477,0.5805785123966942,0.7778187857538291,[],1683.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
rich_rf,1,4916.0,2476.0,1876.0,8054.0,17322,0.6931754089114496,0.66504329004329,0.7237926972909305,[],1320.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
rich_rf,3,4786.0,2475.0,1746.0,7912.0,16919,0.6939752048140361,0.6591378597989258,0.7327005511328842,[],1012.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
rich_rf,6,4662.0,2691.0,1508.0,7552.0,16413,0.689491976632404,0.6340269277845777,0.7555915721231766,[],1453.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
rich_rf,12,4209.0,3074.0,1210.0,5594.0,14087,0.6627302786962683,0.5779211863243169,0.7767115704004429,[],1683.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
fullpool_xgb,1,5285.0,3054.0,1507.0,7476.0,17322,0.6985658581719648,0.6337690370548027,0.7781213191990577,[],1320.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
fullpool_xgb,3,4807.0,2612.0,1725.0,7775.0,16919,0.6891262275105727,0.6479309880037741,0.7359154929577465,[],1012.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
fullpool_xgb,6,4795.0,3024.0,1375.0,7219.0,16413,0.6855386375008936,0.6132497761862131,0.7771474878444085,[],1453.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
fullpool_xgb,12,4294.0,3211.0,1125.0,5457.0,14087,0.6645001547508511,0.5721518987341773,0.7923971212400812,[],1683.0,method on E_history + shared fullpool_xgb@0.5 on E_no_history
persistence,1,,,,,16002,,,,,,persistence is undefined on E_no_history; not a zero prediction
persistence,3,,,,,15907,,,,,,persistence is undefined on E_no_history; not a zero prediction
persistence,6,,,,,14960,,,,,,persistence is undefined on E_no_history; not a zero prediction
persistence,12,,,,,12404,,,,,,persistence is undefined on E_no_history; not a zero prediction
