method,horizon_months,tp,fp,fn,tn,n,f1,precision,recall,undefined
binary_history_xgb,1,4180,2142,1765,7915,16002,0.6815032200211951,0.6611831698829485,0.703111858704794,[]
binary_history_xgb,3,4120,2173,1767,7847,15907,0.6765188834154351,0.6546956936278404,0.6998471207745881,[]
binary_history_xgb,6,3742,2037,1632,7549,14960,0.6710302160853582,0.6475168714310434,0.6963155935988091,[]
binary_history_xgb,12,3288,1861,1292,5963,12404,0.6759173604687018,0.6385705962322781,0.7179039301310044,[]
rich_direct_xgb,1,4098,1966,1847,8091,16002,0.6824881338995753,0.6757915567282322,0.6893187552565181,[]
rich_direct_xgb,3,4090,2097,1797,7923,15907,0.6774888189498095,0.6610635202844675,0.6947511465941906,[]
rich_direct_xgb,6,3685,1958,1689,7628,14960,0.668966143233185,0.6530214424951267,0.6857089691105321,[]
rich_direct_xgb,12,3423,2189,1157,5635,12404,0.6717032967032966,0.6099429793300071,0.7473799126637555,[]
correction_xgb,1,4175,2113,1770,7944,16002,0.6825799068094498,0.6639631043256997,0.7022708158116064,[]
correction_xgb,3,4107,2114,1780,7906,15907,0.678394449950446,0.6601832502813053,0.6976388652964158,[]
correction_xgb,6,3794,2071,1580,7515,14960,0.6751490346116202,0.6468883205456095,0.7059918124302196,[]
correction_xgb,12,3281,1844,1299,5980,12404,0.6761463163317878,0.6401951219512195,0.7163755458515284,[]
share_xgb,1,4134,2024,1811,8033,16002,0.6831364124597207,0.6713218577460215,0.6953742640874685,[]
share_xgb,3,4191,2219,1696,7801,15907,0.6816296657721396,0.6538221528861154,0.7119075930015288,[]
share_xgb,6,4089,2388,1285,7198,14960,0.6900683486625602,0.6313107920333487,0.7608857461853368,[]
share_xgb,12,3607,2412,973,5412,12404,0.6806302481366167,0.5992689815583984,0.7875545851528384,[]
rich_rf,1,4216,2096,1729,7961,16002,0.6879334257975035,0.6679340937896071,0.7091673675357443,[]
rich_rf,3,4241,2174,1646,7846,15907,0.6894813851406275,0.6611067809820733,0.7204008833021913,[]
rich_rf,6,4000,2182,1374,7404,14960,0.6922810661128418,0.6470397929472662,0.744324525493115,[]
rich_rf,12,3601,2441,979,5383,12404,0.6780267369610243,0.5959947037404832,0.7862445414847161,[]
fullpool_xgb,1,4585,2674,1360,7383,16002,0.694486519236595,0.6316297010607522,0.7712363330529857,[]
fullpool_xgb,3,4262,2311,1625,7709,15907,0.6841091492776886,0.6484101627871596,0.7239680652284695,[]
fullpool_xgb,6,4133,2515,1241,7071,14960,0.6875727832307437,0.621690734055355,0.7690733159657611,[]
fullpool_xgb,12,3686,2578,894,5246,12404,0.6798229435632608,0.5884418901660281,0.8048034934497816,[]
persistence,1,4180,2144,1765,7913,16002,0.6813921264976771,0.6609740670461733,0.703111858704794,[]
persistence,3,4134,2195,1753,7825,15907,0.6768172888015717,0.6531837573076316,0.7022252420587736,[]
persistence,6,3751,2041,1623,7545,14960,0.6718610066272613,0.6476174033149171,0.6979903237811685,[]
persistence,12,3288,1861,1292,5963,12404,0.6759173604687018,0.6385705962322781,0.7179039301310044,[]
