method,horizon_months,history_age_bin,tp,fp,fn,tn,n,f1,precision,recall
binary_history_xgb,1,0-3,613,491,498,2273,3875,0.5534988713318284,0.5552536231884058,0.5517551755175517
binary_history_xgb,1,4-6,1207,456,364,1127,3154,0.7464440321583179,0.7257967528562839,0.7683004455760662
binary_history_xgb,1,7-12,1019,462,406,3364,5251,0.7013076393668273,0.6880486158001351,0.7150877192982457
binary_history_xgb,1,13-24,378,216,229,427,1250,0.6294754371357202,0.6363636363636364,0.6227347611202636
binary_history_xgb,1,25+,963,517,268,724,2472,0.7104389524160827,0.6506756756756756,0.7822908204711616
binary_history_xgb,3,0-3,1395,832,790,3099,6116,0.6323662737987308,0.6264032330489447,0.6384439359267735
binary_history_xgb,3,4-6,702,396,258,2938,4294,0.6822157434402333,0.639344262295082,0.73125
binary_history_xgb,3,7-12,822,255,344,789,2210,0.7329469460543915,0.7632311977715878,0.7049742710120068
binary_history_xgb,3,13-24,258,237,90,331,916,0.6120996441281139,0.5212121212121212,0.7413793103448276
binary_history_xgb,3,25+,943,453,285,690,2371,0.71875,0.6755014326647565,0.7679153094462541
binary_history_xgb,6,0-3,1108,575,758,3838,6279,0.6244012397858552,0.6583481877599525,0.5937834941050375
binary_history_xgb,6,4-6,887,411,349,2099,3746,0.7000789265982637,0.6833590138674884,0.7176375404530745
binary_history_xgb,6,7-12,429,266,138,488,1321,0.6798732171156894,0.6172661870503597,0.7566137566137566
binary_history_xgb,6,13-24,361,237,72,383,1053,0.7002909796314258,0.6036789297658863,0.8337182448036952
binary_history_xgb,6,25+,957,548,315,741,2561,0.6892329852358661,0.6358803986710964,0.7523584905660378
binary_history_xgb,12,0-3,1092,509,559,3881,6041,0.6715867158671587,0.6820737039350406,0.6614173228346457
binary_history_xgb,12,4-6,286,264,86,365,1001,0.6203904555314533,0.52,0.7688172043010753
binary_history_xgb,12,7-12,380,122,179,394,1075,0.7163053722902922,0.7569721115537849,0.6797853309481217
binary_history_xgb,12,13-24,590,367,188,518,1663,0.6801152737752162,0.6165099268547545,0.7583547557840618
binary_history_xgb,12,25+,940,599,280,805,2624,0.681406306632838,0.6107862248213125,0.7704918032786885
correction_xgb,1,0-3,613,491,498,2273,3875,0.5534988713318284,0.5552536231884058,0.5517551755175517
correction_xgb,1,4-6,1206,449,365,1134,3154,0.7476751394916304,0.7287009063444109,0.7676639083386378
correction_xgb,1,7-12,1016,441,409,3385,5251,0.7050659264399722,0.6973232669869595,0.7129824561403508
correction_xgb,1,13-24,378,216,229,427,1250,0.6294754371357202,0.6363636363636364,0.6227347611202636
correction_xgb,1,25+,962,516,269,725,2472,0.7102251753414545,0.6508795669824087,0.7814784727863525
correction_xgb,3,0-3,1393,816,792,3115,6116,0.6340464269458352,0.6306020823902219,0.6375286041189931
correction_xgb,3,4-6,697,352,263,2982,4294,0.6938775510204082,0.6644423260247855,0.7260416666666667
correction_xgb,3,7-12,820,252,346,792,2210,0.7327971403038427,0.7649253731343284,0.7032590051457976
correction_xgb,3,13-24,250,238,98,330,916,0.5980861244019139,0.5122950819672131,0.7183908045977011
correction_xgb,3,25+,947,456,281,687,2371,0.7198783732421132,0.6749821810406272,0.7711726384364821
correction_xgb,6,0-3,1139,580,727,3833,6279,0.6354253835425383,0.6625945317044794,0.6103965702036441
correction_xgb,6,4-6,889,400,347,2110,3746,0.7041584158415841,0.6896819239720714,0.7192556634304207
correction_xgb,6,7-12,437,297,130,457,1321,0.6717909300538047,0.5953678474114441,0.7707231040564374
correction_xgb,6,13-24,369,242,64,378,1053,0.7068965517241379,0.6039279869067103,0.8521939953810623
correction_xgb,6,25+,960,552,312,737,2561,0.6896551724137931,0.6349206349206349,0.7547169811320755
correction_xgb,12,0-3,1087,493,564,3897,6041,0.6728567007118539,0.6879746835443038,0.658388855239249
correction_xgb,12,4-6,285,263,87,366,1001,0.6195652173913043,0.5200729927007299,0.7661290322580645
correction_xgb,12,7-12,380,122,179,394,1075,0.7163053722902922,0.7569721115537849,0.6797853309481217
correction_xgb,12,13-24,590,367,188,518,1663,0.6801152737752162,0.6165099268547545,0.7583547557840618
correction_xgb,12,25+,939,599,281,805,2624,0.6809282088469906,0.6105331599479844,0.769672131147541
fullpool_xgb,1,0-3,699,569,412,2195,3875,0.587641866330391,0.5512618296529969,0.6291629162916291
fullpool_xgb,1,4-6,1297,541,274,1042,3154,0.7609269580522148,0.705658324265506,0.8255887969446213
fullpool_xgb,1,7-12,1085,520,340,3306,5251,0.7161716171617162,0.67601246105919,0.7614035087719299
fullpool_xgb,1,13-24,476,346,131,297,1250,0.6662001399580126,0.5790754257907542,0.7841845140032949
fullpool_xgb,1,25+,1028,698,203,543,2472,0.6952992898207643,0.5955967555040557,0.8350934199837531
fullpool_xgb,3,0-3,1425,853,760,3078,6116,0.638583912166704,0.625548726953468,0.6521739130434783
fullpool_xgb,3,4-6,724,407,236,2927,4294,0.6924916307986609,0.6401414677276747,0.7541666666666667
fullpool_xgb,3,7-12,875,316,291,728,2210,0.7424692405600339,0.7346767422334173,0.7504288164665524
fullpool_xgb,3,13-24,274,255,74,313,916,0.6248574686431014,0.5179584120982986,0.7873563218390804
fullpool_xgb,3,25+,964,480,264,663,2371,0.7215568862275449,0.667590027700831,0.7850162866449512
fullpool_xgb,6,0-3,1287,671,579,3742,6279,0.6731171548117155,0.6573033707865169,0.6897106109324759
fullpool_xgb,6,4-6,911,426,325,2084,3746,0.7081228138359891,0.681376215407629,0.7370550161812298
fullpool_xgb,6,7-12,492,430,75,324,1321,0.6608462055070518,0.5336225596529284,0.8677248677248677
fullpool_xgb,6,13-24,390,334,43,286,1053,0.6741573033707865,0.5386740331491713,0.9006928406466512
fullpool_xgb,6,25+,1053,654,219,635,2561,0.7069486404833837,0.616871704745167,0.8278301886792453
fullpool_xgb,12,0-3,1253,700,398,3690,6041,0.695338512763596,0.6415770609318996,0.7589339794064204
fullpool_xgb,12,4-6,317,351,55,278,1001,0.6096153846153847,0.4745508982035928,0.8521505376344086
fullpool_xgb,12,7-12,432,166,127,350,1075,0.7467588591184097,0.7224080267558528,0.7728085867620751
fullpool_xgb,12,13-24,653,555,125,330,1663,0.6576032225579054,0.5405629139072847,0.8393316195372751
fullpool_xgb,12,25+,1031,806,189,598,2624,0.6745175008177953,0.5612411540555253,0.8450819672131148
persistence,1,0-3,613,493,498,2271,3875,0.552999548940009,0.554249547920434,0.5517551755175517
persistence,1,4-6,1207,456,364,1127,3154,0.7464440321583179,0.7257967528562839,0.7683004455760662
persistence,1,7-12,1019,462,406,3364,5251,0.7013076393668273,0.6880486158001351,0.7150877192982457
persistence,1,13-24,378,216,229,427,1250,0.6294754371357202,0.6363636363636364,0.6227347611202636
persistence,1,25+,963,517,268,724,2472,0.7104389524160827,0.6506756756756756,0.7822908204711616
persistence,3,0-3,1398,838,787,3093,6116,0.6324361004297671,0.6252236135957067,0.6398169336384439
persistence,3,4-6,707,406,253,2928,4294,0.6821032320308731,0.6352201257861635,0.7364583333333333
persistence,3,7-12,822,255,344,789,2210,0.7329469460543915,0.7632311977715878,0.7049742710120068
persistence,3,13-24,258,238,90,330,916,0.6113744075829384,0.5201612903225806,0.7413793103448276
persistence,3,25+,949,458,279,685,2371,0.720303605313093,0.6744847192608386,0.7728013029315961
persistence,6,0-3,1113,578,753,3835,6279,0.6258082653921844,0.6581904198698995,0.5964630225080386
persistence,6,4-6,891,412,345,2098,3746,0.7018511224891689,0.6838066001534919,0.720873786407767
persistence,6,7-12,429,266,138,488,1321,0.6798732171156894,0.6172661870503597,0.7566137566137566
persistence,6,13-24,361,237,72,383,1053,0.7002909796314258,0.6036789297658863,0.8337182448036952
persistence,6,25+,957,548,315,741,2561,0.6892329852358661,0.6358803986710964,0.7523584905660378
persistence,12,0-3,1092,509,559,3881,6041,0.6715867158671587,0.6820737039350406,0.6614173228346457
persistence,12,4-6,286,264,86,365,1001,0.6203904555314533,0.52,0.7688172043010753
persistence,12,7-12,380,122,179,394,1075,0.7163053722902922,0.7569721115537849,0.6797853309481217
persistence,12,13-24,590,367,188,518,1663,0.6801152737752162,0.6165099268547545,0.7583547557840618
persistence,12,25+,940,599,280,805,2624,0.681406306632838,0.6107862248213125,0.7704918032786885
rich_direct_xgb,1,0-3,597,445,514,2319,3875,0.5545750116117046,0.572936660268714,0.5373537353735374
rich_direct_xgb,1,4-6,1200,435,371,1148,3154,0.7485963817841547,0.7339449541284404,0.7638446849140674
rich_direct_xgb,1,7-12,974,363,451,3463,5251,0.7052860246198407,0.7284966342557966,0.6835087719298245
rich_direct_xgb,1,13-24,378,215,229,428,1250,0.63,0.6374367622259697,0.6227347611202636
rich_direct_xgb,1,25+,949,508,282,733,2472,0.7061011904761905,0.6513383665065202,0.7709179528838342
rich_direct_xgb,3,0-3,1394,820,791,3111,6116,0.6337804046374176,0.6296296296296297,0.6379862700228833
rich_direct_xgb,3,4-6,684,340,276,2994,4294,0.6895161290322581,0.66796875,0.7125
rich_direct_xgb,3,7-12,819,250,347,794,2210,0.7328859060402685,0.7661365762394762,0.7024013722126929
rich_direct_xgb,3,13-24,258,238,90,330,916,0.6113744075829384,0.5201612903225806,0.7413793103448276
rich_direct_xgb,3,25+,935,449,293,694,2371,0.7159264931087289,0.6755780346820809,0.761400651465798
rich_direct_xgb,6,0-3,1101,512,765,3901,6279,0.6329405001437195,0.6825790452572845,0.590032154340836
rich_direct_xgb,6,4-6,860,379,376,2131,3746,0.694949494949495,0.6941081517352704,0.6957928802588996
rich_direct_xgb,6,7-12,452,334,115,420,1321,0.6681448632668144,0.5750636132315522,0.7971781305114638
rich_direct_xgb,6,13-24,363,244,70,376,1053,0.698076923076923,0.5980230642504119,0.8383371824480369
rich_direct_xgb,6,25+,909,489,363,800,2561,0.6808988764044944,0.6502145922746781,0.714622641509434
rich_direct_xgb,12,0-3,1190,659,461,3731,6041,0.68,0.6435911303407247,0.7207752877044216
rich_direct_xgb,12,4-6,298,305,74,324,1001,0.6112820512820513,0.494195688225539,0.8010752688172043
rich_direct_xgb,12,7-12,414,153,145,363,1075,0.7353463587921847,0.7301587301587301,0.740608228980322
rich_direct_xgb,12,13-24,627,514,151,371,1663,0.6534653465346535,0.5495179666958808,0.8059125964010283
rich_direct_xgb,12,25+,894,558,326,846,2624,0.6691616766467066,0.6157024793388429,0.7327868852459016
rich_rf,1,0-3,616,484,495,2280,3875,0.5572139303482587,0.56,0.5544554455445545
rich_rf,1,4-6,1240,454,331,1129,3154,0.7595712098009189,0.731995277449823,0.7893061744112031
rich_rf,1,7-12,1001,374,424,3452,5251,0.715,0.728,0.7024561403508772
rich_rf,1,13-24,396,267,211,376,1250,0.6236220472440945,0.5972850678733032,0.6523887973640856
rich_rf,1,25+,963,517,268,724,2472,0.7104389524160827,0.6506756756756756,0.7822908204711616
rich_rf,3,0-3,1501,845,684,3086,6116,0.6625468991392629,0.6398124467178176,0.6869565217391305
rich_rf,3,4-6,699,338,261,2996,4294,0.700050075112669,0.6740597878495661,0.728125
rich_rf,3,7-12,846,308,320,736,2210,0.7293103448275862,0.733102253032929,0.725557461406518
rich_rf,3,13-24,257,243,91,325,916,0.6061320754716981,0.514,0.7385057471264368
rich_rf,3,25+,938,440,290,703,2371,0.7198772064466615,0.6806966618287373,0.7638436482084691
rich_rf,6,0-3,1291,597,575,3816,6279,0.6877996803409696,0.683792372881356,0.6918542336548767
rich_rf,6,4-6,911,402,325,2108,3746,0.7147901137701059,0.6938309215536939,0.7370550161812298
rich_rf,6,7-12,470,383,97,371,1321,0.6619718309859155,0.5509964830011723,0.8289241622574955
rich_rf,6,13-24,365,252,68,368,1053,0.6952380952380952,0.5915721231766613,0.8429561200923787
rich_rf,6,25+,963,548,309,741,2561,0.6920589292130794,0.6373262739907346,0.7570754716981132
rich_rf,12,0-3,1229,679,422,3711,6041,0.6906434391683057,0.6441299790356394,0.744397334948516
rich_rf,12,4-6,318,334,54,295,1001,0.62109375,0.48773006134969327,0.8548387096774194
rich_rf,12,7-12,413,169,146,347,1075,0.7239263803680982,0.7096219931271478,0.738819320214669
rich_rf,12,13-24,633,515,145,370,1663,0.6573208722741433,0.5513937282229965,0.8136246786632391
rich_rf,12,25+,1008,744,212,660,2624,0.6783310901749664,0.5753424657534246,0.8262295081967214
share_xgb,1,0-3,599,468,512,2296,3875,0.5500459136822773,0.5613870665417057,0.5391539153915391
share_xgb,1,4-6,1206,449,365,1134,3154,0.7476751394916304,0.7287009063444109,0.7676639083386378
share_xgb,1,7-12,990,381,435,3445,5251,0.7081545064377682,0.7221006564551422,0.6947368421052632
share_xgb,1,13-24,378,216,229,427,1250,0.6294754371357202,0.6363636363636364,0.6227347611202636
share_xgb,1,25+,961,510,270,731,2472,0.7113249444855663,0.6532970768184908,0.7806661251015434
share_xgb,3,0-3,1436,845,749,3086,6116,0.6430810568741603,0.6295484436650591,0.65720823798627
share_xgb,3,4-6,695,387,265,2947,4294,0.6807051909892262,0.6423290203327172,0.7239583333333334
share_xgb,3,7-12,839,275,327,769,2210,0.7359649122807017,0.7531418312387792,0.7195540308747856
share_xgb,3,13-24,271,255,77,313,916,0.620137299771167,0.5152091254752852,0.7787356321839081
share_xgb,3,25+,950,457,278,686,2371,0.7210626185958254,0.6751954513148543,0.7736156351791531
share_xgb,6,0-3,1317,698,549,3715,6279,0.6786910590054109,0.6535980148883375,0.7057877813504824
share_xgb,6,4-6,909,422,327,2088,3746,0.7082197117257499,0.6829451540195342,0.7354368932038835
share_xgb,6,7-12,472,386,95,368,1321,0.6624561403508772,0.5501165501165501,0.8324514991181657
share_xgb,6,13-24,384,294,49,326,1053,0.6912691269126913,0.5663716814159292,0.8868360277136259
share_xgb,6,25+,1007,588,265,701,2561,0.7024764562260203,0.6313479623824452,0.7916666666666666
share_xgb,12,0-3,1264,743,387,3647,6041,0.6910880262438491,0.6297957149975087,0.7655966081162932
share_xgb,12,4-6,306,303,66,326,1001,0.6238532110091743,0.5024630541871922,0.8225806451612904
share_xgb,12,7-12,415,162,144,354,1075,0.7306338028169014,0.7192374350086655,0.7423971377459749
share_xgb,12,13-24,645,534,133,351,1663,0.6591722023505365,0.5470737913486005,0.8290488431876607
share_xgb,12,25+,977,670,243,734,2624,0.6815486571328915,0.5931997571341834,0.8008196721311476
