method,horizon_months,support_bin,tp,fp,fn,tn,n,f1,precision,recall
binary_history_xgb,1,1,862,489,277,853,2481,0.6923694779116466,0.6380458919319023,0.7568042142230026
binary_history_xgb,1,2-3,1259,683,516,1588,4046,0.6774280333602367,0.6483007209062822,0.7092957746478873
binary_history_xgb,1,4-5,877,372,458,1302,3009,0.6787925696594427,0.7021617293835068,0.6569288389513108
binary_history_xgb,1,6+,1182,598,514,4172,6466,0.6800920598388953,0.6640449438202247,0.6969339622641509
binary_history_xgb,3,1,936,549,305,921,2711,0.6867204695524578,0.6303030303030303,0.7542304593070105
binary_history_xgb,3,2-3,1184,671,488,1483,3826,0.6713921179472639,0.6382749326145553,0.7081339712918661
binary_history_xgb,3,4-5,842,375,468,1276,2961,0.666402849228334,0.6918652423993427,0.6427480916030535
binary_history_xgb,3,6+,1158,578,506,4167,6409,0.6811764705882353,0.6670506912442397,0.6959134615384616
binary_history_xgb,6,1,918,615,301,940,2774,0.6671511627906976,0.598825831702544,0.7530762920426579
binary_history_xgb,6,2-3,1036,523,449,1311,3319,0.6806833114323259,0.6645285439384221,0.6976430976430976
binary_history_xgb,6,4-5,763,367,392,1242,2764,0.6678336980306345,0.6752212389380531,0.6606060606060606
binary_history_xgb,6,6+,1025,532,490,4056,6103,0.6673177083333334,0.6583172768143867,0.6765676567656765
binary_history_xgb,12,1,962,615,323,1005,2905,0.6722571628232006,0.6100190234622701,0.7486381322957198
binary_history_xgb,12,2-3,1035,541,320,1029,2925,0.706243602865916,0.6567258883248731,0.7638376383763837
binary_history_xgb,12,4-5,436,267,271,849,1823,0.6184397163120567,0.620199146514936,0.6166902404526167
binary_history_xgb,12,6+,855,438,378,3080,4751,0.6769596199524941,0.6612529002320185,0.6934306569343066
correction_xgb,1,1,862,489,277,853,2481,0.6923694779116466,0.6380458919319023,0.7568042142230026
correction_xgb,1,2-3,1259,682,516,1589,4046,0.6776103336921421,0.648634724368882,0.7092957746478873
correction_xgb,1,4-5,877,374,458,1300,3009,0.6782675947409126,0.701039168665068,0.6569288389513108
correction_xgb,1,6+,1177,568,519,4202,6466,0.6841034582970067,0.6744985673352436,0.6939858490566038
correction_xgb,3,1,939,553,302,917,2711,0.6871569703622393,0.6293565683646113,0.7566478646253022
correction_xgb,3,2-3,1182,669,490,1485,3826,0.6710190178824865,0.6385737439222042,0.7069377990430622
correction_xgb,3,4-5,840,376,470,1275,2961,0.665083135391924,0.6907894736842105,0.6412213740458015
correction_xgb,3,6+,1146,516,518,4229,6409,0.6891160553217077,0.6895306859205776,0.6887019230769231
correction_xgb,6,1,916,618,303,937,2774,0.6654558663276425,0.5971316818774446,0.7514356029532404
correction_xgb,6,2-3,1080,563,405,1271,3319,0.690537084398977,0.657334144856969,0.7272727272727273
correction_xgb,6,4-5,771,394,384,1215,2764,0.6646551724137931,0.6618025751072961,0.6675324675324675
correction_xgb,6,6+,1027,496,488,4092,6103,0.6761026991441738,0.6743269862114248,0.6778877887788779
correction_xgb,12,1,961,614,324,1006,2905,0.672027972027972,0.6101587301587301,0.7478599221789883
correction_xgb,12,2-3,1034,541,321,1029,2925,0.70580204778157,0.6565079365079365,0.76309963099631
correction_xgb,12,4-5,436,267,271,849,1823,0.6184397163120567,0.620199146514936,0.6166902404526167
correction_xgb,12,6+,850,422,383,3096,4751,0.6786427145708582,0.6682389937106918,0.689375506893755
fullpool_xgb,1,1,896,575,243,767,2481,0.6865900383141762,0.6091094493541809,0.7866549604916594
fullpool_xgb,1,2-3,1364,887,411,1384,4046,0.6775956284153005,0.6059529098178588,0.7684507042253521
