old_path,archive_path,category,dependency,dependency_scan_reason,tracked_status_before_move,size_bytes,file_count,sha256
other_outputs,archived/release_20260624_legacy_workspace/other_outputs,legacy_workspace_output,historical_workspace,Current release docs now point to final_artifacts_in_paper_updated and package copies,tracked_files=4,6300149,15,
scripts/config_visual.py,archived/release_20260624_legacy_workspace/scripts/config_visual.py,legacy_script,historical_workspace,Root config_visual.py is the imported runtime config; scripts/config_visual.py has no release dependency,tracked_files=1,14331,1,68f6477a21ae695c1e6c2babfd05e8b3ebea26c2d0d67450d75a02ab3f4b569f
scripts/check_country_columns.py,archived/release_20260624_legacy_workspace/scripts/check_country_columns.py,legacy_script,historical_workspace,No release verifier/package/paper_artifact/batch dependency found in scan,tracked_files=1,560,1,b547c6cdffd88fc3ad3c567762b97d3f07c5f47d73a73e2a44fa509089a37baa
scripts/check_shapefile.py,archived/release_20260624_legacy_workspace/scripts/check_shapefile.py,legacy_script,historical_workspace,No release verifier/package/paper_artifact/batch dependency found in scan,tracked_files=1,305,1,ad359ae8f6ae3d7a9d53ffdcfe8a7c509b5e54e8062271200b10272bcfa13e1d
scripts/diagnose_partition_lineage.py,archived/release_20260624_legacy_workspace/scripts/diagnose_partition_lineage.py,legacy_script,historical_workspace,Diagnostic helper not called by release verifier/package/paper artifacts or batch workflow,tracked_files=1,15859,1,abe4d039bb0a29f4e04bccacb03b37910d2f9c46a5f204026462048a14a2d046
scripts/enable_visual_debug.py,archived/release_20260624_legacy_workspace/scripts/enable_visual_debug.py,legacy_script,historical_workspace,Interactive debug toggle not called by release verifier/package/paper artifacts or batch workflow,tracked_files=1,9020,1,9106911acf1bb99d2e54e6636a9e88278ccf08020a140e478ee67b5ae459aa84
scripts/plot_cluster_map.py,archived/release_20260624_legacy_workspace/scripts/plot_cluster_map.py,legacy_script,historical_workspace,Referenced as historical plotting approach only; paper artifacts use scripts/paper_artifacts,tracked_files=1,7204,1,59e8029b85ab743c48ab129dbe6a9a52196494bab2a9031e2f81afa628b39ce3
scripts/plot_cluster_map_3x4.py,archived/release_20260624_legacy_workspace/scripts/plot_cluster_map_3x4.py,legacy_script,historical_workspace,Legacy plotting helper superseded by scripts/paper_artifacts,tracked_files=1,7717,1,fd34db880b96e75a5b40b26bc78304a793bf937cd563ecb305d27de7d95ebc1b
scripts/plot_cluster_map_3x4_refined.py,archived/release_20260624_legacy_workspace/scripts/plot_cluster_map_3x4_refined.py,legacy_script,historical_workspace,Legacy plotting helper superseded by scripts/paper_artifacts,tracked_files=1,9278,1,aff915385a65e3f2e7f3799c2b46e2b7284b44933ac7f3e046d86beebce72e70
scripts/render_scope_images.py,archived/release_20260624_legacy_workspace/scripts/render_scope_images.py,legacy_script,historical_workspace,No release verifier/package/paper_artifact/batch dependency found in scan,tracked_files=1,7423,1,5550d08be0aeda96f85862159b504b35fdc8b9a6040c3ae667ce59fa444ec9b8
scripts/structure_change.py,archived/release_20260624_legacy_workspace/scripts/structure_change.py,legacy_script,historical_workspace,No release verifier/package/paper_artifact/batch dependency found in scan,tracked_files=1,3369,1,05edb092f49443ac7b1a721577273f67a8dc0d21ce57a4f5baa97c9fc9dcddba
