old_path,archive_path,category,dependency,dependency_scan_reason,tracked_status_before_move,size_bytes,file_count,sha256
GeoRFExperiment,archived/release_20260624_reproducibility_inputs/GeoRFExperiment,stage1_stage2_georf,verifier_package_dependency,Stage 1/2 GeoRF handoff read by verifier and package builder,untracked_or_ignored,1989580026,183,
GeoDTExperiment,archived/release_20260624_reproducibility_inputs/GeoDTExperiment,stage1_stage2_geodt,verifier_package_dependency,Stage 1/2 GeoDT appendix handoff read by verifier and package builder,untracked_or_ignored,2796085606,264,
main_ablation_exclude_updated_stage3_fixed_partitions,archived/release_20260624_reproducibility_inputs/main_ablation_exclude_updated_stage3_fixed_partitions,fixed_partition_ablation,verifier_package_dependency,Ablation manifests and outputs read by verifier and package builder,untracked_or_ignored,5033780879,418,
fewsnet_baseline_results,archived/release_20260624_reproducibility_inputs/fewsnet_baseline_results,fewsnet_baseline,verifier_package_dependency,Baseline source CSVs used by paper artifact audit context,untracked_or_ignored,5477,2,
result_partition_k40_compare_GF_fs1,archived/release_20260624_reproducibility_inputs/result_partition_k40_compare_GF_fs1,stage3_georf,verifier_package_dependency,Stage 3 GeoRF fs1 read by verifier and package builder,untracked_or_ignored,4715107,16,
result_partition_k40_compare_GF_fs2,archived/release_20260624_reproducibility_inputs/result_partition_k40_compare_GF_fs2,stage3_georf,verifier_package_dependency,Stage 3 GeoRF fs2 read by verifier and package builder,untracked_or_ignored,5489797,24,
result_partition_k40_compare_GF_fs3,archived/release_20260624_reproducibility_inputs/result_partition_k40_compare_GF_fs3,stage3_georf,verifier_package_dependency,Stage 3 GeoRF fs3 read by verifier and package builder,untracked_or_ignored,5479374,24,
result_partition_k40_compare_DT_fs1,archived/release_20260624_reproducibility_inputs/result_partition_k40_compare_DT_fs1,stage3_geodt,verifier_package_dependency,Stage 3 GeoDT fs1 appendix provenance read by verifier and package builder,untracked_or_ignored,5027073,24,
result_partition_k40_compare_DT_fs2,archived/release_20260624_reproducibility_inputs/result_partition_k40_compare_DT_fs2,stage3_geodt,verifier_package_dependency,Stage 3 GeoDT fs2 appendix provenance read by verifier and package builder,untracked_or_ignored,5026925,24,
result_partition_k40_compare_DT_fs3,archived/release_20260624_reproducibility_inputs/result_partition_k40_compare_DT_fs3,stage3_geodt,verifier_package_dependency,Stage 3 GeoDT fs3 appendix provenance read by verifier and package builder,untracked_or_ignored,5046402,24,
result_partition_k40_compare_GF_thresholded_fs1,archived/release_20260624_reproducibility_inputs/result_partition_k40_compare_GF_thresholded_fs1,thresholded_georf,verifier_dependency,Thresholded GeoRF fs1 provider manifest audited by verifier,tracked_files=5,3075281,5,
result_partition_k40_compare_GF_thresholded_fs2,archived/release_20260624_reproducibility_inputs/result_partition_k40_compare_GF_thresholded_fs2,thresholded_georf,verifier_dependency,Thresholded GeoRF fs2 provider manifest audited by verifier,tracked_files=5,3066714,5,
result_partition_k40_compare_GF_thresholded_fs3,archived/release_20260624_reproducibility_inputs/result_partition_k40_compare_GF_thresholded_fs3,thresholded_georf,verifier_dependency,Thresholded GeoRF fs3 provider manifest audited by verifier,tracked_files=5,3070928,5,
