test_month,forecasting_scope,active_lag_months,threshold_enabled,selected_threshold,fallback_reason,validation_precision,validation_recall,validation_f1,validation_support,validation_positive_cases,fit_start,fit_end,validation_start,validation_end,test_precision,test_recall,test_f1,test_tp,test_fp,test_fn,test_tn
2021-02,3,12,True,0.33,,0.5026929982046678,0.6890894175553732,0.5813148788927335,10730,2438,2017-06-01,2019-02-01,2019-06-01,2019-10-01,0.4576008273009307,0.7320099255583127,0.5631562201718104,885,1049,324,3167
2021-06,3,12,True,0.42,,0.5650074294205052,0.6860622462787551,0.6196781421878182,10871,2217,2017-10-01,2019-06-01,2019-10-01,2020-02-01,0.40330697340043137,0.5736196319018405,0.4736175601519629,561,830,417,2577
2021-10,3,12,True,0.52,,0.542519326966803,0.6339001062699257,0.5846606223964714,11012,1882,2018-02-01,2019-10-01,2020-02-01,2020-06-01,0.6957637997432606,0.4949771689497717,0.5784418356456776,542,237,553,3642
2022-02,3,12,True,0.51,,0.6543427230046949,0.6201334816462737,0.6367789834380354,10933,1798,2018-06-01,2020-02-01,2020-06-01,2020-10-01,0.7546628407460545,0.35468644639244773,0.4825688073394495,526,171,957,3320
2022-06,3,12,True,0.54,,0.6620775969962454,0.5186274509803922,0.5816382627817482,10852,2040,2018-10-01,2020-06-01,2020-10-01,2021-02-01,0.7304761904761905,0.472,0.5734579439252336,767,283,858,2956
2022-10,3,12,True,0.35,,0.5452695829094608,0.7352537722908093,0.6261682242990655,9810,2187,2019-02-01,2020-10-01,2021-02-01,2021-06-01,0.6541802388707926,0.7479826194909994,0.69794381697075,1205,637,406,2764
2023-02,3,12,True,0.41,,0.5834767641996558,0.8176555716353111,0.680996384089996,9359,2073,2019-06-01,2021-02-01,2021-06-01,2021-10-01,0.681045751633987,0.8204724409448819,0.7442857142857143,1042,488,228,3102
2023-06,3,12,True,0.41,,0.6818510484454086,0.7315748642358417,0.7058383233532934,9948,2578,2019-10-01,2021-06-01,2021-10-01,2022-02-01,0.7641459545214172,0.7406458226550487,0.752212389380531,1445,446,506,3158
2023-10,3,12,True,0.33,,0.7666876574307305,0.7834620334620335,0.7749840865690644,9838,3108,2020-02-01,2021-10-01,2022-02-01,2022-06-01,0.5962761126248864,0.7806183115338883,0.6761071060762102,1313,889,369,2839
2024-02,3,12,True,0.36,,0.7646243415580815,0.8522867737948084,0.8060792050270348,9876,3236,2020-06-01,2022-02-01,2022-06-01,2022-10-01,0.6431137724550898,0.8329886246122027,0.725839152962379,1611,894,323,2869
2024-06,3,12,True,0.46,,0.7582137161084529,0.8250607427976397,0.7902260638297872,9872,2881,2020-10-01,2022-06-01,2022-10-01,2023-02-01,0.6682641107561236,0.6406329760081675,0.654156893406307,1255,623,704,3115
2024-10,3,12,True,0.45,,0.7850276725895718,0.8741485566007136,0.8271945979128299,10117,3083,2021-02-01,2022-10-01,2023-02-01,2023-06-01,0.5261233019853709,0.7291817523533671,0.6112291350531107,1007,907,374,3048
