scope,horizon_months,forecasting_horizon,group,display_group,mean_share,sd_share,n_months,mean_raw_mean_abs_shap,mean_fallback_samples,mean_evaluated_samples
fs1,4,4-month horizon,weather,Weather,0.07381027818724918,0.008194058706816313,12,0.031647315928760585,27.75,484.25
fs2,8,8-month horizon,weather,Weather,0.07312856080661737,0.006222101368669576,12,0.03182311092619577,27.75,484.25
fs3,12,12-month horizon,weather,Weather,0.07434030507750315,0.00904984048413355,12,0.03220736147584668,28.666666666666668,483.3333333333333
fs1,4,4-month horizon,agri,Agri,0.08125642679236397,0.0049533204363478855,12,0.03488114158941588,27.75,484.25
fs2,8,8-month horizon,agri,Agri,0.07423759951269925,0.0051419783470853814,12,0.03233042042831237,27.75,484.25
fs3,12,12-month horizon,agri,Agri,0.07768076743010109,0.002805863438184567,12,0.03369929125793845,28.666666666666668,483.3333333333333
fs1,4,4-month horizon,conflict,Conflict,0.17233689254810028,0.012983331415479051,12,0.07399367991477503,27.75,484.25
fs2,8,8-month horizon,conflict,Conflict,0.1828797518612165,0.0199633354910757,12,0.0796411488201576,27.75,484.25
fs3,12,12-month horizon,conflict,Conflict,0.16895729169235627,0.01653745331866036,12,0.0732867928297105,28.666666666666668,483.3333333333333
fs1,4,4-month horizon,econ,Econ,0.23829239774807073,0.020854635699854848,12,0.10225505921577706,27.75,484.25
fs2,8,8-month horizon,econ,Econ,0.2391103746543831,0.017475341524907716,12,0.10411646382430523,27.75,484.25
fs3,12,12-month horizon,econ,Econ,0.23379061531330866,0.01872734187102007,12,0.10143532047327496,28.666666666666668,483.3333333333333
fs1,4,4-month horizon,food_prices,Food Prices,0.043515536069498255,0.006800728530605807,12,0.018687247642391328,27.75,484.25
fs2,8,8-month horizon,food_prices,Food Prices,0.043195531485634625,0.009739059667359072,12,0.018783162016645778,27.75,484.25
fs3,12,12-month horizon,food_prices,Food Prices,0.047553470334848004,0.00905853253567672,12,0.02062142607552891,28.666666666666668,483.3333333333333
fs1,4,4-month horizon,geographic,Geographic,0.09169255773187958,0.007746853542476771,12,0.03939567172881914,27.75,484.25
fs2,8,8-month horizon,geographic,Geographic,0.08914981237433817,0.009203227284009113,12,0.03883173722065546,27.75,484.25
fs3,12,12-month horizon,geographic,Geographic,0.09160677523236355,0.007754637200607313,12,0.0396919922028531,28.666666666666668,483.3333333333333
fs1,4,4-month horizon,lag,Lag,0.299095910922838,0.024426016494471757,12,0.12849889875093776,27.75,484.25
fs2,8,8-month horizon,lag,Lag,0.298298369305111,0.03092447612153133,12,0.13008150776314575,27.75,484.25
fs3,12,12-month horizon,lag,Lag,0.3060707749195193,0.026730353114038093,12,0.1329695988060038,28.666666666666668,483.3333333333333
