scope,horizon_months,forecasting_horizon,target_month,group,display_group,raw_mean_abs_shap,group_share,matched_feature_count,normalization_denominator,fallback_samples,evaluated_samples
fs1,4,4-month horizon,2021-02,weather,Weather,9.788313078111053e-15,0.11447506383370099,8,8.550607224234117e-14,32,480
fs1,4,4-month horizon,2021-02,agri,Agri,6.260906429323158e-15,0.0732217755433615,24,8.550607224234117e-14,32,480
fs1,4,4-month horizon,2021-02,conflict,Conflict,2.4518348962978824e-14,0.2867439506926357,38,8.550607224234117e-14,32,480
fs1,4,4-month horizon,2021-02,econ,Econ,1.9476715075183374e-14,0.22778165999699412,16,8.550607224234117e-14,32,480
fs1,4,4-month horizon,2021-02,food_prices,Food Prices,2.1713944270819352e-15,0.025394622512045377,6,8.550607224234117e-14,32,480
fs1,4,4-month horizon,2021-02,geographic,Geographic,1.3117961760787452e-14,0.15341555771160376,8,8.550607224234117e-14,32,480
fs1,4,4-month horizon,2021-02,lag,Lag,1.017243250887538e-14,0.1189673697096586,6,8.550607224234117e-14,32,480
fs1,4,4-month horizon,2021-06,weather,Weather,2.1136516444737193e-14,0.11393052669267514,8,1.8552109832470483e-13,12,500
fs1,4,4-month horizon,2021-06,agri,Agri,2.1157348152336944e-14,0.11404281423187076,24,1.8552109832470483e-13,12,500
fs1,4,4-month horizon,2021-06,conflict,Conflict,4.0704612009711536e-14,0.21940691585637903,38,1.8552109832470483e-13,12,500
fs1,4,4-month horizon,2021-06,econ,Econ,3.0280734650486087e-14,0.16321989748835897,16,1.8552109832470483e-13,12,500
fs1,4,4-month horizon,2021-06,food_prices,Food Prices,2.8254967514490374e-15,0.01523005618748421,6,1.8552109832470483e-13,12,500
fs1,4,4-month horizon,2021-06,geographic,Geographic,3.723658114461803e-14,0.20071345782701977,8,1.8552109832470483e-13,12,500
fs1,4,4-month horizon,2021-06,lag,Lag,3.2179809171365994e-14,0.17345633171621205,6,1.8552109832470483e-13,12,500
fs1,4,4-month horizon,2021-10,weather,Weather,3.9499849686889095e-15,0.09424244890757555,8,4.191301281403136e-14,24,488
fs1,4,4-month horizon,2021-10,agri,Agri,4.387887155144721e-15,0.10469033029464715,24,4.191301281403136e-14,24,488
fs1,4,4-month horizon,2021-10,conflict,Conflict,9.065450758877843e-15,0.2162920331950695,38,4.191301281403136e-14,24,488
fs1,4,4-month horizon,2021-10,econ,Econ,7.076192600148291e-15,0.16883044489179194,16,4.191301281403136e-14,24,488
fs1,4,4-month horizon,2021-10,food_prices,Food Prices,1.2637633541554509e-15,0.030152052293706183,6,4.191301281403136e-14,24,488
fs1,4,4-month horizon,2021-10,geographic,Geographic,6.7268525324452475e-15,0.16049556165986897,8,4.191301281403136e-14,24,488
fs1,4,4-month horizon,2021-10,lag,Lag,9.442881444570893e-15,0.22529712875734068,6,4.191301281403136e-14,24,488
fs1,4,4-month horizon,2022-02,weather,Weather,2.4077825182920217e-15,0.15607707213747538,8,1.5426881638138402e-14,33,479
fs1,4,4-month horizon,2022-02,agri,Agri,9.6225388317317e-16,0.06237513878334828,24,1.5426881638138402e-14,33,479
fs1,4,4-month horizon,2022-02,conflict,Conflict,3.5390404592305564e-15,0.22940737747551818,38,1.5426881638138402e-14,33,479
fs1,4,4-month horizon,2022-02,econ,Econ,4.2814120574768125e-15,0.27752932562160115,16,1.5426881638138402e-14,33,479
fs1,4,4-month horizon,2022-02,food_prices,Food Prices,4.1000320806179323e-16,0.02657719282996128,6,1.5426881638138402e-14,33,479
fs1,4,4-month horizon,2022-02,geographic,Geographic,1.4779161629930314e-15,0.09580135491150206,8,1.5426881638138402e-14,33,479
fs1,4,4-month horizon,2022-02,lag,Lag,2.348473348911018e-15,0.15223253824059377,6,1.5426881638138402e-14,33,479
fs1,4,4-month horizon,2022-06,weather,Weather,1.28589103816732e-15,0.07625442382514334,8,1.686316640613477e-14,23,489
