forecasting_horizon,region,support,fewsnet_valid_support,partitioned_precision,partitioned_recall,partitioned_f1,partitioned_accuracy,pooled_precision,pooled_recall,pooled_f1,pooled_accuracy,fewsnet_expert_precision,fewsnet_expert_recall,fewsnet_expert_f1,fewsnet_expert_accuracy,delta_partitioned_minus_pooled_precision,delta_partitioned_minus_pooled_recall,delta_partitioned_minus_pooled_f1,delta_partitioned_minus_pooled_accuracy,delta_partitioned_minus_fewsnet_expert_precision,delta_partitioned_minus_fewsnet_expert_recall,delta_partitioned_minus_fewsnet_expert_f1,delta_partitioned_minus_fewsnet_expert_accuracy
4-month horizon,East Africa,29999,28105.0,0.7535,0.5959,0.6655,0.8171,0.7325,0.522,0.6096,0.7958,0.6811,0.6016,0.6389,0.799,0.021,0.0739,0.0559,0.0213,0.0724,-0.0057,0.0266,0.0181
4-month horizon,Latin America,6324,6324.0,0.7013,0.7441,0.7221,0.7562,0.7866,0.6449,0.7087,0.7744,0.7511,0.6133,0.6753,0.7489,-0.0853,0.0992,0.0134,-0.0182,-0.0498,0.1308,0.0468,0.0073
4-month horizon,Middle East,5158,3122.0,0.8814,0.7698,0.8219,0.8288,0.9017,0.7525,0.8204,0.8309,0.9096,0.8966,0.9031,0.8789,-0.0203,0.0173,0.0015,-0.0021,-0.0282,-0.1268,-0.0812,-0.0501
4-month horizon,Other,4018,3400.0,0.7758,0.6272,0.6936,0.9057,0.8626,0.5599,0.6791,0.9099,0.683,0.6961,0.6895,0.8853,-0.0868,0.0673,0.0145,-0.0042,0.0928,-0.0689,0.0041,0.0204
4-month horizon,Southern Africa,7952,7777.0,0.4373,0.3463,0.3865,0.812,0.3889,0.1956,0.2603,0.8099,0.346,0.3481,0.3471,0.776,0.0484,0.1507,0.1262,0.0021,0.0913,-0.0018,0.0394,0.036
4-month horizon,West Africa,8738,8478.0,0.8243,0.6114,0.702,0.903,0.8479,0.5288,0.6513,0.8941,0.756,0.6,0.669,0.889,-0.0236,0.0826,0.0507,0.0089,0.0683,0.0114,0.033,0.014
8-month horizon,East Africa,29999,28280.0,0.7452,0.5644,0.6423,0.808,0.7235,0.4859,0.5814,0.7863,0.6318,0.3674,0.4646,0.7449,0.0217,0.0785,0.0609,0.0217,0.1134,0.197,0.1777,0.0631
8-month horizon,Latin America,6324,6324.0,0.7129,0.7084,0.7106,0.7544,0.7909,0.562,0.6571,0.7503,0.6955,0.4539,0.5493,0.683,-0.078,0.1464,0.0535,0.0041,0.0174,0.2545,0.1613,0.0714
8-month horizon,Middle East,5158,4139.0,0.8492,0.7895,0.8183,0.8201,0.8706,0.7653,0.8146,0.8212,0.7709,0.9093,0.8344,0.7971,-0.0214,0.0242,0.0037,-0.0011,0.0783,-0.1198,-0.0161,0.023
8-month horizon,Other,4018,3018.0,0.773,0.6023,0.6771,0.9022,0.8653,0.5541,0.6756,0.9094,0.5434,0.6076,0.5737,0.8429,-0.0923,0.0482,0.0015,-0.0072,0.2296,-0.0053,0.1034,0.0593
8-month horizon,Southern Africa,7952,7772.0,0.407,0.3235,0.3605,0.8037,0.3661,0.1919,0.2518,0.805,0.3641,0.4004,0.3814,0.7742,0.0409,0.1316,0.1087,-0.0013,0.0429,-0.0769,-0.0209,0.0295
8-month horizon,West Africa,8738,8218.0,0.8359,0.5673,0.6759,0.8983,0.8379,0.5061,0.6311,0.8893,0.7643,0.4636,0.5771,0.8739,-0.002,0.0612,0.0448,0.009,0.0716,0.1037,0.0988,0.0244
12-month horizon,East Africa,29999,,0.7051,0.4964,0.5826,0.7828,0.6842,0.424,0.5236,0.7643,,,,,0.0209,0.0724,0.059,0.0185,,,,
12-month horizon,Latin America,6324,,0.6873,0.653,0.6697,0.7258,0.7569,0.5286,0.6225,0.7271,,,,,-0.0696,0.1244,0.0472,-0.0013,,,,
12-month horizon,Middle East,5158,,0.7737,0.7948,0.7841,0.7755,0.8963,0.7517,0.8177,0.828,,,,,-0.1226,0.0431,-0.0336,-0.0525,,,,
12-month horizon,Other,4018,,0.6804,0.5541,0.6108,0.8798,0.7052,0.5351,0.6085,0.8828,,,,,-0.0248,0.019,0.0023,-0.003,,,,
12-month horizon,Southern Africa,7952,,0.304,0.2824,0.2928,0.7667,0.3084,0.2125,0.2516,0.7838,,,,,-0.0044,0.0699,0.0412,-0.0171,,,,
12-month horizon,West Africa,8738,,0.8367,0.4767,0.6074,0.8848,0.8042,0.4425,0.5709,0.8756,,,,,0.0325,0.0342,0.0365,0.0092,,,,
