target_month,forecasting_horizon,horizon_months,stage3_train_start_inclusive,stage3_train_end_exclusive,stage3_train_end_inclusive,stage3_final_test_start_inclusive,stage3_final_test_end_exclusive,stage3_final_test_end_inclusive,stage1_split_acceptance_validation_data,stage2_consensus_data,stage2_consensus_input_filter,stage3_partition_map_rule,threshold_selection_data,hyperparameter_selection_data,final_test_data
2021-02,4-month lag,4,2017-11-01,2020-10-01,2020-09-30,2021-02-01,2021-03-01,2021-02-28,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 2,m2 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2021-02 target-month observations only
2021-02,8-month lag,8,2017-07-01,2020-06-01,2020-05-31,2021-02-01,2021-03-01,2021-02-28,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 2,m2 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2021-02 target-month observations only
2021-02,12-month lag,12,2017-03-01,2020-02-01,2020-01-31,2021-02-01,2021-03-01,2021-02-28,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 2,m2 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2021-02 target-month observations only
2021-06,4-month lag,4,2018-03-01,2021-02-01,2021-01-31,2021-06-01,2021-07-01,2021-06-30,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 6,m6 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2021-06 target-month observations only
2021-06,8-month lag,8,2017-11-01,2020-10-01,2020-09-30,2021-06-01,2021-07-01,2021-06-30,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 6,m6 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2021-06 target-month observations only
2021-06,12-month lag,12,2017-07-01,2020-06-01,2020-05-31,2021-06-01,2021-07-01,2021-06-30,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 6,m6 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2021-06 target-month observations only
2021-10,4-month lag,4,2018-07-01,2021-06-01,2021-05-31,2021-10-01,2021-11-01,2021-10-31,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 10,m10 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2021-10 target-month observations only
2021-10,8-month lag,8,2018-03-01,2021-02-01,2021-01-31,2021-10-01,2021-11-01,2021-10-31,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 10,m10 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2021-10 target-month observations only
2021-10,12-month lag,12,2017-11-01,2020-10-01,2020-09-30,2021-10-01,2021-11-01,2021-10-31,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 10,m10 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2021-10 target-month observations only
2022-02,4-month lag,4,2018-11-01,2021-10-01,2021-09-30,2022-02-01,2022-03-01,2022-02-28,"Internal validation subset drawn from that Stage 1 run's rolling training window; current GROUP_SPLIT uses val_ratio=0.20, min_val_per_group=1, skip_singleton_groups=True, random_state=42.","2018-2020 linked Stage 1 partition plans only; current artifacts contain GeoRF general=24, GeoRF month-specific=8 per m2/m6/m10, GeoDT general=27, GeoDT month-specific=9 per m2/m6/m10.",month == 2,m2 month-specific partition,No separate threshold-selection data in standard Stage 3; comparison uses classifier hard predictions.,GeoRF: fixed hyperparameters. GeoDT Stage 1: max_depth selected on the internal validation subset using class-1 F1 when DT_MAX_DEPTH_CANDIDATES is enabled. Stage 3 comparison: fixed RF/DT parameters.,2022-02 target-month observations only
