forecasting_horizon,season,uid,n,err_rate
4-month horizon,AMJJ,0,3,0.0
4-month horizon,AMJJ,1,3,0.0
4-month horizon,AMJJ,2,3,0.0
4-month horizon,AMJJ,3,3,0.0
4-month horizon,AMJJ,4,3,0.0
4-month horizon,AMJJ,5,3,0.0
4-month horizon,AMJJ,6,3,0.0
4-month horizon,AMJJ,7,3,0.0
4-month horizon,AMJJ,8,3,0.0
4-month horizon,AMJJ,9,3,0.0
4-month horizon,AMJJ,10,3,0.0
4-month horizon,AMJJ,11,3,0.0
4-month horizon,AMJJ,12,3,0.0
4-month horizon,AMJJ,13,3,0.0
4-month horizon,AMJJ,14,3,0.0
4-month horizon,AMJJ,15,3,0.0
4-month horizon,AMJJ,16,3,0.3333333333333333
4-month horizon,AMJJ,17,3,0.0
4-month horizon,AMJJ,18,3,0.0
4-month horizon,AMJJ,19,3,0.0
4-month horizon,AMJJ,20,3,0.0
4-month horizon,AMJJ,21,3,0.0
4-month horizon,AMJJ,22,3,0.6666666666666666
4-month horizon,AMJJ,23,3,0.3333333333333333
4-month horizon,AMJJ,24,3,0.0
4-month horizon,AMJJ,25,3,0.0
4-month horizon,AMJJ,26,3,0.0
4-month horizon,AMJJ,27,3,0.0
4-month horizon,AMJJ,28,3,0.0
4-month horizon,AMJJ,29,3,0.0
4-month horizon,AMJJ,30,3,0.0
4-month horizon,AMJJ,31,3,0.0
4-month horizon,AMJJ,32,3,0.0
4-month horizon,AMJJ,33,3,0.0
4-month horizon,AMJJ,34,3,0.0
4-month horizon,AMJJ,35,3,0.0
4-month horizon,AMJJ,36,3,0.0
4-month horizon,AMJJ,37,3,0.0
4-month horizon,AMJJ,38,3,0.0
4-month horizon,AMJJ,39,3,0.0
4-month horizon,AMJJ,40,3,0.0
4-month horizon,AMJJ,41,3,0.6666666666666666
4-month horizon,AMJJ,42,3,0.0
4-month horizon,AMJJ,43,3,0.0
4-month horizon,AMJJ,44,3,0.0
4-month horizon,AMJJ,45,3,0.0
4-month horizon,AMJJ,46,3,0.0
4-month horizon,AMJJ,47,3,0.0
4-month horizon,AMJJ,48,3,0.0
4-month horizon,AMJJ,49,3,0.0
4-month horizon,AMJJ,50,3,0.0
4-month horizon,AMJJ,51,3,0.6666666666666666
4-month horizon,AMJJ,52,3,0.0
4-month horizon,AMJJ,53,3,0.0
4-month horizon,AMJJ,54,3,0.0
4-month horizon,AMJJ,55,3,0.0
4-month horizon,AMJJ,56,3,0.0
4-month horizon,AMJJ,57,3,0.0
4-month horizon,AMJJ,58,3,0.0
4-month horizon,AMJJ,59,3,0.0
4-month horizon,AMJJ,60,3,0.0
4-month horizon,AMJJ,61,3,0.0
4-month horizon,AMJJ,62,3,0.0
4-month horizon,AMJJ,63,3,0.3333333333333333
4-month horizon,AMJJ,64,3,0.0
4-month horizon,AMJJ,65,3,0.0
4-month horizon,AMJJ,66,3,0.0
4-month horizon,AMJJ,67,3,0.0
4-month horizon,AMJJ,68,3,0.0
4-month horizon,AMJJ,69,3,0.0
4-month horizon,AMJJ,70,3,0.0
4-month horizon,AMJJ,71,3,0.0
4-month horizon,AMJJ,72,3,0.0
4-month horizon,AMJJ,73,3,0.0
4-month horizon,AMJJ,74,3,0.0
4-month horizon,AMJJ,75,3,0.0
4-month horizon,AMJJ,76,3,0.0
4-month horizon,AMJJ,77,3,0.0
4-month horizon,AMJJ,78,3,0.0
4-month horizon,AMJJ,79,4,0.0
4-month horizon,AMJJ,80,4,0.0
4-month horizon,AMJJ,81,4,0.5
4-month horizon,AMJJ,82,4,0.5
4-month horizon,AMJJ,83,4,0.0
4-month horizon,AMJJ,84,4,0.0
4-month horizon,AMJJ,85,4,0.0
4-month horizon,AMJJ,86,4,0.0
4-month horizon,AMJJ,87,4,0.0
4-month horizon,AMJJ,88,4,0.75
4-month horizon,AMJJ,89,4,0.25
4-month horizon,AMJJ,90,4,0.0
4-month horizon,AMJJ,91,4,0.0
4-month horizon,AMJJ,92,4,0.25
4-month horizon,AMJJ,93,4,0.5
4-month horizon,AMJJ,94,4,0.0
4-month horizon,AMJJ,95,4,0.0
4-month horizon,AMJJ,96,4,0.5
4-month horizon,AMJJ,97,4,0.5
4-month horizon,AMJJ,98,4,0.25
4-month horizon,AMJJ,99,4,0.5
4-month horizon,AMJJ,100,4,0.5
4-month horizon,AMJJ,101,4,0.5
4-month horizon,AMJJ,102,4,0.25
4-month horizon,AMJJ,103,4,0.25
4-month horizon,AMJJ,104,4,0.5
4-month horizon,AMJJ,105,4,0.5
4-month horizon,AMJJ,106,4,0.25
4-month horizon,AMJJ,107,4,0.25
4-month horizon,AMJJ,108,4,0.5
4-month horizon,AMJJ,109,4,0.0
4-month horizon,AMJJ,110,4,0.0
4-month horizon,AMJJ,111,4,0.5
4-month horizon,AMJJ,112,4,0.25
4-month horizon,AMJJ,113,4,0.25
4-month horizon,AMJJ,114,4,0.25
4-month horizon,AMJJ,115,4,0.25
4-month horizon,AMJJ,116,4,0.5
4-month horizon,AMJJ,117,4,0.25
4-month horizon,AMJJ,118,4,0.25
4-month horizon,AMJJ,119,4,0.25
4-month horizon,AMJJ,120,4,0.0
4-month horizon,AMJJ,121,4,0.0
4-month horizon,AMJJ,122,4,0.0
4-month horizon,AMJJ,123,4,0.0
4-month horizon,AMJJ,124,4,0.0
4-month horizon,AMJJ,125,4,0.0
4-month horizon,AMJJ,126,4,0.0
4-month horizon,AMJJ,127,4,0.25
4-month horizon,AMJJ,128,4,0.0
4-month horizon,AMJJ,129,4,0.25
4-month horizon,AMJJ,130,4,0.0
4-month horizon,AMJJ,131,4,0.0
4-month horizon,AMJJ,132,4,0.0
4-month horizon,AMJJ,133,4,0.0
