plan,year,month,forecasting_horizon_months,source_scope,partition_id,cluster_size
GeoRF_2018_02_fs1,2018,2,4,fs1,0,2319
GeoRF_2018_02_fs1,2018,2,4,fs1,1,3041
GeoRF_2018_02_fs2,2018,2,8,fs2,0,86
GeoRF_2018_02_fs2,2018,2,8,fs2,1,2230
GeoRF_2018_02_fs2,2018,2,8,fs2,1000,258
GeoRF_2018_02_fs2,2018,2,8,fs2,10010,119
GeoRF_2018_02_fs2,2018,2,8,fs2,10011,207
GeoRF_2018_02_fs2,2018,2,8,fs2,101,681
GeoRF_2018_02_fs2,2018,2,8,fs2,11,1777
GeoRF_2018_02_fs3,2018,2,12,fs3,0,1020
GeoRF_2018_02_fs3,2018,2,12,fs3,10,551
GeoRF_2018_02_fs3,2018,2,12,fs3,10000,78
GeoRF_2018_02_fs3,2018,2,12,fs3,10001,119
GeoRF_2018_02_fs3,2018,2,12,fs3,1001,288
GeoRF_2018_02_fs3,2018,2,12,fs3,1010,298
GeoRF_2018_02_fs3,2018,2,12,fs3,1011,337
GeoRF_2018_02_fs3,2018,2,12,fs3,11,2468
GeoRF_2018_06_fs1,2018,6,4,fs1,0,57
GeoRF_2018_06_fs1,2018,6,4,fs1,1,5036
GeoRF_2018_06_fs1,2018,6,4,fs1,10,116
GeoRF_2018_06_fs1,2018,6,4,fs1,11,154
GeoRF_2018_06_fs2,2018,6,8,fs2,0,451
GeoRF_2018_06_fs2,2018,6,8,fs2,1,4909
GeoRF_2018_06_fs3,2018,6,12,fs3,0,82
GeoRF_2018_06_fs3,2018,6,12,fs3,1,5276
GeoRF_2018_10_fs1,2018,10,4,fs1,0,77
GeoRF_2018_10_fs1,2018,10,4,fs1,1,5288
GeoRF_2018_10_fs2,2018,10,8,fs2,0,82
GeoRF_2018_10_fs2,2018,10,8,fs2,1,4734
GeoRF_2018_10_fs2,2018,10,8,fs2,100,109
GeoRF_2018_10_fs2,2018,10,8,fs2,101,138
GeoRF_2018_10_fs2,2018,10,8,fs2,110,150
GeoRF_2018_10_fs2,2018,10,8,fs2,111,151
GeoRF_2018_10_fs3,2018,10,12,fs3,0,95
GeoRF_2018_10_fs3,2018,10,12,fs3,1,5017
GeoRF_2018_10_fs3,2018,10,12,fs3,10,108
GeoRF_2018_10_fs3,2018,10,12,fs3,11,141
GeoRF_2019_02_fs2,2019,2,8,fs2,0,73
GeoRF_2019_02_fs2,2019,2,8,fs2,1,3749
GeoRF_2019_02_fs2,2019,2,8,fs2,10,115
GeoRF_2019_02_fs2,2019,2,8,fs2,1000,106
GeoRF_2019_02_fs2,2019,2,8,fs2,1001,130
GeoRF_2019_02_fs2,2019,2,8,fs2,101,329
GeoRF_2019_02_fs2,2019,2,8,fs2,11,137
GeoRF_2019_02_fs2,2019,2,8,fs2,110,306
GeoRF_2019_02_fs2,2019,2,8,fs2,111,420
GeoRF_2019_02_fs3,2019,2,12,fs3,0,88
GeoRF_2019_02_fs3,2019,2,12,fs3,1,3176
GeoRF_2019_02_fs3,2019,2,12,fs3,10,339
GeoRF_2019_02_fs3,2019,2,12,fs3,100,227
GeoRF_2019_02_fs3,2019,2,12,fs3,101,320
GeoRF_2019_02_fs3,2019,2,12,fs3,11,473
GeoRF_2019_02_fs3,2019,2,12,fs3,1100,123
GeoRF_2019_02_fs3,2019,2,12,fs3,1101,188
GeoRF_2019_02_fs3,2019,2,12,fs3,111,430
GeoRF_2019_06_fs2,2019,6,8,fs2,0,464
GeoRF_2019_06_fs2,2019,6,8,fs2,1,4294
GeoRF_2019_06_fs2,2019,6,8,fs2,100,119
GeoRF_2019_06_fs2,2019,6,8,fs2,101,129
GeoRF_2019_06_fs2,2019,6,8,fs2,11,358
GeoRF_2019_06_fs3,2019,6,12,fs3,0,74
GeoRF_2019_06_fs3,2019,6,12,fs3,1,4012
GeoRF_2019_06_fs3,2019,6,12,fs3,10,563
GeoRF_2019_06_fs3,2019,6,12,fs3,11,716
GeoRF_2019_10_fs2,2019,10,8,fs2,0,81
GeoRF_2019_10_fs2,2019,10,8,fs2,1,4008
GeoRF_2019_10_fs2,2019,10,8,fs2,1000,106
GeoRF_2019_10_fs2,2019,10,8,fs2,1001,128
GeoRF_2019_10_fs2,2019,10,8,fs2,1010,132
GeoRF_2019_10_fs2,2019,10,8,fs2,1011,171
GeoRF_2019_10_fs2,2019,10,8,fs2,11,738
GeoRF_2020_02_fs1,2020,2,4,fs1,0,119
GeoRF_2020_02_fs1,2020,2,4,fs1,1,972
GeoRF_2020_02_fs1,2020,2,4,fs1,10,1763
GeoRF_2020_02_fs1,2020,2,4,fs1,11,1806
GeoRF_2020_02_fs1,2020,2,4,fs1,110,309
GeoRF_2020_02_fs1,2020,2,4,fs1,111,396
GeoRF_2020_02_fs2,2020,2,8,fs2,0,84
GeoRF_2020_02_fs2,2020,2,8,fs2,1,4719
GeoRF_2020_02_fs2,2020,2,8,fs2,10,228
GeoRF_2020_02_fs2,2020,2,8,fs2,11,334
GeoRF_2020_02_fs3,2020,2,12,fs3,0,95
GeoRF_2020_02_fs3,2020,2,12,fs3,1,5269
GeoRF_2020_06_fs2,2020,6,8,fs2,0,239
GeoRF_2020_06_fs2,2020,6,8,fs2,1,4815
GeoRF_2020_06_fs2,2020,6,8,fs2,10,153
GeoRF_2020_06_fs2,2020,6,8,fs2,11,158
GeoRF_2020_06_fs3,2020,6,12,fs3,0,523
GeoRF_2020_06_fs3,2020,6,12,fs3,1,4277
GeoRF_2020_06_fs3,2020,6,12,fs3,10,240
GeoRF_2020_06_fs3,2020,6,12,fs3,11,325
GeoRF_2020_10_fs1,2020,10,4,fs1,0,90
GeoRF_2020_10_fs1,2020,10,4,fs1,1,4600
GeoRF_2020_10_fs1,2020,10,4,fs1,10,257
GeoRF_2020_10_fs1,2020,10,4,fs1,11,339
GeoRF_2020_10_fs2,2020,10,8,fs2,0,232
GeoRF_2020_10_fs2,2020,10,8,fs2,1,4508
GeoRF_2020_10_fs2,2020,10,8,fs2,100,88
GeoRF_2020_10_fs2,2020,10,8,fs2,101,176
GeoRF_2020_10_fs2,2020,10,8,fs2,11,282
GeoRF_2020_10_fs3,2020,10,12,fs3,0,1057
GeoRF_2020_10_fs3,2020,10,12,fs3,1,4229
