plan,year,month,forecasting_horizon_months,source_scope,n_polygons,n_clusters,min_cluster_size,p25_cluster_size,median_cluster_size,mean_cluster_size,p75_cluster_size,max_cluster_size,largest_cluster_share
GeoRF_2018_02_fs1,2018,2,4,fs1,5360,2,2319,2499.5,2680.0,2680.0,2860.5,3041,0.5673507462686567
GeoRF_2018_02_fs2,2018,2,8,fs2,5358,7,86,163.0,258.0,765.4285714285714,1229.0,2230,0.4162000746547219
GeoRF_2018_02_fs3,2018,2,12,fs3,5159,8,78,245.75,317.5,644.875,668.25,2468,0.4783872843574336
GeoRF_2018_06_fs1,2018,6,4,fs1,5363,4,57,101.25,135.0,1340.75,1374.5,5036,0.939026664180496
GeoRF_2018_06_fs2,2018,6,8,fs2,5360,2,451,1565.5,2680.0,2680.0,3794.5,4909,0.9158582089552239
GeoRF_2018_06_fs3,2018,6,12,fs3,5358,2,82,1380.5,2679.0,2679.0,3977.5,5276,0.9846957820082121
GeoRF_2018_10_fs1,2018,10,4,fs1,5365,2,77,1379.75,2682.5,2682.5,3985.25,5288,0.9856477166821994
GeoRF_2018_10_fs2,2018,10,8,fs2,5364,6,82,116.25,144.0,894.0,150.75,4734,0.8825503355704698
GeoRF_2018_10_fs3,2018,10,12,fs3,5361,4,95,104.75,124.5,1340.25,1360.0,5017,0.935832867002425
GeoRF_2019_02_fs2,2019,2,8,fs2,5365,9,73,115.0,137.0,596.1111111111111,329.0,3749,0.6987884436160299
GeoRF_2019_02_fs3,2019,2,12,fs3,5364,9,88,188.0,320.0,596.0,430.0,3176,0.5920954511558538
GeoRF_2019_06_fs2,2019,6,8,fs2,5364,5,119,129.0,358.0,1072.8,464.0,4294,0.8005219985085756
GeoRF_2019_06_fs3,2019,6,12,fs3,5365,4,74,440.75,639.5,1341.25,1540.0,4012,0.7478098788443616
GeoRF_2019_10_fs2,2019,10,8,fs2,5364,7,81,117.0,132.0,766.2857142857143,454.5,4008,0.7472035794183445
GeoRF_2019_10_fs3,2019,10,12,fs3,0,0,0,,,,,0,
GeoRF_2020_02_fs1,2020,2,4,fs1,5365,6,119,330.75,684.0,894.1666666666666,1565.25,1806,0.33662628145386764
GeoRF_2020_02_fs2,2020,2,8,fs2,5365,4,84,192.0,281.0,1341.25,1430.25,4719,0.8795899347623486
GeoRF_2020_02_fs3,2020,2,12,fs3,5364,2,95,1388.5,2682.0,2682.0,3975.5,5269,0.982289336316182
GeoRF_2020_06_fs1,2020,6,4,fs1,0,0,0,,,,,0,
GeoRF_2020_06_fs2,2020,6,8,fs2,5365,4,153,156.75,198.5,1341.25,1383.0,4815,0.8974836905871388
GeoRF_2020_06_fs3,2020,6,12,fs3,5365,4,240,303.75,424.0,1341.25,1461.5,4277,0.7972041006523766
GeoRF_2020_10_fs1,2020,10,4,fs1,5286,4,90,215.25,298.0,1321.5,1404.25,4600,0.8702232311766932
GeoRF_2020_10_fs2,2020,10,8,fs2,5286,5,88,176.0,232.0,1057.2,282.0,4508,0.8528187665531592
GeoRF_2020_10_fs3,2020,10,12,fs3,5286,2,1057,1850.0,2643.0,2643.0,3436.0,4229,0.8000378357926599
