profile_type,cluster_i,cluster_j,similarity
market_access,0,0,1.0
market_access,0,1,-0.834114349117788
market_access,0,2,0.8848598858920087
market_access,0,3,-0.8654666739796492
market_access,0,4,-0.2695943372696911
market_access,0,5,-0.0727822129949745
market_access,0,6,0.9902301942007012
market_access,0,7,-0.1854653731548986
market_access,0,8,-0.8187017478983164
market_access,0,9,-0.3332630089010412
market_access,0,10,-0.9896499099935528
market_access,0,11,0.8246425463528363
market_access,0,12,-0.26377745205047276
market_access,1,0,-0.834114349117788
market_access,1,1,0.9999999999999998
market_access,1,2,-0.4811113960873243
market_access,1,3,0.4455692754420478
market_access,1,4,0.7560408301579747
market_access,1,5,-0.48941997572425705
market_access,1,6,-0.9028804249085698
market_access,1,7,-0.38732256201484994
market_access,1,8,0.36615652548989774
market_access,1,9,0.7980386836389785
market_access,1,10,0.9046361282289576
market_access,1,11,-0.37583609797233897
market_access,1,12,0.752076714735939
market_access,2,0,0.8848598858920087
market_access,2,1,-0.4811113960873243
market_access,2,2,1.0
market_access,2,3,-0.999195622061166
market_access,2,4,0.21005520248955092
market_access,2,5,-0.5290237963280408
market_access,2,6,0.8112547570250045
market_access,2,7,-0.6218858737048657
market_access,2,8,-0.9919404176638253
market_access,2,9,0.14433494581913292
market_access,2,10,-0.8088496825760829
market_access,2,11,0.993207221211394
market_access,2,12,0.2159521664645274
market_access,3,0,-0.8654666739796492
market_access,3,1,0.4455692754420478
market_access,3,2,-0.999195622061166
market_access,3,3,1.0
market_access,3,4,-0.24909279383863236
market_access,3,5,0.5626284475122493
market_access,3,6,-0.7871552979650688
market_access,3,7,0.6527892338667522
market_access,3,8,0.9962235573839988
market_access,3,9,-0.183900174112818
market_access,3,10,0.7846189166840626
market_access,3,11,-0.9970744463570888
market_access,3,12,-0.2549334609473979
market_access,4,0,-0.2695943372696911
market_access,4,1,0.7560408301579747
market_access,4,2,0.21005520248955092
market_access,4,3,-0.24909279383863236
market_access,4,4,1.0
market_access,4,5,-0.9407983673044017
market_access,4,6,-0.40123978585200326
market_access,4,7,-0.8962667414183831
market_access,4,8,-0.3322405927694636
market_access,4,9,0.9977703386820749
market_access,4,10,0.40499348145510794
market_access,4,11,0.32239131485890865
market_access,4,12,0.9999817865456135
market_access,5,0,-0.0727822129949745
market_access,5,1,-0.48941997572425705
market_access,5,2,-0.5290237963280408
market_access,5,3,0.5626284475122493
market_access,5,4,-0.9407983673044017
market_access,5,5,1.0
market_access,5,6,0.06700136097686525
market_access,5,7,0.9935432509587359
market_access,5,8,0.6322830041591762
market_access,5,9,-0.9160777532028422
market_access,5,10,-0.07109330672532164
market_access,5,11,-0.6241733112326043
market_access,5,12,-0.9428270465233243
market_access,6,0,0.9902301942007012
