scope,forecasting_horizon,month_start,model,support,population_at_risk,true_alert_population,missed_crisis_population,false_alert_population,true_noncrisis_population,population_weighted_recall,population_weighted_precision
fs1,4-month horizon,2021-02-01,pooled,5425,829590705.9968276,58787248.68678526,61203950.5670961,12636700.857794499,696962805.8851517,0.48992967027857803,0.8230747397984871
fs1,4-month horizon,2021-02-01,partitioned,5425,829590705.9968276,72385764.70077486,47605434.5531065,29652607.486257903,679946899.2566884,0.6032589485802092,0.7093974859584617
fs1,4-month horizon,2021-06-01,pooled,4385,717535412.8736532,51121777.27328219,47116576.845803194,10831103.686592998,608465955.0679748,0.5203851156882365,0.8251719126087463
fs1,4-month horizon,2021-06-01,partitioned,4385,717535412.8736532,58998149.397031,39240204.72205439,32351208.3585212,586945850.3960466,0.6005612566097446,0.6458518247594915
fs1,4-month horizon,2021-10-01,pooled,4974,811229092.5056571,59661479.76340836,52306544.446489856,14451119.9683742,684809948.3273848,0.5328439095394358,0.805011293347237
fs1,4-month horizon,2021-10-01,partitioned,4974,811229092.5056571,73777521.91882032,38190502.2910779,25672738.831438,673588329.4643209,0.6589159935564731,0.7418534789374968
fs1,4-month horizon,2022-02-01,pooled,4974,811229092.5056571,58176824.65750751,95120143.22862792,8604839.73378,649327284.8857417,0.3795040793025964,0.8711496664209735
fs1,4-month horizon,2022-02-01,partitioned,4974,811229092.5056571,72587496.80295795,80709471.08317745,17641151.9904584,640290972.6290632,0.47350901850109567,0.8044839169558127
fs1,4-month horizon,2022-06-01,pooled,4864,815965495.1817701,78465155.1630586,102701163.83464172,7896098.556894999,626903077.6271747,0.43311116325134696,0.9085689679482892
fs1,4-month horizon,2022-06-01,partitioned,4864,815965495.1817701,95927594.2260912,85238724.7716091,15764748.8040317,619034427.3800381,0.529500156302833,0.8588555994408675
fs1,4-month horizon,2022-10-01,pooled,5012,815220305.9964302,100950578.5450478,66514590.2778622,15894283.419034498,631860853.7544856,0.6028153750097155,0.8639710539953366
fs1,4-month horizon,2022-10-01,partitioned,5012,815220305.9964302,111007182.24576992,56457986.57714009,25743491.830629,622011645.3428912,0.662867287723318,0.8117487024872229
fs1,4-month horizon,2023-02-01,pooled,4860,815805751.9532602,94542980.2154431,46476736.1006184,14124005.768013999,660662029.8691845,0.6704238434542581,0.8700248687290898
fs1,4-month horizon,2023-02-01,partitioned,4860,815805751.9532602,110199847.9194211,30819868.3966404,36382278.3815691,638403757.2556295,0.7814499333726843,0.751795943341263
fs1,4-month horizon,2023-06-01,pooled,5555,864320795.0821877,124945714.4295977,97396620.8960169,13699944.2127436,628278515.5438294,0.561951974852733,0.9011873552558555
fs1,4-month horizon,2023-06-01,partitioned,5555,864320795.0821877,137185290.3412036,85157044.984411,22978185.157271296,619000274.5993017,0.6170003123350274,0.856532926213317
fs1,4-month horizon,2023-10-01,pooled,5410,834479401.7976866,79164694.2416995,89345917.81991619,39613884.7568461,626354904.9792248,0.46979055664905556,0.6664896558719468
fs1,4-month horizon,2023-10-01,partitioned,5410,834479401.7976866,87567477.1330286,80943134.9285871,30465539.1601904,635503250.5758805,0.5196555638941579,0.7418896837770581
fs1,4-month horizon,2024-02-01,pooled,5697,888291376.5975075,143373949.31184304,75145088.828067,34896862.00240165,634875476.4551958,0.6561165129239025,0.8042480328375932
fs1,4-month horizon,2024-02-01,partitioned,5697,888291376.5975075,132979582.52865805,85539455.611252,25620435.295085352,644151903.1625121,0.6085491848244174,0.8384588120062001
fs1,4-month horizon,2024-06-01,pooled,5697,888291376.5975075,166596188.49559903,101421484.7117682,26192021.53573771,594081681.8544025,0.6215865786085768,0.8641409579378307
fs1,4-month horizon,2024-06-01,partitioned,5697,888291376.5975075,172872603.1716935,95145070.0356737,26769720.98988791,593503982.4002523,0.6450044920654943,0.8659115941356116
fs1,4-month horizon,2024-10-01,pooled,5336,843135969.4846133,107592157.9755533,50048623.0018565,64353710.27999422,621141478.2272092,0.6825147484582142,0.6257327324414034
fs1,4-month horizon,2024-10-01,partitioned,5336,843135969.4846133,115704867.98273832,41935912.994671494,53008919.461445615,632486269.0457578,0.7339780180315081,0.685805645973168
fs2,8-month horizon,2021-02-01,pooled,5425,829590705.9968276,56615368.55162736,63375830.702254,10157774.272465501,699441732.4704808,0.47182934168229024,0.8478763490401352
fs2,8-month horizon,2021-02-01,partitioned,5425,829590705.9968276,70815235.99201736,49175963.261864,34544567.6090312,675054939.1339151,0.5901702494212441,0.6721276385457555
fs2,8-month horizon,2021-06-01,pooled,4385,717535412.8736532,52110442.8364412,46127911.2826442,15174300.096862698,604122758.6577052,0.5304490624229358,0.7744763606824768
fs2,8-month horizon,2021-06-01,partitioned,4385,717535412.8736532,58427697.914785996,39810656.204299405,26846887.087389402,592450171.6671784,0.5947544463536046,0.6851712959177166
fs2,8-month horizon,2021-10-01,pooled,4974,811229092.5056571,56708217.60542016,55259806.60447805,13218832.54824492,686042235.747514,0.5064679671324149,0.8109625313924087
fs2,8-month horizon,2021-10-01,partitioned,4974,811229092.5056571,65902707.75831366,46065316.45158455,23690069.1724683,675570999.1232905,0.5885850734917919,0.7355805904892211
fs2,8-month horizon,2022-02-01,pooled,4974,811229092.5056571,57690793.19688569,95606174.6892497,7694785.795799,650237338.8237227,0.37633355696726345,0.8823167751307992
fs2,8-month horizon,2022-02-01,partitioned,4974,811229092.5056571,68846564.5571277,84450403.32900771,21414121.10278,636518003.5167418,0.4491058466874893,0.7627525101740746
fs2,8-month horizon,2022-06-01,pooled,4864,815965495.1817701,78020896.3086613,103145422.689039,11031641.84086,623767534.3432097,0.4306589477575668,0.8761220952249827
fs2,8-month horizon,2022-06-01,partitioned,4864,815965495.1817701,96759592.500642,84406726.4970583,17032486.535113,617766689.6489569,0.5340926118936614,0.8503192253850888
fs2,8-month horizon,2022-10-01,pooled,5012,815220305.9964302,82407556.63324305,85057612.18966696,8161838.509178299,639593298.6643418,0.4920877410656473,0.9098830405531171
fs2,8-month horizon,2022-10-01,partitioned,5012,815220305.9964302,94178497.1399572,73286671.6829528,13053495.2810772,634701641.892443,0.5623766291338378,0.8782686492495251
fs2,8-month horizon,2023-02-01,pooled,4860,815805751.9532602,90193630.65295501,50826085.6631065,12129405.217733001,662656630.4194657,0.6395817053752105,0.8814596819326034
fs2,8-month horizon,2023-02-01,partitioned,4860,815805751.9532602,107084615.6656636,33935100.6503979,26977186.6958105,647808848.9413881,0.7593591765966924,0.7987705206060765
fs2,8-month horizon,2023-06-01,pooled,5555,864320795.0821877,122463643.39331272,99878691.93230191,10842344.1542813,631136115.6022917,0.5507886890455111,0.918665737723069
fs2,8-month horizon,2023-06-01,partitioned,5555,864320795.0821877,140652005.4647856,81690329.860829,20460562.1460393,621517897.6105337,0.6325921028885677,0.8730045554517959
fs2,8-month horizon,2023-10-01,pooled,5410,834479401.7976866,76953214.69912212,91557397.3624936,35206247.1592381,630762542.5768329,0.4566668755020857,0.6861054201231988
fs2,8-month horizon,2023-10-01,partitioned,5410,834479401.7976866,84051332.69164461,84459279.3699711,37924450.5163256,628044339.2197453,0.49878955196549485,0.6890821315599676
fs2,8-month horizon,2024-02-01,pooled,5697,888291376.5975075,140406768.14730525,78112269.99260479,32866481.06990765,636905857.3876898,0.6425379195446016,0.8103199356023693
fs2,8-month horizon,2024-02-01,partitioned,5697,888291376.5975075,127102651.20502868,91416386.93488139,21991948.078375548,647780390.3792218,0.5816548172962821,0.8524966820791913
fs2,8-month horizon,2024-06-01,pooled,5697,888291376.5975075,171289348.1378945,96728325.0694727,33036138.61057441,587237564.7795658,0.6390972135832502,0.8383161144686617
fs2,8-month horizon,2024-06-01,partitioned,5697,888291376.5975075,178924546.18405348,89093127.0233137,32698184.61546771,587575518.7746725,0.6675848799180429,0.8454883154945958
