hotspot,scope,forecasting_horizon,actual_crisis_observations,false_negative_observations,actual_crisis_population,false_negative_population,missed_crisis_population_share,mean_false_negative_probability,near_threshold_share,dominant_month,seasonal_crisis_error_rate_weighted,highest_error_season
Central/southern Mozambique,fs1,4-month horizon,143,143,11585108.922848001,11585108.922848001,1.0,0.25643356643356646,0.23076923076923078,2024-10,1.0,AMJJ
Central/southern Mozambique,fs2,8-month horizon,143,137,11585108.922848001,11352024.436494999,0.9798806823565278,0.2786131386861314,0.35036496350364965,2024-10,0.958041958041958,ASON
Central/southern Mozambique,fs3,12-month horizon,143,129,11585108.922848001,10896701.610415,0.9405782615409569,0.3322480620155039,0.5116279069767442,2024-10,0.9020979020979021,AMJJ
Chad,fs1,4-month horizon,175,136,22543728.975702,18071769.319198996,0.8016317681372521,0.25911764705882356,0.29411764705882354,2024-02,0.7771428571428571,DJFM
Chad,fs2,8-month horizon,175,142,22543728.975702,18665831.104319,0.8279832996767011,0.22218309859154936,0.13380281690140844,2024-02,0.8114285714285714,DJFM
Chad,fs3,12-month horizon,175,161,22543728.975702,20675830.522432,0.917143323747227,0.23720496894409937,0.2111801242236025,2024-06,0.92,DJFM
Niger,fs1,4-month horizon,332,115,29799086.6965664,12278008.522836601,0.4120263365068613,0.2903478260869565,0.40869565217391307,2023-10,0.3463855421686747,ASON
Niger,fs2,8-month horizon,332,131,29799086.6965664,13048935.319043601,0.43789715610804825,0.2952671755725191,0.4198473282442748,2023-10,0.39457831325301207,AMJJ
Niger,fs3,12-month horizon,332,173,29799086.6965664,15272304.8568184,0.512509158831977,0.25537572254335256,0.23121387283236994,2023-10,0.5210843373493976,ASON
Northern Afghanistan,fs1,4-month horizon,714,428,62714966.8912368,42696565.10153881,0.6808034384453263,0.3087383177570094,0.42757009345794394,2023-10,0.5994397759103641,ASON
Northern Afghanistan,fs2,8-month horizon,714,392,62714966.8912368,40802324.293440804,0.6505994711629536,0.27520408163265303,0.27040816326530615,2023-10,0.5490196078431373,ASON
Northern Afghanistan,fs3,12-month horizon,714,415,62714966.8912368,46017755.9251968,0.7337603479087045,0.29137349397590356,0.3325301204819277,2023-10,0.5812324929971989,ASON
Somalia,fs1,4-month horizon,889,482,49601129.7331291,28205438.335433803,0.5686450789969629,0.35060165975103735,0.5477178423236515,2022-02,0.5421822272215973,DJFM
Somalia,fs2,8-month horizon,889,465,49601129.7331291,28048436.723785102,0.5654797960186634,0.3591827956989247,0.5268817204301075,2022-02,0.5230596175478065,DJFM
Somalia,fs3,12-month horizon,889,455,49601129.7331291,27827805.8998342,0.5610316952367261,0.3550989010989011,0.48131868131868133,2022-02,0.5118110236220472,DJFM
South Sudan,fs1,4-month horizon,598,13,107419130.7552,2067956.23444,0.01925128438390285,0.3861538461538462,0.6923076923076923,2022-10,0.021739130434782608,AMJJ
South Sudan,fs2,8-month horizon,598,17,107419130.7552,2736771.68366,0.025477507259827805,0.4029411764705882,0.47058823529411764,2022-10,0.028428093645484948,ASON
South Sudan,fs3,12-month horizon,598,15,107419130.7552,1826375.09385,0.017002326131386872,0.4053333333333333,0.6,2022-06,0.02508361204013378,AMJJ
Sudan,fs1,4-month horizon,1836,1015,214001166.10825217,127847822.85854,0.5974164775993247,0.3184630541871921,0.50935960591133,2024-02,0.5528322440087146,DJFM
Sudan,fs2,8-month horizon,1836,1046,214001166.10825217,131119983.23902,0.6127068633480864,0.2993116634799235,0.39101338432122373,2024-02,0.5697167755991286,DJFM
Sudan,fs3,12-month horizon,1836,1309,214001166.10825217,167953020.66857398,0.7848229228041458,0.32174942704354464,0.44614209320091675,2024-02,0.7129629629629629,ASON
