scope,forecasting_horizon,model,recall,precision,threshold,average_precision
fs1,4-month horizon,pooled,1.0,0.29230249722619756,0.0,0.7419570760223246
fs1,4-month horizon,pooled,0.9988447573990538,0.30114607002471266,0.01,0.7419570760223246
fs1,4-month horizon,pooled,0.9968643415117174,0.3121511748087921,0.02,0.7419570760223246
fs1,4-month horizon,pooled,0.9948839256243811,0.32323503127792674,0.03,0.7419570760223246
fs1,4-month horizon,pooled,0.9929585212894708,0.33372776688976813,0.04,0.7419570760223246
fs1,4-month horizon,pooled,0.9911431400594125,0.34377683222347305,0.05,0.7419570760223246
fs1,4-month horizon,pooled,0.9886126086478161,0.3533911470316402,0.06,0.7419570760223246
fs1,4-month horizon,pooled,0.9851468808449775,0.36269367088607596,0.07,0.7419570760223246
fs1,4-month horizon,pooled,0.9811310375178788,0.37117585848074924,0.08,0.7419570760223246
fs1,4-month horizon,pooled,0.976675101771372,0.37950493779658845,0.09,0.7419570760223246
fs1,4-month horizon,pooled,0.9719991198151612,0.3888424295774648,0.1,0.7419570760223246
fs1,4-month horizon,pooled,0.9666079876774123,0.39856190173751305,0.11,0.7419570760223246
fs1,4-month horizon,pooled,0.9617119595114975,0.4089452384851108,0.12,0.7419570760223246
fs1,4-month horizon,pooled,0.9567059082407305,0.42006231733533006,0.13,0.7419570760223246
fs1,4-month horizon,pooled,0.9502145450544615,0.43132897168256507,0.14,0.7419570760223246
fs1,4-month horizon,pooled,0.94168775442843,0.44229129524843036,0.15,0.7419570760223246
fs1,4-month horizon,pooled,0.9344262295081968,0.4530566520857783,0.16,0.7419570760223246
fs1,4-month horizon,pooled,0.9261744966442953,0.46392945715073025,0.17,0.7419570760223246
fs1,4-month horizon,pooled,0.91825283309495,0.47474402730375426,0.18,0.7419570760223246
fs1,4-month horizon,pooled,0.9102761579931785,0.4850643449711254,0.19,0.7419570760223246
fs1,4-month horizon,pooled,0.9016393442622951,0.4959452916969257,0.2,0.7419570760223246
fs1,4-month horizon,pooled,0.8919573110353174,0.5064342828585707,0.21,0.7419570760223246
fs1,4-month horizon,pooled,0.8826603586753218,0.5170802449242669,0.22,0.7419570760223246
fs1,4-month horizon,pooled,0.8728683023434921,0.5279145594889539,0.23,0.7419570760223246
fs1,4-month horizon,pooled,0.8624161073825504,0.5385249562021229,0.24,0.7419570760223246
fs1,4-month horizon,pooled,0.8526790626031466,0.5501526229857315,0.25,0.7419570760223246
fs1,4-month horizon,pooled,0.8407965672791287,0.5609424890813668,0.26,0.7419570760223246
fs1,4-month horizon,pooled,0.8303443723181868,0.5729360409944961,0.27,0.7419570760223246
fs1,4-month horizon,pooled,0.8200572120145231,0.5841300940438872,0.28,0.7419570760223246
fs1,4-month horizon,pooled,0.8083947629002091,0.5959768017195928,0.29,0.7419570760223246
fs1,4-month horizon,pooled,0.7971724062053032,0.6073599061150928,0.3,0.7419570760223246
fs1,4-month horizon,pooled,0.784959841566729,0.6181069958847737,0.31,0.7419570760223246
fs1,4-month horizon,pooled,0.7724722191660248,0.628108785113616,0.32,0.7419570760223246
fs1,4-month horizon,pooled,0.7588843657168005,0.6381256360440374,0.33,0.7419570760223246
fs1,4-month horizon,pooled,0.7459566508966883,0.647440794499618,0.34,0.7419570760223246
fs1,4-month horizon,pooled,0.7336340631532622,0.6569458128078818,0.35,0.7419570760223246
fs1,4-month horizon,pooled,0.7219716140389482,0.6660238518142604,0.36,0.7419570760223246
fs1,4-month horizon,pooled,0.7100891187149302,0.6750692955389362,0.37,0.7419570760223246
fs1,4-month horizon,pooled,0.6988117504675982,0.6827367515855101,0.38,0.7419570760223246
fs1,4-month horizon,pooled,0.6868742435911541,0.6909030544488712,0.39,0.7419570760223246
fs1,4-month horizon,pooled,0.6754318406865442,0.6976532757543042,0.4,0.7419570760223246
fs1,4-month horizon,pooled,0.66239410276158,0.703946214557147,0.41,0.7419570760223246
fs1,4-month horizon,pooled,0.651171746066674,0.7111872146118722,0.42,0.7419570760223246
fs1,4-month horizon,pooled,0.63950929695236,0.7172826556426236,0.43,0.7419570760223246
fs1,4-month horizon,pooled,0.6295522059632522,0.7231595576619273,0.44,0.7419570760223246
fs1,4-month horizon,pooled,0.6203102651556827,0.7303108808290155,0.45,0.7419570760223246
fs1,4-month horizon,pooled,0.6080426889646826,0.7348580546506216,0.46,0.7419570760223246
fs1,4-month horizon,pooled,0.5970403784794807,0.742237723977568,0.47,0.7419570760223246
fs1,4-month horizon,pooled,0.5860380679942788,0.7477363655506423,0.48,0.7419570760223246
fs1,4-month horizon,pooled,0.5744856419848168,0.7547156175471562,0.49,0.7419570760223246
fs1,4-month horizon,pooled,0.5624931235559467,0.7607320883862808,0.5,0.7419570760223246
fs1,4-month horizon,pooled,0.5513807899658928,0.7655820348304307,0.51,0.7419570760223246
fs1,4-month horizon,pooled,0.5410936296622291,0.7732096533291408,0.52,0.7419570760223246
fs1,4-month horizon,pooled,0.5302563538343052,0.7801699716713881,0.53,0.7419570760223246
fs1,4-month horizon,pooled,0.517933766090879,0.7865497076023392,0.54,0.7419570760223246
fs1,4-month horizon,pooled,0.5066013862911212,0.7915592229671652,0.55,0.7419570760223246
fs1,4-month horizon,pooled,0.49444383320497304,0.7973032910494101,0.56,0.7419570760223246
fs1,4-month horizon,pooled,0.48250632632852897,0.8030580479765611,0.57,0.7419570760223246
fs1,4-month horizon,pooled,0.47078886566178896,0.8075108511039819,0.58,0.7419570760223246
fs1,4-month horizon,pooled,0.45681593134558257,0.8120477214942304,0.59,0.7419570760223246
fs1,4-month horizon,pooled,0.4452084937836946,0.8168146951958014,0.6,0.7419570760223246
fs1,4-month horizon,pooled,0.43360105622180656,0.8219835227865262,0.61,0.7419570760223246
fs1,4-month horizon,pooled,0.42171856089778853,0.8276830058302742,0.62,0.7419570760223246
fs1,4-month horizon,pooled,0.4104411926504566,0.8326079678607299,0.63,0.7419570760223246
fs1,4-month horizon,pooled,0.3983386511167345,0.8366262276140959,0.64,0.7419570760223246
fs1,4-month horizon,pooled,0.38689624821212454,0.8383597568244129,0.65,0.7419570760223246
fs1,4-month horizon,pooled,0.37567389151721864,0.840285468192445,0.66,0.7419570760223246
fs1,4-month horizon,pooled,0.36379139619320056,0.8420985610594677,0.67,0.7419570760223246
fs1,4-month horizon,pooled,0.3517438662119045,0.8444268357105125,0.68,0.7419570760223246
fs1,4-month horizon,pooled,0.3393112553636264,0.8467874794069192,0.69,0.7419570760223246
fs1,4-month horizon,pooled,0.3259434481241061,0.8489754979223384,0.7,0.7419570760223246
fs1,4-month horizon,pooled,0.31263065243701177,0.8538161057692307,0.71,0.7419570760223246
fs1,4-month horizon,pooled,0.2999229838266036,0.8564247565190072,0.72,0.7419570760223246
fs1,4-month horizon,pooled,0.2878754538453075,0.8577282412719226,0.73,0.7419570760223246
fs1,4-month horizon,pooled,0.2750577621300473,0.8608815426997245,0.74,0.7419570760223246
fs1,4-month horizon,pooled,0.26191000110023105,0.8626562783112883,0.75,0.7419570760223246
