test_month,forecasting_scope,active_lag_months,threshold_enabled,selected_threshold,fallback_reason,validation_precision,validation_recall,validation_f1,validation_support,validation_positive_cases,fit_start,fit_end,validation_start,validation_end,test_precision,test_recall,test_f1,test_tp,test_fp,test_fn,test_tn,scope,forecasting_horizon
2021-02,1,4,True,0.44,,0.4936424831712789,0.7013815090329437,0.5794556628621598,11012,1882,2018-02-01,2019-10-01,2020-02-01,2020-06-01,0.5734797297297297,0.5616211745244003,0.5674885081487673,679,505,530,3711,fs1,4-month lag
2021-06,1,4,True,0.53,,0.6935714285714286,0.5400444938820912,0.6072545340838024,10933,1798,2018-06-01,2020-02-01,2020-06-01,2020-10-01,0.636215334420881,0.3987730061349693,0.4902576995600252,390,223,588,3184,fs1,4-month lag
2021-10,1,4,True,0.44,,0.5654354765161879,0.6078431372549019,0.5858729033782187,10852,2040,2018-10-01,2020-06-01,2020-10-01,2021-02-01,0.5982596084118926,0.7534246575342466,0.6669361358124495,825,554,270,3325,fs1,4-month lag
2022-02,1,4,True,0.36,,0.53385240352065,0.7210791037951532,0.6134993191985996,9810,2187,2019-02-01,2020-10-01,2021-02-01,2021-06-01,0.7051027170311465,0.7174645987862441,0.7112299465240642,1064,445,419,3046,fs1,4-month lag
2022-06,1,4,True,0.45,,0.6344216041918581,0.7592860588519055,0.6912604303908652,9359,2073,2019-06-01,2021-02-01,2021-06-01,2021-10-01,0.8561746987951807,0.6996923076923077,0.7700643413477819,1137,191,488,3048,fs1,4-month lag
2022-10,1,4,True,0.34,,0.6268483618440127,0.8386346004654771,0.7174381947901111,9948,2578,2019-10-01,2021-06-01,2021-10-01,2022-02-01,0.702862783810464,0.8839230291744258,0.7830629639813033,1424,602,187,2799,fs1,4-month lag
2023-02,1,4,True,0.28,,0.7267744587558235,0.8532818532818532,0.7849637413053131,9838,3108,2020-02-01,2021-10-01,2022-02-01,2022-06-01,0.5628187297171998,0.9559055118110236,0.7084913918879487,1214,943,56,2647,fs1,4-month lag
2023-06,1,4,True,0.33,,0.7339876033057852,0.8782447466007417,0.7996623522791223,9876,3236,2020-06-01,2022-02-01,2022-06-01,2022-10-01,0.7535273368606702,0.875961045617632,0.8101445840246503,1709,559,242,3045,fs1,4-month lag
2023-10,1,4,True,0.49,,0.7830564784053156,0.818118708781673,0.8002037005601765,9872,2881,2020-10-01,2022-06-01,2022-10-01,2023-02-01,0.7833219412166781,0.6813317479191439,0.7287758346581876,1146,317,536,3411,fs1,4-month lag
2024-02,1,4,True,0.47,,0.8111587982832618,0.8214840111766533,0.8162887552059233,10415,3221,2021-02-01,2022-10-01,2023-02-01,2023-06-01,0.7878250591016549,0.6892450879007239,0.7352454495311639,1333,359,601,3404,fs1,4-month lag
2024-06,1,4,True,0.39,,0.7729772191673213,0.8125516102394715,0.7922705314009661,10965,3633,2021-06-01,2023-02-01,2023-06-01,2023-10-01,0.700089928057554,0.7947932618683001,0.744441788190294,1557,667,402,3071,fs1,4-month lag
