forecasting_horizon,season,uid,n,err_rate
4-month lag,AMJJ,0,3,0.0
4-month lag,AMJJ,1,3,0.0
4-month lag,AMJJ,2,3,0.0
4-month lag,AMJJ,3,3,0.0
4-month lag,AMJJ,4,3,0.0
4-month lag,AMJJ,5,3,0.0
4-month lag,AMJJ,6,3,0.0
4-month lag,AMJJ,7,3,0.0
4-month lag,AMJJ,8,3,0.0
4-month lag,AMJJ,9,3,0.0
4-month lag,AMJJ,10,3,0.0
4-month lag,AMJJ,11,3,0.0
4-month lag,AMJJ,12,3,0.0
4-month lag,AMJJ,13,3,0.0
4-month lag,AMJJ,14,3,0.0
4-month lag,AMJJ,15,3,0.0
4-month lag,AMJJ,16,3,0.3333333333333333
4-month lag,AMJJ,17,3,0.0
4-month lag,AMJJ,18,3,0.0
4-month lag,AMJJ,19,3,0.0
4-month lag,AMJJ,20,3,0.0
4-month lag,AMJJ,21,3,0.0
4-month lag,AMJJ,22,3,0.6666666666666666
4-month lag,AMJJ,23,3,0.3333333333333333
4-month lag,AMJJ,24,3,0.0
4-month lag,AMJJ,25,3,0.0
4-month lag,AMJJ,26,3,0.0
4-month lag,AMJJ,27,3,0.0
4-month lag,AMJJ,28,3,0.0
4-month lag,AMJJ,29,3,0.0
4-month lag,AMJJ,30,3,0.0
4-month lag,AMJJ,31,3,0.0
4-month lag,AMJJ,32,3,0.0
4-month lag,AMJJ,33,3,0.0
4-month lag,AMJJ,34,3,0.0
4-month lag,AMJJ,35,3,0.0
4-month lag,AMJJ,36,3,0.0
4-month lag,AMJJ,37,3,0.0
4-month lag,AMJJ,38,3,0.0
4-month lag,AMJJ,39,3,0.0
4-month lag,AMJJ,40,3,0.0
4-month lag,AMJJ,41,3,0.6666666666666666
4-month lag,AMJJ,42,3,0.0
4-month lag,AMJJ,43,3,0.0
4-month lag,AMJJ,44,3,0.0
4-month lag,AMJJ,45,3,0.0
4-month lag,AMJJ,46,3,0.0
4-month lag,AMJJ,47,3,0.0
4-month lag,AMJJ,48,3,0.0
4-month lag,AMJJ,49,3,0.0
4-month lag,AMJJ,50,3,0.0
4-month lag,AMJJ,51,3,0.6666666666666666
4-month lag,AMJJ,52,3,0.0
4-month lag,AMJJ,53,3,0.0
4-month lag,AMJJ,54,3,0.0
4-month lag,AMJJ,55,3,0.0
4-month lag,AMJJ,56,3,0.0
4-month lag,AMJJ,57,3,0.0
4-month lag,AMJJ,58,3,0.0
4-month lag,AMJJ,59,3,0.0
4-month lag,AMJJ,60,3,0.0
4-month lag,AMJJ,61,3,0.0
4-month lag,AMJJ,62,3,0.0
4-month lag,AMJJ,63,3,0.3333333333333333
4-month lag,AMJJ,64,3,0.0
4-month lag,AMJJ,65,3,0.0
4-month lag,AMJJ,66,3,0.0
4-month lag,AMJJ,67,3,0.0
4-month lag,AMJJ,68,3,0.0
4-month lag,AMJJ,69,3,0.0
4-month lag,AMJJ,70,3,0.0
4-month lag,AMJJ,71,3,0.0
4-month lag,AMJJ,72,3,0.0
4-month lag,AMJJ,73,3,0.0
4-month lag,AMJJ,74,3,0.0
4-month lag,AMJJ,75,3,0.0
