forecasting_horizon,season,uid,n,err_rate
4-month lag,AMJJ,16,1,1.0
4-month lag,AMJJ,41,1,1.0
4-month lag,AMJJ,51,2,0.5
4-month lag,AMJJ,75,1,0.0
4-month lag,AMJJ,79,4,0.0
4-month lag,AMJJ,80,4,0.0
4-month lag,AMJJ,81,1,0.0
4-month lag,AMJJ,82,1,0.0
4-month lag,AMJJ,83,4,0.0
4-month lag,AMJJ,84,4,0.0
4-month lag,AMJJ,85,4,0.0
4-month lag,AMJJ,86,4,0.0
4-month lag,AMJJ,87,4,0.0
4-month lag,AMJJ,88,1,0.0
4-month lag,AMJJ,89,3,0.0
4-month lag,AMJJ,90,4,0.0
4-month lag,AMJJ,91,4,0.0
4-month lag,AMJJ,92,3,0.0
4-month lag,AMJJ,93,2,0.0
4-month lag,AMJJ,94,4,0.0
4-month lag,AMJJ,95,4,0.0
4-month lag,AMJJ,96,1,0.0
4-month lag,AMJJ,97,1,0.0
4-month lag,AMJJ,98,3,0.0
4-month lag,AMJJ,99,2,0.0
4-month lag,AMJJ,100,2,0.0
4-month lag,AMJJ,101,2,0.0
4-month lag,AMJJ,102,3,0.0
4-month lag,AMJJ,103,3,0.0
4-month lag,AMJJ,104,2,0.0
4-month lag,AMJJ,105,2,0.0
4-month lag,AMJJ,106,3,0.0
4-month lag,AMJJ,107,3,0.0
4-month lag,AMJJ,108,1,0.0
4-month lag,AMJJ,109,4,0.0
4-month lag,AMJJ,110,4,0.0
4-month lag,AMJJ,111,2,0.0
4-month lag,AMJJ,112,3,0.0
4-month lag,AMJJ,113,3,0.0
4-month lag,AMJJ,114,3,0.0
4-month lag,AMJJ,115,3,0.0
4-month lag,AMJJ,116,1,0.0
4-month lag,AMJJ,117,2,0.0
4-month lag,AMJJ,118,2,0.0
4-month lag,AMJJ,119,3,0.0
4-month lag,AMJJ,120,4,0.0
4-month lag,AMJJ,121,4,0.0
4-month lag,AMJJ,122,4,0.0
4-month lag,AMJJ,123,4,0.0
4-month lag,AMJJ,124,4,0.0
4-month lag,AMJJ,125,4,0.0
4-month lag,AMJJ,126,4,0.0
4-month lag,AMJJ,127,3,0.0
4-month lag,AMJJ,128,4,0.0
4-month lag,AMJJ,129,3,0.0
4-month lag,AMJJ,130,4,0.0
4-month lag,AMJJ,131,4,0.0
4-month lag,AMJJ,132,4,0.0
4-month lag,AMJJ,133,4,0.0
4-month lag,AMJJ,134,4,0.0
4-month lag,AMJJ,135,4,0.0
4-month lag,AMJJ,136,4,0.0
4-month lag,AMJJ,137,4,0.0
4-month lag,AMJJ,138,4,0.0
4-month lag,AMJJ,139,4,0.0
4-month lag,AMJJ,140,4,0.0
4-month lag,AMJJ,141,4,0.0
4-month lag,AMJJ,142,4,0.0
4-month lag,AMJJ,143,3,0.0
4-month lag,AMJJ,144,4,0.0
4-month lag,AMJJ,145,4,0.0
4-month lag,AMJJ,146,4,0.0
4-month lag,AMJJ,147,4,0.0
4-month lag,AMJJ,148,4,0.0
4-month lag,AMJJ,149,4,0.0
4-month lag,AMJJ,150,4,0.0
4-month lag,AMJJ,151,3,0.0
4-month lag,AMJJ,152,4,0.0
4-month lag,AMJJ,153,4,0.0
4-month lag,AMJJ,154,4,0.0
4-month lag,AMJJ,155,4,0.0
4-month lag,AMJJ,156,4,0.0
4-month lag,AMJJ,157,4,0.0
4-month lag,AMJJ,158,4,0.0
4-month lag,AMJJ,159,4,0.0
4-month lag,AMJJ,160,2,0.0
4-month lag,AMJJ,161,1,0.0
4-month lag,AMJJ,162,4,0.0
4-month lag,AMJJ,163,4,0.0
4-month lag,AMJJ,164,2,0.0
4-month lag,AMJJ,165,1,0.0
4-month lag,AMJJ,166,2,0.0
4-month lag,AMJJ,167,2,0.0
4-month lag,AMJJ,168,1,0.0
4-month lag,AMJJ,169,1,0.0
4-month lag,AMJJ,170,1,0.0
4-month lag,AMJJ,171,1,0.0
4-month lag,AMJJ,175,1,1.0
4-month lag,AMJJ,178,1,1.0
4-month lag,AMJJ,187,2,0.5
4-month lag,AMJJ,188,1,1.0
4-month lag,AMJJ,189,2,0.5
4-month lag,AMJJ,191,2,0.5
4-month lag,AMJJ,197,1,1.0
4-month lag,AMJJ,199,2,0.5
4-month lag,AMJJ,200,2,0.5
4-month lag,AMJJ,201,1,1.0
4-month lag,AMJJ,202,2,0.5
4-month lag,AMJJ,203,1,1.0
4-month lag,AMJJ,204,1,1.0
4-month lag,AMJJ,205,1,1.0
4-month lag,AMJJ,206,1,1.0
4-month lag,AMJJ,207,2,0.5
4-month lag,AMJJ,208,1,1.0
4-month lag,AMJJ,209,1,1.0
4-month lag,AMJJ,210,2,0.5
4-month lag,AMJJ,211,2,0.5
4-month lag,AMJJ,212,1,1.0
4-month lag,AMJJ,213,1,1.0
4-month lag,AMJJ,214,2,0.5
4-month lag,AMJJ,215,2,0.5
4-month lag,AMJJ,217,1,1.0
4-month lag,AMJJ,218,1,1.0
4-month lag,AMJJ,219,1,1.0
4-month lag,AMJJ,220,1,1.0
4-month lag,AMJJ,221,1,1.0
4-month lag,AMJJ,222,1,1.0
4-month lag,AMJJ,223,1,1.0
4-month lag,AMJJ,224,1,1.0
4-month lag,AMJJ,225,2,0.5
4-month lag,AMJJ,226,3,0.6666666666666666
4-month lag,AMJJ,227,2,0.5
4-month lag,AMJJ,228,1,1.0
4-month lag,AMJJ,229,1,1.0
4-month lag,AMJJ,230,2,0.5
4-month lag,AMJJ,231,1,1.0
4-month lag,AMJJ,232,1,1.0
4-month lag,AMJJ,233,3,0.6666666666666666
4-month lag,AMJJ,234,1,1.0
4-month lag,AMJJ,235,3,0.6666666666666666
4-month lag,AMJJ,236,2,0.5
4-month lag,AMJJ,237,2,0.5
4-month lag,AMJJ,238,3,0.6666666666666666
4-month lag,AMJJ,239,2,0.5
4-month lag,AMJJ,240,2,0.5
4-month lag,AMJJ,241,3,0.0
4-month lag,AMJJ,242,3,0.0
4-month lag,AMJJ,243,3,0.0
4-month lag,AMJJ,244,3,0.0
4-month lag,AMJJ,245,3,0.0
4-month lag,AMJJ,246,1,1.0
4-month lag,AMJJ,247,1,1.0
4-month lag,AMJJ,248,1,1.0
4-month lag,AMJJ,249,2,0.5
4-month lag,AMJJ,250,2,0.5
4-month lag,AMJJ,251,2,0.5
4-month lag,AMJJ,252,1,1.0
4-month lag,AMJJ,253,1,1.0
4-month lag,AMJJ,254,1,1.0
4-month lag,AMJJ,255,2,0.5
4-month lag,AMJJ,256,1,1.0
4-month lag,AMJJ,257,1,1.0
4-month lag,AMJJ,258,2,0.5
4-month lag,AMJJ,259,2,0.5
4-month lag,AMJJ,264,2,0.0
