scope,forecasting_horizon,model,bin_id,bin_lower,bin_upper,n,mean_predicted_probability,observed_crisis_rate,calibration_gap,brier_score
fs1,4-month lag,pooled,0,0.0,0.1,16749,0.03993671263956058,0.03038987402232969,-0.009546838617230886,0.12809407451478558
fs1,4-month lag,pooled,1,0.1,0.2,12392,0.14245319561007103,0.10321174951581666,-0.03924144609425437,0.12809407451478558
fs1,4-month lag,pooled,2,0.2,0.3,9189,0.2429045597997606,0.20666013712047013,-0.03624442267929048,0.12809407451478558
fs1,4-month lag,pooled,3,0.3,0.4,6260,0.34060063897763576,0.3535143769968051,0.01291373801916934,0.12809407451478558
fs1,4-month lag,pooled,4,0.4,0.5,4158,0.4432876382876383,0.49374699374699377,0.05045935545935548,0.12809407451478558
fs1,4-month lag,pooled,5,0.5,0.6,3533,0.5442088876309086,0.6034531559581092,0.059244268327200644,0.12809407451478558
fs1,4-month lag,pooled,6,0.6,0.7,2929,0.6439774667121885,0.7401843632639126,0.0962068965517241,0.12809407451478558
fs1,4-month lag,pooled,7,0.7,0.8,2874,0.7440292275574113,0.8180236604036186,0.07399443284620733,0.12809407451478558
fs1,4-month lag,pooled,8,0.8,0.9,2533,0.844200552704303,0.8401105408606395,-0.004090011843663532,0.12809407451478558
fs1,4-month lag,pooled,9,0.9,1.0,1572,0.9341221374045802,0.9198473282442748,-0.014274809160305324,0.12809407451478558
fs1,4-month lag,partitioned,0,0.0,0.1,16649,0.04459186737942219,0.025346867679740526,-0.019244999699681662,0.12145954590040041
fs1,4-month lag,partitioned,1,0.1,0.2,11614,0.14006802135353882,0.0793008438091958,-0.06076717754434302,0.12145954590040041
fs1,4-month lag,partitioned,2,0.2,0.3,7649,0.24192443456661003,0.16446594326055694,-0.07745849130605309,0.12145954590040041
fs1,4-month lag,partitioned,3,0.3,0.4,5630,0.3442095914742451,0.30177619893428065,-0.042433392539964476,0.12145954590040041
fs1,4-month lag,partitioned,4,0.4,0.5,4923,0.4434166158846232,0.4521633150517977,0.008746699167174465,0.12145954590040041
fs1,4-month lag,partitioned,5,0.5,0.6,3958,0.5427690752905507,0.565689742294088,0.022920667003537232,0.12145954590040041
fs1,4-month lag,partitioned,6,0.6,0.7,3220,0.643944099378882,0.6664596273291925,0.022515527950310532,0.12145954590040041
fs1,4-month lag,partitioned,7,0.7,0.8,3065,0.7453605220228384,0.8022838499184339,0.05692332789559551,0.12145954590040041
fs1,4-month lag,partitioned,8,0.8,0.9,2553,0.8418723070896985,0.8523305914610263,0.010458284371327786,0.12145954590040041
