scope,horizon_months,forecasting_horizon,target_month,group,display_group,raw_mean_abs_shap,group_share,matched_feature_count,normalization_denominator,fallback_samples,evaluated_samples
fs1,4,4-month horizon,2021-02,weather,Weather,0.03634402863577583,0.08915304339651386,8,0.40765886672127877,32,480
fs1,4,4-month horizon,2021-02,agri,Agri,0.03400748849390782,0.08342143706433632,24,0.40765886672127877,32,480
fs1,4,4-month horizon,2021-02,conflict,Conflict,0.06742266489422868,0.1653899139653115,38,0.40765886672127877,32,480
fs1,4,4-month horizon,2021-02,econ,Econ,0.1056901817782478,0.2592613344296751,16,0.40765886672127877,32,480
fs1,4,4-month horizon,2021-02,food_prices,Food Prices,0.016807933272509023,0.041230388063657177,6,0.40765886672127877,32,480
fs1,4,4-month horizon,2021-02,geographic,Geographic,0.03535351799149321,0.08672328968540462,8,0.40765886672127877,32,480
fs1,4,4-month horizon,2021-02,lag,Lag,0.1120330516551164,0.27482059339510145,6,0.40765886672127877,32,480
fs1,4,4-month horizon,2021-06,weather,Weather,0.03319108837771143,0.07860256012953698,8,0.4222647242406931,12,500
fs1,4,4-month horizon,2021-06,agri,Agri,0.0368836788021268,0.087347288761689,24,0.4222647242406931,12,500
fs1,4,4-month horizon,2021-06,conflict,Conflict,0.07513777468449227,0.1779399754966587,38,0.4222647242406931,12,500
fs1,4,4-month horizon,2021-06,econ,Econ,0.11024971911954903,0.26109147364321655,16,0.4222647242406931,12,500
fs1,4,4-month horizon,2021-06,food_prices,Food Prices,0.023925166725249,0.05665916509665991,6,0.4222647242406931,12,500
fs1,4,4-month horizon,2021-06,geographic,Geographic,0.030926776240351395,0.0732402553776265,8,0.4222647242406931,12,500
fs1,4,4-month horizon,2021-06,lag,Lag,0.1119505202912132,0.2651192814946124,6,0.4222647242406931,12,500
fs1,4,4-month horizon,2021-10,weather,Weather,0.02926284631473928,0.06741448642848377,8,0.4340735628948621,24,488
fs1,4,4-month horizon,2021-10,agri,Agri,0.036209054688556924,0.08341686244855967,24,0.4340735628948621,24,488
fs1,4,4-month horizon,2021-10,conflict,Conflict,0.08289592510445183,0.19097206600561903,38,0.4340735628948621,24,488
fs1,4,4-month horizon,2021-10,econ,Econ,0.11353148531237961,0.26154895164596403,16,0.4340735628948621,24,488
fs1,4,4-month horizon,2021-10,food_prices,Food Prices,0.018903278547148204,0.04354855988252574,6,0.4340735628948621,24,488
fs1,4,4-month horizon,2021-10,geographic,Geographic,0.04223545203796793,0.09730021740162477,8,0.4340735628948621,24,488
fs1,4,4-month horizon,2021-10,lag,Lag,0.11103552088961832,0.255798856187223,6,0.4340735628948621,24,488
fs1,4,4-month horizon,2022-02,weather,Weather,0.02926050986836317,0.07005936055112602,8,0.41765311070760097,33,479
fs1,4,4-month horizon,2022-02,agri,Agri,0.033943147952860374,0.08127114843069845,24,0.41765311070760097,33,479
fs1,4,4-month horizon,2022-02,conflict,Conflict,0.07500805719632896,0.17959415427134723,38,0.41765311070760097,33,479
fs1,4,4-month horizon,2022-02,econ,Econ,0.09898125662985992,0.2369939408859251,16,0.41765311070760097,33,479
fs1,4,4-month horizon,2022-02,food_prices,Food Prices,0.014792053064774765,0.035417078636655205,6,0.41765311070760097,33,479
fs1,4,4-month horizon,2022-02,geographic,Geographic,0.03818610552527061,0.09143019540923451,8,0.41765311070760097,33,479
fs1,4,4-month horizon,2022-02,lag,Lag,0.12748198047014317,0.3052341218150134,6,0.41765311070760097,33,479
fs1,4,4-month horizon,2022-06,weather,Weather,0.028797964928846946,0.06595567908981514,8,0.43662600895415415,23,489
fs1,4,4-month horizon,2022-06,agri,Agri,0.03727704900433207,0.08537523702177387,24,0.43662600895415415,23,489
fs1,4,4-month horizon,2022-06,conflict,Conflict,0.08017637966587736,0.18362712715608268,38,0.43662600895415415,23,489
fs1,4,4-month horizon,2022-06,econ,Econ,0.09512005041356383,0.2178524606021614,16,0.43662600895415415,23,489
fs1,4,4-month horizon,2022-06,food_prices,Food Prices,0.01329451726645807,0.030448294407157035,6,0.43662600895415415,23,489
fs1,4,4-month horizon,2022-06,geographic,Geographic,0.04202613234859921,0.09625201313422437,8,0.43662600895415415,23,489
fs1,4,4-month horizon,2022-06,lag,Lag,0.13993391532647667,0.32048918858878556,6,0.43662600895415415,23,489
fs1,4,4-month horizon,2022-10,weather,Weather,0.0292603640307323,0.06819014811209213,8,0.429099581696664,19,493
fs1,4,4-month horizon,2022-10,agri,Agri,0.03193591730042608,0.07442542165655615,24,0.429099581696664,19,493
fs1,4,4-month horizon,2022-10,conflict,Conflict,0.0813773040005991,0.18964666355262438,38,0.429099581696664,19,493
fs1,4,4-month horizon,2022-10,econ,Econ,0.11250388361122872,0.26218595498599007,16,0.429099581696664,19,493
fs1,4,4-month horizon,2022-10,food_prices,Food Prices,0.01836666428112068,0.04280280164454765,6,0.429099581696664,19,493
fs1,4,4-month horizon,2022-10,geographic,Geographic,0.036514757103354084,0.08509623094707847,8,0.429099581696664,19,493
fs1,4,4-month horizon,2022-10,lag,Lag,0.11914069136920305,0.27765277910111114,6,0.429099581696664,19,493
fs1,4,4-month horizon,2023-02,weather,Weather,0.02797490739626874,0.06373670677462859,8,0.4389135995869275,31,481
fs1,4,4-month horizon,2023-02,agri,Agri,0.031153093551456224,0.07097773589329466,24,0.4389135995869275,31,481
