scope,forecasting_horizon,metric,support,n_countries,pooled_point,pooled_ci_low,pooled_ci_high,partitioned_point,partitioned_ci_low,partitioned_ci_high,delta_point,delta_ci_low,delta_ci_high
fs1,4-month horizon,precision,62189,22,0.7655820348304307,0.6782417163898974,0.8565093125074937,0.747230416256965,0.6646986350962911,0.8233999635517752,-0.01835161857346579,-0.05506804566319187,0.01196526542794345
fs1,4-month horizon,recall,62189,22,0.5513807899658928,0.4570816641013112,0.6590929696304919,0.6270766861040818,0.5346935241976303,0.7241078439673218,0.07569589613818906,0.052333971983058405,0.10269215462162613
fs1,4-month horizon,f1,62189,22,0.6410617204988807,0.5508998682131961,0.739133485532519,0.6819011156641642,0.6006318313118993,0.7636388686028153,0.040839395165283565,0.01937080369891988,0.06345493090115661
fs1,4-month horizon,brier,62189,22,0.12809407451478558,0.10141788782939987,0.15285680928312748,0.12145954590040041,0.0963920162656677,0.14608978023649108,-0.006634528614385168,-0.012702134634968765,-0.0003388884147099844
fs2,8-month horizon,precision,62189,22,0.7547486033519553,0.6578300679554598,0.8494013764183627,0.7397445428127323,0.6516684145574669,0.8195704883657213,-0.015004060539222985,-0.05336136964459556,0.015526626233449612
fs2,8-month horizon,recall,62189,22,0.5202442512927715,0.42894963330668184,0.6327427894364118,0.6021564528550996,0.5203359524707011,0.7049825421265249,0.08191220156232804,0.055523209733995244,0.10871545284544061
fs2,8-month horizon,f1,62189,22,0.6159307020971735,0.5231788628594828,0.7212112772136595,0.6638968915845337,0.5829340223684498,0.7503157780701585,0.0479661894873602,0.02359997846909151,0.06909311686859955
fs2,8-month horizon,brier,62189,22,0.13394918393928187,0.10675811129063255,0.15870724631399433,0.12768596857965234,0.10188697400648791,0.15307958209724326,-0.006263215359629537,-0.0118691290321142,-0.0001338091729648068
fs3,12-month horizon,precision,62189,22,0.7150511045169798,0.6009294570772054,0.827477691349661,0.6873661670235546,0.5768331911023415,0.790342808503867,-0.027684937493425266,-0.077904152192106,0.009160680603200149
fs3,12-month horizon,recall,62189,22,0.4772252172956321,0.38046030404509834,0.6025459707128548,0.5474199581912201,0.44971768151446445,0.6621274137010047,0.07019474089558803,0.04387314848500923,0.09698196946338285
fs3,12-month horizon,f1,62189,22,0.5724183437809304,0.4771853085951698,0.6897758098901561,0.6094625631603123,0.5169624988647946,0.7083895563308934,0.03704421937938196,0.00904797842104244,0.06212740783460742
fs3,12-month horizon,brier,62189,22,0.1450825531846468,0.11740073753352749,0.17043995142092308,0.14020730675842993,0.11218117190296546,0.1672557640148136,-0.004875246426216867,-0.01057444092737241,0.0022669370483648144
