test_month,forecasting_scope,active_lag_months,threshold_enabled,selected_threshold,fallback_reason,validation_precision,validation_recall,validation_f1,validation_support,validation_positive_cases,fit_start,fit_end,validation_start,validation_end,test_precision,test_recall,test_f1,test_tp,test_fp,test_fn,test_tn,scope,forecasting_horizon
2021-02,1,4,True,0.48,,0.5505050505050505,0.6370882040382572,0.59064039408867,11012,1882,2018-02-01,2019-10-01,2020-02-01,2020-06-01,0.6314258001939864,0.5384615384615384,0.58125,651,380,558,3836,fs1,4-month horizon
2021-06,1,4,True,0.55,,0.7270550678371908,0.5066740823136818,0.5971812520485087,10933,1798,2018-06-01,2020-02-01,2020-06-01,2020-10-01,0.6254416961130742,0.3619631901840491,0.4585492227979274,354,212,624,3195,fs1,4-month horizon
2021-10,1,4,True,0.41,,0.5479744136460555,0.6299019607843137,0.5860889395667046,10852,2040,2018-10-01,2020-06-01,2020-10-01,2021-02-01,0.5901639344262295,0.7890410958904109,0.6752637749120751,864,600,231,3279,fs1,4-month horizon
2022-02,1,4,True,0.43,,0.6163048294195835,0.6360310928212163,0.626012601260126,9810,2187,2019-02-01,2020-10-01,2021-02-01,2021-06-01,0.7058319039451115,0.5549561699258261,0.6213665534163836,823,343,660,3148,fs1,4-month horizon
2022-06,1,4,True,0.43,,0.6080724254998114,0.7776169802219006,0.6824724809483489,9359,2073,2019-06-01,2021-02-01,2021-06-01,2021-10-01,0.8652482269503546,0.6756923076923077,0.7588113337940566,1098,171,527,3068,fs1,4-month horizon
2022-10,1,4,True,0.34,,0.5966735966735967,0.7792862684251358,0.6758620689655173,9948,2578,2019-10-01,2021-06-01,2021-10-01,2022-02-01,0.6953162723322066,0.8938547486033519,0.7821835958718087,1440,631,171,2770,fs1,4-month horizon
2023-02,1,4,True,0.29,,0.7282425603593486,0.8346203346203346,0.7778110944527736,9838,3108,2020-02-01,2021-10-01,2022-02-01,2022-06-01,0.552924791086351,0.9377952755905512,0.695677570093458,1191,963,79,2627,fs1,4-month horizon
2023-06,1,4,True,0.39,,0.7736766809728183,0.8355995055624228,0.8034467389689497,9876,3236,2020-06-01,2022-02-01,2022-06-01,2022-10-01,0.7730294396961064,0.8344438749359303,0.8025634705447374,1628,478,323,3126,fs1,4-month horizon
2023-10,1,4,True,0.45,,0.7719692110327133,0.8354737938215897,0.8024670778463077,9872,2881,2020-10-01,2022-06-01,2022-10-01,2023-02-01,0.7312579415501906,0.6843043995243757,0.7070024570024569,1151,423,531,3305,fs1,4-month horizon
2024-02,1,4,True,0.42,,0.7773155851358846,0.8702266376901583,0.8211513109711439,10415,3221,2021-02-01,2022-10-01,2023-02-01,2023-06-01,0.7503774534474081,0.7709410548086867,0.7605202754399387,1491,496,443,3267,fs1,4-month horizon
2024-06,1,4,True,0.37,,0.7613462519122897,0.8219102669969722,0.7904698874917274,10965,3633,2021-06-01,2023-02-01,2023-06-01,2023-10-01,0.6869158878504673,0.8254211332312404,0.7498261071180153,1617,737,342,3001,fs1,4-month horizon
2024-10,1,4,True,0.39,,0.7053411704574495,0.8258527827648114,0.7608545830461751,10809,3342,2021-10-01,2023-06-01,2023-10-01,2024-02-01,0.5104797391709361,0.7936278059377263,0.6213151927437642,1096,1051,285,2904,fs1,4-month horizon
2021-02,2,8,True,0.48,,0.6745,0.6084799278304014,0.6397913208442021,10871,2217,2017-10-01,2019-06-01,2019-10-01,2020-02-01,0.6080827067669173,0.5351530190239868,0.5692916849978003,647,417,562,3799,fs2,8-month horizon
2021-06,2,8,True,0.48,,0.5606060606060606,0.6094580233793836,0.5840122199592668,11012,1882,2018-02-01,2019-10-01,2020-02-01,2020-06-01,0.5052023121387283,0.4468302658486707,0.4742268041237113,437,428,541,2979,fs2,8-month horizon
2021-10,2,8,True,0.48,,0.6544910179640718,0.6078976640711902,0.6303344867358707,10933,1798,2018-06-01,2020-02-01,2020-06-01,2020-10-01,0.6336633663366337,0.467579908675799,0.5380977404098791,512,296,583,3583,fs2,8-month horizon
2022-02,2,8,True,0.46,,0.6006051437216339,0.5838235294117647,0.5920954511558538,10852,2040,2018-10-01,2020-06-01,2020-10-01,2021-02-01,0.6534296028880866,0.4881995954146999,0.558857583944423,724,384,759,3107,fs2,8-month horizon
2022-06,2,8,True,0.36,,0.543712991988854,0.7137631458619113,0.6172400158165282,9810,2187,2019-02-01,2020-10-01,2021-02-01,2021-06-01,0.7211250748055057,0.7415384615384616,0.7311893203883495,1205,466,420,2773,fs2,8-month horizon
2022-10,2,8,True,0.44,,0.6277173913043478,0.7800289435600579,0.695633469563347,9359,2073,2019-06-01,2021-02-01,2021-06-01,2021-10-01,0.7880149812734082,0.6530105524518932,0.7141887304820095,1052,283,559,3118,fs2,8-month horizon
2023-02,2,8,True,0.34,,0.6179170623615068,0.7571761055081458,0.6804950322468188,9948,2578,2019-10-01,2021-06-01,2021-10-01,2022-02-01,0.651565995525727,0.9173228346456692,0.7619359058207978,1165,623,105,2967,fs2,8-month horizon
2023-06,2,8,True,0.3,,0.7441860465116279,0.8236808236808236,0.7819181429444105,9838,3108,2020-02-01,2021-10-01,2022-02-01,2022-06-01,0.736753574432296,0.8980010251153254,0.8094248094248094,1752,626,199,2978,fs2,8-month horizon
2023-10,2,8,True,0.34,,0.7680555555555556,0.8544499381953028,0.8089526038619075,9876,3236,2020-06-01,2022-02-01,2022-06-01,2022-10-01,0.6221176470588236,0.7859690844233056,0.6945101129498292,1322,803,360,2925,fs2,8-month horizon
2024-02,2,8,True,0.46,,0.7571157495256167,0.8309614717112114,0.792321694522588,9872,2881,2020-10-01,2022-06-01,2022-10-01,2023-02-01,0.7664705882352941,0.6737331954498449,0.717116125481563,1303,397,631,3366,fs2,8-month horizon
2024-06,2,8,True,0.47,,0.7929594272076372,0.8252095622477491,0.8087631218621634,10415,3221,2021-02-01,2022-10-01,2023-02-01,2023-06-01,0.7121212121212122,0.743746809596733,0.7275905118601749,1457,589,502,3149,fs2,8-month horizon
2024-10,2,8,True,0.4,,0.7795409464437518,0.8103092783505155,0.7946273830155979,10667,3395,2021-06-01,2023-02-01,2023-06-01,2023-10-01,0.4927862939585212,0.7914554670528603,0.6073909419283134,1093,1125,288,2830,fs2,8-month horizon
2021-02,3,12,True,0.33,,0.5026929982046678,0.6890894175553732,0.5813148788927335,10730,2438,2017-06-01,2019-02-01,2019-06-01,2019-10-01,0.4576008273009307,0.7320099255583127,0.5631562201718104,885,1049,324,3167,fs3,12-month horizon
2021-06,3,12,True,0.42,,0.5650074294205052,0.6860622462787551,0.6196781421878182,10871,2217,2017-10-01,2019-06-01,2019-10-01,2020-02-01,0.4033069734004313,0.5736196319018405,0.4736175601519629,561,830,417,2577,fs3,12-month horizon
2021-10,3,12,True,0.52,,0.542519326966803,0.6339001062699257,0.5846606223964714,11012,1882,2018-02-01,2019-10-01,2020-02-01,2020-06-01,0.6957637997432606,0.4949771689497717,0.5784418356456776,542,237,553,3642,fs3,12-month horizon
2022-02,3,12,True,0.51,,0.6543427230046949,0.6201334816462737,0.6367789834380354,10933,1798,2018-06-01,2020-02-01,2020-06-01,2020-10-01,0.7546628407460545,0.3546864463924477,0.4825688073394495,526,171,957,3320,fs3,12-month horizon
2022-06,3,12,True,0.54,,0.6620775969962454,0.5186274509803922,0.5816382627817482,10852,2040,2018-10-01,2020-06-01,2020-10-01,2021-02-01,0.7304761904761905,0.472,0.5734579439252336,767,283,858,2956,fs3,12-month horizon
2022-10,3,12,True,0.35,,0.5452695829094608,0.7352537722908093,0.6261682242990655,9810,2187,2019-02-01,2020-10-01,2021-02-01,2021-06-01,0.6541802388707926,0.7479826194909994,0.69794381697075,1205,637,406,2764,fs3,12-month horizon
2023-02,3,12,True,0.41,,0.5834767641996558,0.8176555716353111,0.680996384089996,9359,2073,2019-06-01,2021-02-01,2021-06-01,2021-10-01,0.681045751633987,0.8204724409448819,0.7442857142857143,1042,488,228,3102,fs3,12-month horizon
2023-06,3,12,True,0.41,,0.6818510484454086,0.7315748642358417,0.7058383233532934,9948,2578,2019-10-01,2021-06-01,2021-10-01,2022-02-01,0.7641459545214172,0.7406458226550487,0.752212389380531,1445,446,506,3158,fs3,12-month horizon
2023-10,3,12,True,0.33,,0.7666876574307305,0.7834620334620335,0.7749840865690644,9838,3108,2020-02-01,2021-10-01,2022-02-01,2022-06-01,0.5962761126248864,0.7806183115338883,0.6761071060762102,1313,889,369,2839,fs3,12-month horizon
2024-02,3,12,True,0.36,,0.7646243415580815,0.8522867737948084,0.8060792050270348,9876,3236,2020-06-01,2022-02-01,2022-06-01,2022-10-01,0.6431137724550898,0.8329886246122027,0.725839152962379,1611,894,323,2869,fs3,12-month horizon
2024-06,3,12,True,0.46,,0.7582137161084529,0.8250607427976397,0.7902260638297872,9872,2881,2020-10-01,2022-06-01,2022-10-01,2023-02-01,0.6682641107561236,0.6406329760081675,0.654156893406307,1255,623,704,3115,fs3,12-month horizon
2024-10,3,12,True,0.45,,0.7850276725895718,0.8741485566007136,0.8271945979128299,10117,3083,2021-02-01,2022-10-01,2023-02-01,2023-06-01,0.5261233019853709,0.7291817523533671,0.6112291350531107,1007,907,374,3048,fs3,12-month horizon
