artifact_group,artifact_type,path,status,source_path,reason
result_partition_k40_compare_GF_fs1,provider_manifest,result_partition_k40_compare_GF_fs1/run_manifest.json,clean,C:\Users\swl00\IFPRI Dropbox\Weilun Shi\Google fund\Analysis\1.Source Data\FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
result_partition_k40_compare_GF_fs2,provider_manifest,result_partition_k40_compare_GF_fs2/run_manifest.json,clean,C:\Users\swl00\IFPRI Dropbox\Weilun Shi\Google fund\Analysis\1.Source Data\FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
result_partition_k40_compare_GF_fs3,provider_manifest,result_partition_k40_compare_GF_fs3/run_manifest.json,clean,C:\Users\swl00\IFPRI Dropbox\Weilun Shi\Google fund\Analysis\1.Source Data\FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
result_partition_k40_compare_DT_fs1,provider_manifest,result_partition_k40_compare_DT_fs1/run_manifest.json,clean,C:\Users\swl00\IFPRI Dropbox\Weilun Shi\Google fund\Analysis\1.Source Data\FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
result_partition_k40_compare_DT_fs2,provider_manifest,result_partition_k40_compare_DT_fs2/run_manifest.json,clean,C:\Users\swl00\IFPRI Dropbox\Weilun Shi\Google fund\Analysis\1.Source Data\FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
result_partition_k40_compare_DT_fs3,provider_manifest,result_partition_k40_compare_DT_fs3/run_manifest.json,clean,C:\Users\swl00\IFPRI Dropbox\Weilun Shi\Google fund\Analysis\1.Source Data\FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
result_partition_k40_compare_GF_thresholded_fs1,provider_manifest,result_partition_k40_compare_GF_thresholded_fs1/run_manifest.json,clean,C:\Users\swl00\IFPRI Dropbox\Weilun Shi\Google fund\Analysis\1.Source Data\FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
result_partition_k40_compare_GF_thresholded_fs2,provider_manifest,result_partition_k40_compare_GF_thresholded_fs2/run_manifest.json,clean,C:\Users\swl00\IFPRI Dropbox\Weilun Shi\Google fund\Analysis\1.Source Data\FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
result_partition_k40_compare_GF_thresholded_fs3,provider_manifest,result_partition_k40_compare_GF_thresholded_fs3/run_manifest.json,clean,C:\Users\swl00\IFPRI Dropbox\Weilun Shi\Google fund\Analysis\1.Source Data\FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
scripts/compare_partitioned_vs_pooled_rf_k40_nc4.py,script_default,scripts/compare_partitioned_vs_pooled_rf_k40_nc4.py,clean,FEWSNET_forecast_unadjusted_bm.csv,source text references clean panel
