FEWSNET_admin_code,cluster_id,latitude,longitude,is_outlier,cluster_id_original
0,4,9.551002,29.130297,False,4
1,4,9.786447,28.414507,False,4
2,5,7.7992144,32.85308,False,5
3,4,8.417933,26.89562,False,4
4,4,9.243146,27.6138,False,4
5,4,9.334756,26.729689,False,4
6,4,8.667977,27.736115,False,4
7,4,8.930424,26.72393,False,4
8,6,6.150162,31.229462,False,6
9,4,8.291426,30.98072,False,4
10,5,9.490525,32.40192,False,5
11,6,6.4656444,32.00486,False,5
12,6,4.359346,33.44793,False,6
13,4,9.083722,31.442097,False,4
14,4,7.0822926,29.224924,False,4
15,4,7.6175737,31.186474,False,4
16,4,5.4600983,27.893723,False,6
17,4,9.071978,30.688026,False,4
18,4,9.980295,31.84424,False,4
19,4,8.597443,28.589058,False,4
20,4,8.56744,28.109972,False,4
21,4,9.197522,30.075191,False,4
22,6,5.09955,29.06163,False,6
23,6,4.0283284,33.13116,False,6
24,6,4.7170806,31.48342,False,6
25,4,7.5925064,28.024385,False,4
26,6,3.894862,31.46053,False,6
27,6,5.131699,34.65216,False,5
28,6,5.306582,33.461914,False,6
29,6,4.5634127,33.68026,False,6
30,4,8.6339035,29.857418,False,4
31,6,4.27799,30.853539,False,6
32,4,8.174243,30.228167,False,4
33,5,9.255936,33.52691,False,5
34,6,5.249238,32.671417,False,6
35,5,8.833608,33.163315,False,5
36,5,10.023908,33.459976,False,5
37,6,3.9113195,32.210762,False,6
38,5,8.740229,33.862453,False,5
39,4,9.658457,31.642797,False,4
40,4,11.130983,32.370197,False,4
41,6,5.096247,29.684683,False,6
42,4,8.122516,29.919695,False,4
43,4,9.094565,29.2165,False,4
44,5,10.380961,32.56855,False,5
45,6,3.7387795,30.831562,False,6
46,6,5.3078823,30.682564,False,6
47,6,5.2139373,30.20821,False,6
48,6,5.9179792,30.032368,False,6
49,4,6.4713254,27.738218,False,4
50,5,8.583063,32.1197,False,5
51,6,5.3084807,28.205763,False,6
52,4,7.524552,30.336622,False,4
53,4,9.443533,31.452188,False,4
54,4,9.815146,30.118797,False,4
55,5,6.3963685,33.568096,False,5
56,5,7.1130314,33.815495,False,5
57,4,8.617606,25.589775,False,4
58,5,11.362642,32.95721,False,0
59,4,9.268476,29.635662,False,4
60,4,7.0185,29.78404,False,4
61,4,6.7186704,30.013824,False,4
62,4,7.5245805,29.704245,False,4
63,4,6.0432644,27.14289,False,4
64,6,5.662623,31.325756,False,6
65,4,7.847276,29.28494,False,4
66,4,8.246329,28.91646,False,4
67,4,7.080619,28.734674,False,4
68,6,4.3724313,32.567097,False,6
69,4,7.10077,31.322704,False,4
70,4,9.135147,28.391762,False,4
71,5,8.579216,32.827198,False,5
72,5,7.62531,32.11129,False,5
73,4,7.2847724,27.298227,False,4
74,6,6.200243,29.208889,False,4
75,6,5.1247153,28.547338,False,6
76,6,4.251823,30.34422,False,6
77,4,6.793194,30.80245,False,4
78,6,6.3952436,30.486982,False,6
79,4,12.021253,18.109903,False,4
80,4,11.624716,16.231733,False,4
81,4,13.367175,16.21961,False,4
82,4,13.302234,16.865908,False,4
83,4,11.348701,17.941626,False,4
84,4,13.384515,19.630894,False,4
85,4,13.029963,18.46927,False,4
86,4,11.730996,15.252166,False,4
87,4,12.371419,16.8705,False,4
88,4,12.840006,15.631042,False,4
89,4,12.2211,20.031048,False,4
90,4,12.895693,17.57291,False,4
91,4,12.134828,18.777029,False,4
92,4,12.512603,15.298653,False,4
93,4,12.423524,19.565012,False,4
94,4,11.059698,15.250352,False,4
95,4,12.120266,15.05159,False,4
96,4,13.481585,15.70248,False,4
97,4,13.369669,15.251934,False,4
98,4,12.910642,21.243002,False,4
99,4,13.563464,21.817802,False,4
100,4,14.510957,21.052895,False,4
101,4,14.42946,21.954435,False,4
102,4,12.454664,20.654144,False,4
103,4,12.499991,21.697868,False,4
104,4,14.972459,22.454733,False,4
105,4,15.010023,21.633837,False,4
106,4,13.666249,20.838526,False,4
