test_month,model,precision,recall,f1,n,tp,fp,fn,tn,pct_err_all,pct_err_class1
2021-02,pooled,0.770949720670391,0.3424317617866005,0.4742268041237113,5425,414,123,795,4093,0.16921658986175114,0.6575682382133995
2021-02,partitioned,0.653272101033295,0.4706368899917287,0.5471153846153846,5425,569,302,640,3914,0.17364055299539172,0.5293631100082713
2021-02,partitioned_thresholded,0.5587301587301587,0.5822994210090985,0.5702713649250709,5425,704,556,505,3660,0.19557603686635944,0.41770057899090157
2021-06,pooled,0.7083333333333334,0.2955010224948875,0.417027417027417,4385,289,119,689,3288,0.18426453819840366,0.7044989775051125
2021-06,partitioned,0.5799721835883171,0.4263803680981595,0.4914555097230406,4385,417,302,561,3105,0.1968072976054732,0.5736196319018405
2021-06,partitioned_thresholded,0.5137211855104281,0.4785276073619632,0.49550026469031233,4385,468,443,510,2964,0.21733181299885976,0.5214723926380368
2021-10,pooled,0.6820083682008368,0.29771689497716897,0.4144945963127781,4974,326,152,769,3727,0.18516284680337755,0.7022831050228311
2021-10,partitioned,0.6597051597051597,0.4904109589041096,0.5625982189628078,4974,537,277,558,3602,0.16787293928427824,0.5095890410958904
2021-10,partitioned_thresholded,0.6544444444444445,0.5378995433789955,0.5904761904761905,4974,589,311,506,3568,0.1642541214314435,0.4621004566210046
2022-02,pooled,0.8366141732283464,0.2865812542144302,0.42692114515318935,4974,425,83,1058,3408,0.22939284278246883,0.7134187457855697
2022-02,partitioned,0.6941431670281996,0.4315576534052596,0.5322245322245323,4974,640,282,843,3209,0.22617611580217128,0.5684423465947404
2022-02,partitioned_thresholded,0.6487068965517241,0.6089008766014835,0.6281739130434782,4974,903,489,580,3002,0.21491757137112988,0.39109912339851655
2022-06,pooled,0.8529801324503311,0.3963076923076923,0.5411764705882353,4864,644,111,981,3128,0.22450657894736842,0.6036923076923076
2022-06,partitioned,0.8594539939332659,0.5230769230769231,0.650344299923489,4864,850,139,775,3100,0.18791118421052633,0.47692307692307695
2022-06,partitioned_thresholded,0.7618729096989967,0.7009230769230769,0.7301282051282051,4864,1139,356,486,2883,0.17310855263157895,0.2990769230769231
2022-10,pooled,0.8352941176470589,0.4407200496585971,0.5770012190166599,5012,710,140,901,3261,0.20770151636073425,0.5592799503414029
2022-10,partitioned,0.8234265734265734,0.5847299813780261,0.6838475499092559,5012,942,202,669,3199,0.1737829209896249,0.41527001862197394
2022-10,partitioned_thresholded,0.8196176226101413,0.612042209807573,0.7007818052594172,5012,986,217,625,3184,0.16799680766161212,0.38795779019242704
2023-02,pooled,0.8732251521298174,0.6779527559055119,0.7632978723404256,4860,861,125,409,3465,0.10987654320987654,0.3220472440944882
2023-02,partitioned,0.8161943319838056,0.7937007874015748,0.8047904191616767,4860,1008,227,262,3363,0.10061728395061728,0.2062992125984252
2023-02,partitioned_thresholded,0.6251319957761352,0.9322834645669291,0.7484197218710493,4860,1184,710,86,2880,0.16378600823045267,0.06771653543307087
2023-06,pooled,0.9165378670788253,0.6078933880061507,0.7309707241910631,5555,1186,108,765,3496,0.15715571557155716,0.39210661199384933
2023-06,partitioned,0.8885288399222294,0.7027165556125065,0.7847738981110476,5555,1371,172,580,3432,0.13537353735373536,0.2972834443874936
2023-06,partitioned_thresholded,0.7203960396039604,0.9323423885187083,0.8127792672028596,5555,1819,706,132,2898,0.15085508550855087,0.06765761148129165
2023-10,pooled,0.7565424266455194,0.5671819262782402,0.6483180428134555,5410,954,307,728,3421,0.1913123844731978,0.4328180737217598
2023-10,partitioned,0.7621502209131075,0.6153388822829964,0.6809210526315789,5410,1035,323,647,3405,0.17929759704251386,0.38466111771700356
2023-10,partitioned_thresholded,0.6800213675213675,0.7568370986920333,0.7163759144625773,5410,1273,599,409,3129,0.18632162661737522,0.2431629013079667
2024-02,pooled,0.7582037996545768,0.6809720785935884,0.7175156633070009,5697,1317,420,617,3343,0.18202562752325785,0.31902792140641156
2024-02,partitioned,0.8039482641252553,0.610651499482937,0.6940934469585661,5697,1181,288,753,3475,0.18272775144813058,0.3893485005170631
2024-02,partitioned_thresholded,0.7732453509298141,0.6664943123061013,0.7159122465981672,5697,1289,378,645,3385,0.17956819378620326,0.33350568769389866
2024-06,pooled,0.699497487437186,0.7105666156202144,0.7049886047100532,5697,1392,598,567,3140,0.20449359311918552,0.2894333843797856
2024-06,partitioned,0.7259978425026968,0.6870852475752935,0.7060057697351168,5697,1346,508,613,3230,0.1967702299455854,0.3129147524247065
2024-06,partitioned_thresholded,0.7073754789272031,0.7539561000510464,0.7299234000494192,5697,1477,611,482,3127,0.19185536247147622,0.24604389994895354
2024-10,pooled,0.5440324449594438,0.6799420709630702,0.6044415835210815,5336,939,787,442,3168,0.2303223388305847,0.32005792903692976
2024-10,partitioned,0.5953429830081812,0.6850108616944244,0.637037037037037,5336,946,643,435,3312,0.202023988005997,0.3149891383055757
2024-10,partitioned_thresholded,0.5235966219572777,0.7632150615496017,0.621096051856217,5336,1054,959,327,2996,0.24100449775112442,0.23678493845039827
